run,event_id,pair,method,family,residual_ns,run_group,sample_family
31,31:391694:5198:304,B4-B6,analytic_timewalk,traditional,2.0998404803024187,sample_i_calib,Sample I
31,31:391694:5198:304,B4-B8,analytic_timewalk,traditional,1.6654947267328168,sample_i_calib,Sample I
31,31:391694:5198:304,B6-B8,analytic_timewalk,traditional,-0.4343457535696018,sample_i_calib,Sample I
31,31:392797:6218:1407,B4-B6,analytic_timewalk,traditional,0.7837958277335773,sample_i_calib,Sample I
31,31:392797:6218:1407,B4-B8,analytic_timewalk,traditional,-0.03061994014479552,sample_i_calib,Sample I
31,31:392797:6218:1407,B6-B8,analytic_timewalk,traditional,-0.8144157678783728,sample_i_calib,Sample I
31,31:392847:6272:1457,B4-B6,analytic_timewalk,traditional,-0.4972682291573918,sample_i_calib,Sample I
31,31:392847:6272:1457,B4-B8,analytic_timewalk,traditional,-1.849188463732105,sample_i_calib,Sample I
31,31:392847:6272:1457,B6-B8,analytic_timewalk,traditional,-1.3519202345747132,sample_i_calib,Sample I
31,31:393446:6836:2056,B4-B6,analytic_timewalk,traditional,1.927000216832056,sample_i_calib,Sample I
31,31:393446:6836:2056,B4-B8,analytic_timewalk,traditional,2.0057114731837515,sample_i_calib,Sample I
31,31:393446:6836:2056,B6-B8,analytic_timewalk,traditional,0.07871125635169562,sample_i_calib,Sample I
31,31:393494:6880:2104,B4-B6,analytic_timewalk,traditional,1.85726372320525,sample_i_calib,Sample I
31,31:393494:6880:2104,B4-B8,analytic_timewalk,traditional,-1.306189521427477,sample_i_calib,Sample I
31,31:393494:6880:2104,B6-B8,analytic_timewalk,traditional,-3.163453244632727,sample_i_calib,Sample I
31,31:393713:7078:2323,B4-B6,analytic_timewalk,traditional,1.0223271608146547,sample_i_calib,Sample I
31,31:393713:7078:2323,B4-B8,analytic_timewalk,traditional,0.6830949445345524,sample_i_calib,Sample I
31,31:393713:7078:2323,B6-B8,analytic_timewalk,traditional,-0.33923221628010225,sample_i_calib,Sample I
31,31:394237:7558:2847,B4-B6,analytic_timewalk,traditional,2.133830243117167,sample_i_calib,Sample I
31,31:394237:7558:2847,B4-B8,analytic_timewalk,traditional,1.9823731898731936,sample_i_calib,Sample I
31,31:394237:7558:2847,B6-B8,analytic_timewalk,traditional,-0.1514570532439734,sample_i_calib,Sample I
31,31:394541:7842:3151,B4-B6,analytic_timewalk,traditional,2.0297356641227395,sample_i_calib,Sample I
31,31:394541:7842:3151,B4-B8,analytic_timewalk,traditional,2.21043531552381,sample_i_calib,Sample I
31,31:394541:7842:3151,B6-B8,analytic_timewalk,traditional,0.18069965140107058,sample_i_calib,Sample I
31,31:397003:10144:5613,B4-B6,analytic_timewalk,traditional,2.110953511383272,sample_i_calib,Sample I
31,31:397003:10144:5613,B4-B8,analytic_timewalk,traditional,1.9615307936501125,sample_i_calib,Sample I
31,31:397003:10144:5613,B6-B8,analytic_timewalk,traditional,-0.14942271773315952,sample_i_calib,Sample I
31,31:397538:10643:6148,B4-B6,analytic_timewalk,traditional,0.9385231165511172,sample_i_calib,Sample I
31,31:397538:10643:6148,B4-B8,analytic_timewalk,traditional,0.3666987566351665,sample_i_calib,Sample I
31,31:397538:10643:6148,B6-B8,analytic_timewalk,traditional,-0.5718243599159507,sample_i_calib,Sample I
31,31:398968:11974:7578,B4-B6,analytic_timewalk,traditional,0.807815038063346,sample_i_calib,Sample I
31,31:398968:11974:7578,B4-B8,analytic_timewalk,traditional,1.223839104247297,sample_i_calib,Sample I
31,31:398968:11974:7578,B6-B8,analytic_timewalk,traditional,0.41602406618395094,sample_i_calib,Sample I
31,31:398975:11981:7585,B4-B6,analytic_timewalk,traditional,2.0965412917380206,sample_i_calib,Sample I
31,31:398975:11981:7585,B4-B8,analytic_timewalk,traditional,1.9865758753144647,sample_i_calib,Sample I
31,31:398975:11981:7585,B6-B8,analytic_timewalk,traditional,-0.10996541642355595,sample_i_calib,Sample I
31,31:402503:15292:11112,B4-B6,analytic_timewalk,traditional,2.27751079600165,sample_i_calib,Sample I
31,31:402503:15292:11112,B4-B8,analytic_timewalk,traditional,-0.003544985574286841,sample_i_calib,Sample I
31,31:402503:15292:11112,B6-B8,analytic_timewalk,traditional,-2.2810557815759367,sample_i_calib,Sample I
31,31:403895:207:12504,B4-B6,analytic_timewalk,traditional,2.118116610709464,sample_i_calib,Sample I
31,31:403895:207:12504,B4-B8,analytic_timewalk,traditional,1.5952527697359216,sample_i_calib,Sample I
31,31:403895:207:12504,B6-B8,analytic_timewalk,traditional,-0.5228638409735424,sample_i_calib,Sample I
31,31:404495:758:13104,B4-B6,analytic_timewalk,traditional,2.1098920977448046,sample_i_calib,Sample I
31,31:404495:758:13104,B4-B8,analytic_timewalk,traditional,2.0356952258292793,sample_i_calib,Sample I
31,31:404495:758:13104,B6-B8,analytic_timewalk,traditional,-0.07419687191552526,sample_i_calib,Sample I
31,31:404598:856:13207,B4-B6,analytic_timewalk,traditional,1.7648419858228976,sample_i_calib,Sample I
31,31:404598:856:13207,B4-B8,analytic_timewalk,traditional,2.2048164626385898,sample_i_calib,Sample I
31,31:404598:856:13207,B6-B8,analytic_timewalk,traditional,0.43997447681569213,sample_i_calib,Sample I
31,31:404700:949:13309,B4-B6,analytic_timewalk,traditional,1.981558752548338,sample_i_calib,Sample I
31,31:404700:949:13309,B4-B8,analytic_timewalk,traditional,-0.011478600376463532,sample_i_calib,Sample I
31,31:404700:949:13309,B6-B8,analytic_timewalk,traditional,-1.9930373529248016,sample_i_calib,Sample I
31,31:404828:1069:13437,B4-B6,analytic_timewalk,traditional,1.915599416101898,sample_i_calib,Sample I
31,31:404828:1069:13437,B4-B8,analytic_timewalk,traditional,1.8502772569151205,sample_i_calib,Sample I
31,31:404828:1069:13437,B6-B8,analytic_timewalk,traditional,-0.06532215918677764,sample_i_calib,Sample I
31,31:406133:2273:14741,B4-B6,analytic_timewalk,traditional,2.0456553484730904,sample_i_calib,Sample I
31,31:406133:2273:14741,B4-B8,analytic_timewalk,traditional,2.0597315521323907,sample_i_calib,Sample I
31,31:406133:2273:14741,B6-B8,analytic_timewalk,traditional,0.01407620365930029,sample_i_calib,Sample I
31,31:406648:2750:15256,B4-B6,analytic_timewalk,traditional,1.9180015466394877,sample_i_calib,Sample I
31,31:406648:2750:15256,B4-B8,analytic_timewalk,traditional,0.8709625913339778,sample_i_calib,Sample I
31,31:406648:2750:15256,B6-B8,analytic_timewalk,traditional,-1.04703895530551,sample_i_calib,Sample I
31,31:411276:7076:19883,B4-B6,analytic_timewalk,traditional,2.172746702968496,sample_i_calib,Sample I
31,31:411276:7076:19883,B4-B8,analytic_timewalk,traditional,2.1709734721561915,sample_i_calib,Sample I
31,31:411276:7076:19883,B6-B8,analytic_timewalk,traditional,-0.001773230812304405,sample_i_calib,Sample I
31,31:411907:7662:20514,B4-B6,analytic_timewalk,traditional,1.1871490964178903,sample_i_calib,Sample I
31,31:411907:7662:20514,B4-B8,analytic_timewalk,traditional,-0.2575209185893286,sample_i_calib,Sample I
31,31:411907:7662:20514,B6-B8,analytic_timewalk,traditional,-1.444670015007219,sample_i_calib,Sample I
31,31:413413:9073:22020,B4-B6,analytic_timewalk,traditional,2.101387783862606,sample_i_calib,Sample I
