run,run_group,sample_family,stave,n_pulses,amp_median_adc,amp_q01_adc,amp_q99_adc,sample_ii_train_q01_adc,sample_ii_train_q99_adc,frac_inside_sample_ii_1_99_support
31,sample_i_calib,Sample I,B4,47,2342.0,1476.8,5763.079999999998,1096.19,4221.6449999999995,0.9574468085106383
31,sample_i_calib,Sample I,B6,47,2461.0,1282.43,4131.009999999998,1172.5,3802.81,0.9787234042553191
31,sample_i_calib,Sample I,B8,47,3062.0,1261.08,5028.94,1247.975,6273.905,0.9787234042553191
32,sample_i_calib,Sample I,B4,40,2115.75,1072.14,3320.81,1096.19,4221.6449999999995,0.975
32,sample_i_calib,Sample I,B6,40,2436.0,1199.095,3216.61,1172.5,3802.81,0.975
32,sample_i_calib,Sample I,B8,40,3154.25,1285.89,5107.065,1247.975,6273.905,0.975
33,sample_i_calib,Sample I,B4,59,2386.5,1120.24,3127.1800000000007,1096.19,4221.6449999999995,0.9830508474576272
33,sample_i_calib,Sample I,B6,59,2391.0,1447.58,3196.8100000000004,1172.5,3802.81,1.0
33,sample_i_calib,Sample I,B8,59,2860.5,1012.59,5608.120000000001,1247.975,6273.905,0.8983050847457628
34,sample_i_calib,Sample I,B4,50,2309.75,1142.705,3136.765,1096.19,4221.6449999999995,1.0
34,sample_i_calib,Sample I,B6,50,2462.0,1155.985,3647.484999999998,1172.5,3802.81,0.96
34,sample_i_calib,Sample I,B8,50,3134.75,1028.855,6271.679999999999,1247.975,6273.905,0.92
35,sample_i_calib,Sample I,B4,36,2417.75,1137.25,5580.424999999995,1096.19,4221.6449999999995,0.9444444444444444
35,sample_i_calib,Sample I,B6,36,2750.25,1258.9,3618.974999999999,1172.5,3802.81,0.9722222222222222
35,sample_i_calib,Sample I,B8,36,2724.75,1152.05,4756.175,1247.975,6273.905,0.9444444444444444
36,sample_i_calib,Sample I,B4,22,2371.75,1099.605,3087.555,1096.19,4221.6449999999995,0.9545454545454546
36,sample_i_calib,Sample I,B6,22,2590.75,1270.715,3284.6099999999997,1172.5,3802.81,0.9545454545454546
36,sample_i_calib,Sample I,B8,22,3443.25,1412.535,5710.615,1247.975,6273.905,1.0
37,sample_i_calib,Sample I,B4,83,2461.5,1043.51,3665.7699999999936,1096.19,4221.6449999999995,0.9518072289156626
37,sample_i_calib,Sample I,B6,83,2554.0,1011.16,4254.139999999999,1172.5,3802.81,0.9397590361445783
37,sample_i_calib,Sample I,B8,83,3552.0,1257.76,5971.369999999997,1247.975,6273.905,0.9879518072289156
39,sample_i_calib,Sample I,B4,66,2530.25,1077.9,5116.52499999999,1096.19,4221.6449999999995,0.9545454545454546
39,sample_i_calib,Sample I,B6,66,2633.5,1335.975,3204.2749999999996,1172.5,3802.81,1.0
39,sample_i_calib,Sample I,B8,66,3289.75,1351.425,5425.224999999993,1247.975,6273.905,0.9848484848484849
40,sample_i_calib,Sample I,B4,70,2472.25,1313.275,5211.835,1096.19,4221.6449999999995,0.9714285714285714
40,sample_i_calib,Sample I,B6,70,2476.75,1305.32,3973.255000000005,1172.5,3802.81,0.9714285714285714
40,sample_i_calib,Sample I,B8,70,3217.75,1223.585,5546.08,1247.975,6273.905,0.9857142857142858
41,sample_i_calib,Sample I,B4,69,2349.5,1322.54,4119.719999999989,1096.19,4221.6449999999995,0.9855072463768116
41,sample_i_calib,Sample I,B6,69,2486.5,1269.68,3361.8599999999988,1172.5,3802.81,0.9855072463768116
41,sample_i_calib,Sample I,B8,69,3389.5,1732.58,6492.699999999999,1247.975,6273.905,0.9710144927536232
42,sample_i_calib,Sample I,B4,68,2461.5,1142.655,3253.805,1096.19,4221.6449999999995,0.9852941176470589
42,sample_i_calib,Sample I,B6,68,2562.5,1111.455,3520.4649999999992,1172.5,3802.81,0.9558823529411765
42,sample_i_calib,Sample I,B8,68,3225.75,1139.255,6614.434999999998,1247.975,6273.905,0.9264705882352942
44,sample_i_analysis,Sample I,B4,7,2467.0,1473.19,5420.339999999998,1096.19,4221.6449999999995,0.8571428571428571
44,sample_i_analysis,Sample I,B6,7,2355.0,1335.99,2895.8399999999997,1172.5,3802.81,1.0
44,sample_i_analysis,Sample I,B8,7,3255.5,2556.1,5835.01,1247.975,6273.905,1.0
45,sample_i_analysis,Sample I,B4,94,2254.5,1257.415,4562.704999999992,1096.19,4221.6449999999995,0.9787234042553191
45,sample_i_analysis,Sample I,B6,94,2385.5,1150.13,3686.6699999999955,1172.5,3802.81,0.9680851063829787
45,sample_i_analysis,Sample I,B8,94,3289.5,1182.42,5914.339999999995,1247.975,6273.905,0.9680851063829787
46,sample_i_analysis,Sample I,B4,1,2138.0,2138.0,2138.0,1096.19,4221.6449999999995,1.0
46,sample_i_analysis,Sample I,B6,1,2439.5,2439.5,2439.5,1172.5,3802.81,1.0
46,sample_i_analysis,Sample I,B8,1,2718.0,2718.0,2718.0,1247.975,6273.905,1.0
47,sample_i_analysis,Sample I,B4,9,2167.0,1663.84,3145.16,1096.19,4221.6449999999995,1.0
47,sample_i_analysis,Sample I,B6,9,2215.0,1413.88,3391.12,1172.5,3802.81,1.0
47,sample_i_analysis,Sample I,B8,9,3075.5,1904.6,6412.32,1247.975,6273.905,0.8888888888888888
48,sample_i_analysis,Sample I,B4,58,2327.5,1496.82,3786.83,1096.19,4221.6449999999995,0.9827586206896551
