method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,table,candidate,alpha,fold,n_features,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,analytic_candidate,analytic_alpha
le500,2.0,train,11448.0,-1.3544414418297492,4.166564777023639,6.7906875285329775,0.2120020964360587,231.88760235245886,1.2507566487032231,traditional_scan,,,,,,,,,
le500,2.0,heldout,4398.0,-1.7072071726241447,4.234411576003277,6.737011377833159,0.22783083219645292,155.08189261936934,1.7420456256346974,traditional_scan,,,,,,,,,
cfd10,2.0,train,11418.0,-2.721340018319232,3.2240201863616815,6.134042255382542,0.043265020143632864,263.3051265829887,21.986357363546585,traditional_scan,,,,,,,,,
cfd10,2.0,heldout,4380.0,-2.912459349444216,3.256452461301004,6.749739050580514,0.04315068493150685,274.8593676927904,9.882788894874857,traditional_scan,,,,,,,,,
cfd20,2.0,train,11442.0,-2.80112257173133,3.148394817330977,6.018919281331685,0.05689564761405349,264.778270171273,17.605502359738992,traditional_scan,,,,,,,,,
cfd20,2.0,heldout,4392.0,-3.073256691466508,3.1474904836148485,5.9447982004056446,0.06602914389799636,297.68816598606367,8.783140782775925,traditional_scan,,,,,,,,,
cfd30,2.0,train,11448.0,-2.6943713586471887,3.247221160515817,6.178097645979107,0.08918588399720476,273.5449590004941,16.813515396881606,traditional_scan,,,,,,,,,
cfd30,2.0,heldout,4398.0,-2.9991317091581884,3.194533270051988,5.970471215969619,0.09777171441564347,259.85846658742224,8.608772802252743,traditional_scan,,,,,,,,,
cfd40,2.0,train,11448.0,-2.4582172894556784,3.4086158149966215,6.2549461673740465,0.11381900768693222,246.5287877210568,11.694189708481868,traditional_scan,,,,,,,,,
cfd40,2.0,heldout,4401.0,-2.725287484886877,3.334531436345536,5.106472439340448,0.1165644171779141,253.5929977223124,6.907574144499766,traditional_scan,,,,,,,,,
cfd50,2.0,train,11451.0,-2.137478892612897,3.5980733467067125,6.838981749822876,0.14444153349052485,139.22209304666762,7.835082410120226,traditional_scan,,,,,,,,,
cfd50,2.0,heldout,4401.0,-2.4171283450863967,3.5129164868808402,5.232899311959309,0.13542376732560782,2.058232848969342,3.493846460819084,traditional_scan,,,,,,,,,
template_phase,2.0,train,11460.0,-3.734320925963104,2.751940933849439,3.3091390249697956,0.08219895287958115,6.010691782129763,118.67933663794442,traditional_scan,,,,,,,,,
