method,run,mae,n
traditional_matched_strata,44,0.038267940443462385,900
ridge,44,0.00019983325759664197,900
gradient_boosted_trees,44,0.0008032026969019047,900
mlp,44,0.024353908630848038,900
cnn1d,44,0.014762757210620678,900
quiet_gated_cnn,44,0.020878653681419078,900
traditional_matched_strata,45,0.037689733126442665,900
ridge,45,0.00020241454498897828,900
gradient_boosted_trees,45,0.0007698807037920393,900
mlp,45,0.03575309998125672,900
cnn1d,45,0.020197391562000042,900
quiet_gated_cnn,45,0.033074918266754974,900
traditional_matched_strata,46,0.09841969088693828,900
ridge,46,0.0002059105540446973,900
gradient_boosted_trees,46,0.002224617662968657,900
mlp,46,0.05894045463773158,900
cnn1d,46,0.05095749678802172,900
quiet_gated_cnn,46,0.06738257765429893,900
traditional_matched_strata,47,0.09916162647023151,900
ridge,47,0.00020797358981718405,900
gradient_boosted_trees,47,0.0022995096840731123,900
mlp,47,0.042371476028743,900
cnn1d,47,0.04734747645262374,900
quiet_gated_cnn,47,0.09571248910765086,900
traditional_matched_strata,48,0.0392485770818419,900
ridge,48,0.00021667500660588467,900
gradient_boosted_trees,48,0.0007469415161885275,900
mlp,48,0.01756323948198496,900
cnn1d,48,0.013939822044740471,900
quiet_gated_cnn,48,0.021872905368297182,900
traditional_matched_strata,49,0.03816342500373883,900
ridge,49,0.00021291420476453118,900
gradient_boosted_trees,49,0.00076982908118574,900
mlp,49,0.023056978650615775,900
cnn1d,49,0.024061089404810394,900
quiet_gated_cnn,49,0.017861075935775444,900
traditional_matched_strata,50,0.038178126797603636,900
ridge,50,0.0002027209361633297,900
gradient_boosted_trees,50,0.0008172095947593971,900
mlp,50,0.011904615626005739,900
cnn1d,50,0.014817941693357204,900
quiet_gated_cnn,50,0.019667498465701292,900
traditional_matched_strata,51,0.03814650291805086,900
ridge,51,0.00020224412164618127,900
gradient_boosted_trees,51,0.0007706487920994701,900
mlp,51,0.017057866193660953,900
cnn1d,51,0.01586217685230675,900
quiet_gated_cnn,51,0.019044779821516745,900
traditional_matched_strata,52,0.03793477767030163,900
ridge,52,0.0002065883765357768,900
gradient_boosted_trees,52,0.00081969557863211,900
mlp,52,0.013144442177433439,900
cnn1d,52,0.01592914097906976,900
quiet_gated_cnn,52,0.021810160022892523,900
traditional_matched_strata,53,0.03719490665226206,900
ridge,53,0.00021024036638314536,900
gradient_boosted_trees,53,0.0007759212232600709,900
mlp,53,0.016312373623400375,900
cnn1d,53,0.020655502403282813,900
quiet_gated_cnn,53,0.019388355271747926,900
traditional_matched_strata,54,0.03743672418971189,900
ridge,54,0.00018983426111878846,900
gradient_boosted_trees,54,0.0008708551008057825,900
mlp,54,0.013438314393590155,900
cnn1d,54,0.022114698044315557,900
quiet_gated_cnn,54,0.017692503259276064,900
traditional_matched_strata,55,0.03702306278112725,900
ridge,55,0.00020339435002856676,900
gradient_boosted_trees,55,0.0008013820475369965,900
mlp,55,0.02437997560380267,900
cnn1d,55,0.018841644546147063,900
quiet_gated_cnn,55,0.021189491647924222,900
traditional_matched_strata,56,0.03842927392311112,900
ridge,56,0.00021123126880185822,900
gradient_boosted_trees,56,0.0007793530830603294,900
mlp,56,0.01614146390992921,900
cnn1d,56,0.0209738297939597,900
quiet_gated_cnn,56,0.02547135750504581,900
traditional_matched_strata,57,0.03775667938363949,900
ridge,57,0.0002063299305486974,900
gradient_boosted_trees,57,0.0008048534614812102,900
mlp,57,0.02902195920437228,900
cnn1d,57,0.04776287151011188,900
quiet_gated_cnn,57,0.041977027728080374,900
