eval_set,heldout_run,method,n,mean_observed_amplitude_adc,mean_recovered_amplitude_adc,mean_amplitude_lift_fraction,mean_charge_lift_fraction,mean_q_template_shift_fraction,timing_tail_fraction,timing_tail_delta,mean_cfd20_shift_ns,median_abs_cfd20_shift_ns
application_ge7000,58,ml_ratio_shape_only,1607,7946.141879278158,8726.965749826059,0.09779852309752639,0.004388511762468845,-0.08403819853137898,0.054138145612943375,-0.01742377100186683,0.4264815241654665,0.31112924037707046
application_ge7000,59,ml_ratio_shape_only,788,8139.281725888325,9147.747847958652,0.12157199225284925,0.009147121485950226,-0.09648786817596955,0.02030456852791878,0.0,0.5900458158137983,0.41044410277540244
application_ge7000,60,ml_ratio_shape_only,332,7976.567771084337,8755.598362385097,0.09600843985587305,0.005075013780863617,-0.08067624118909394,0.04216867469879518,0.0,0.39195277386491667,0.29095945202828766
application_ge7000,61,ml_ratio_shape_only,401,8000.911471321696,8829.226820718986,0.10203819729353235,0.005764423065040476,-0.08518592356710271,0.034912718204488775,0.0,0.444432727079782,0.31106813232732566
application_ge7000,62,ml_ratio_shape_only,491,8046.281059063136,8936.048206133399,0.1097986345828093,0.005949779501173356,-0.09126790645239423,0.032586558044806514,0.0,0.5172808534209019,0.3499158703642813
application_ge7000,63,ml_ratio_shape_only,1208,8084.693294701987,8918.893736443884,0.10158684212385351,0.0069101297591233676,-0.08399352293644415,0.009105960264900662,0.0,0.4908883932824274,0.313313777611699
application_ge7000,65,ml_ratio_shape_only,439,7912.2471526195895,8737.511702745296,0.10294712589187698,0.005501988815201309,-0.08672184405387208,0.03644646924829157,0.0,0.4849654367229017,0.31384976959420996
application_ge7000,58,ml_ratio_with_ceiling_p07b,1607,7946.141879278158,8720.751542691078,0.09790437852867608,0.0037284054587957407,-0.08534746704942406,0.05289359054138146,-0.018668326073428748,0.42306586953144826,0.3567595152201708
application_ge7000,59,ml_ratio_with_ceiling_p07b,788,8139.281725888325,9147.69258765089,0.12226956116660363,0.008565740059510144,-0.09893662989814335,0.02030456852791878,0.0,0.5931362246345957,0.45618457120344846
application_ge7000,60,ml_ratio_with_ceiling_p07b,332,7976.567771084337,8759.552563732701,0.0970194838588295,0.004661413610098024,-0.08273084735509242,0.04216867469879518,0.0,0.40378415334983764,0.3042380061475569
application_ge7000,61,ml_ratio_with_ceiling_p07b,401,8000.911471321696,8840.542471326999,0.10401747561663975,0.005488830683716212,-0.08790553809816272,0.034912718204488775,0.0,0.45320517994630916,0.3423612433392087
application_ge7000,62,ml_ratio_with_ceiling_p07b,491,8046.281059063136,8969.554627667349,0.11412088477461897,0.006278022600404028,-0.09475585862518456,0.034623217922606926,0.002036659877800412,0.533600863802876,0.37253421747660553
application_ge7000,63,ml_ratio_with_ceiling_p07b,1208,8084.693294701987,8943.849519516702,0.10518688327413847,0.006601494739320065,-0.08793907582463314,0.009105960264900662,0.0,0.5038810073888257,0.35179313994956996
application_ge7000,65,ml_ratio_with_ceiling_p07b,439,7912.2471526195895,8809.869954870648,0.1123222129658283,0.006040355404092397,-0.09483374190916984,0.03644646924829157,0.0,0.5268197167185656,0.39740171647959066
application_ge7000,58,observed,1607,7946.141879278158,7946.141879278158,0.0,0.0,0.0,0.0715619166148102,0.0,0.0,0.0
application_ge7000,59,observed,788,8139.281725888325,8139.281725888325,0.0,0.0,0.0,0.02030456852791878,0.0,0.0,0.0
application_ge7000,60,observed,332,7976.567771084337,7976.567771084337,0.0,0.0,0.0,0.04216867469879518,0.0,0.0,0.0
application_ge7000,61,observed,401,8000.911471321696,8000.911471321696,0.0,0.0,0.0,0.034912718204488775,0.0,0.0,0.0
application_ge7000,62,observed,491,8046.281059063136,8046.281059063136,0.0,0.0,0.0,0.032586558044806514,0.0,0.0,0.0
application_ge7000,63,observed,1208,8084.693294701987,8084.693294701987,0.0,0.0,0.0,0.009105960264900662,0.0,0.0,0.0
application_ge7000,65,observed,439,7912.2471526195895,7912.2471526195895,0.0,0.0,0.0,0.03644646924829157,0.0,0.0,0.0
application_ge7000,58,traditional_template_family,1607,7946.141879278158,7946.141879278158,0.0,0.0006555898826074127,0.0006555898826074135,0.0715619166148102,0.0,0.0,0.0
application_ge7000,59,traditional_template_family,788,8139.281725888325,8139.281725888325,0.0,0.0010998649560360122,0.001099864956036013,0.02030456852791878,0.0,0.0,0.0
application_ge7000,60,traditional_template_family,332,7976.567771084337,7976.567771084337,0.0,0.0008623799657049458,0.0008623799657049452,0.04216867469879518,0.0,0.0,0.0
application_ge7000,61,traditional_template_family,401,8000.911471321696,8000.911471321696,0.0,0.0013553438261019659,0.0013553438261019648,0.034912718204488775,0.0,0.0,0.0
application_ge7000,62,traditional_template_family,491,8046.281059063136,8046.281059063136,0.0,0.001254582087877768,0.0012545820878777684,0.032586558044806514,0.0,0.0,0.0
application_ge7000,63,traditional_template_family,1208,8084.693294701987,8084.693294701987,0.0,0.0011188002790656086,0.0011188002790656077,0.009105960264900662,0.0,0.0,0.0
application_ge7000,65,traditional_template_family,439,7912.2471526195895,7912.2471526195895,0.0,0.0008522738473046772,0.0008522738473046787,0.03644646924829157,0.0,0.0,0.0
application_ge7500,58,ml_ratio_shape_only,1076,8302.675650557621,9131.308248747018,0.0993412344947615,0.006492294890373167,-0.0831107888789521,0.056691449814126396,-0.02137546468401487,0.4353011875593097,0.3042267334175186
application_ge7500,59,ml_ratio_shape_only,584,8455.025684931506,9569.411602056527,0.1300472137166099,0.01189805037251334,-0.10020712697376648,0.015410958904109588,0.0,0.6381448170205296,0.441721288286161
application_ge7500,60,ml_ratio_shape_only,232,8302.273706896553,9154.029048889153,0.10098722093290258,0.007213336660102713,-0.0821712453839437,0.04310344827586207,0.0,0.4024524655034363,0.27339063631423244
application_ge7500,61,ml_ratio_shape_only,277,8337.76714801444,9239.592132593021,0.10668069272629291,0.008096936689515236,-0.08618128080909611,0.036101083032490974,0.0,0.4620322190089579,0.30710488492691645
application_ge7500,62,ml_ratio_shape_only,357,8360.732492997198,9307.464020570835,0.11257839146802914,0.00791691048854494,-0.09152890712971884,0.025210084033613446,0.0,0.539853568403931,0.3628869976509197
application_ge7500,63,ml_ratio_shape_only,872,8408.629587155963,9309.985525389211,0.10564538637826129,0.009247960606264259,-0.08478864208192025,0.010321100917431193,0.0,0.5001346616238177,0.3126459069862264
application_ge7500,65,ml_ratio_shape_only,279,8300.043010752688,9223.81941247524,0.11021886202062238,0.008471417146916554,-0.08928061040231182,0.025089605734767026,0.0,0.5287284533473788,0.31565680412159125
application_ge7500,58,ml_ratio_with_ceiling_p07b,1076,8302.675650557621,9080.269026544704,0.0937147245018678,0.0054460894113414135,-0.08020703340619681,0.056691449814126396,-0.02137546468401487,0.4071211183302917,0.3354982908078341
application_ge7500,59,ml_ratio_with_ceiling_p07b,584,8455.025684931506,9548.632373753695,0.1281088364136534,0.011072245052943139,-0.1008928828298731,0.015410958904109588,0.0,0.6272089302877691,0.48175465123873495
application_ge7500,60,ml_ratio_with_ceiling_p07b,232,8302.273706896553,9144.437560960298,0.10032794368169938,0.006557712414025936,-0.08333883251772309,0.04310344827586207,0.0,0.4078553488257014,0.29493345835434503
application_ge7500,61,ml_ratio_with_ceiling_p07b,277,8337.76714801444,9238.360422759977,0.10711950480498439,0.007681024388931225,-0.08800985448180598,0.036101083032490974,0.0,0.4630455223703928,0.3423612433392087
application_ge7500,62,ml_ratio_with_ceiling_p07b,357,8360.732492997198,9335.633114793734,0.11604813367538419,0.008280702338970882,-0.09426318814087442,0.028011204481792718,0.002801120448179272,0.5513186531307595,0.37873275016609753
application_ge7500,63,ml_ratio_with_ceiling_p07b,872,8408.629587155963,9320.5757642467,0.10730760539066085,0.008799672591299301,-0.0873943488072139,0.010321100917431193,0.0,0.5045893409292752,0.3452303042076288
application_ge7500,65,ml_ratio_with_ceiling_p07b,279,8300.043010752688,9290.645958720961,0.11845168258978522,0.009052857395093466,-0.096797310997945,0.025089605734767026,0.0,0.5659759669614141,0.40372632572755585
application_ge7500,58,observed,1076,8302.675650557621,8302.675650557621,0.0,0.0,0.0,0.07806691449814127,0.0,0.0,0.0
application_ge7500,59,observed,584,8455.025684931506,8455.025684931506,0.0,0.0,0.0,0.015410958904109588,0.0,0.0,0.0
application_ge7500,60,observed,232,8302.273706896553,8302.273706896553,0.0,0.0,0.0,0.04310344827586207,0.0,0.0,0.0
application_ge7500,61,observed,277,8337.76714801444,8337.76714801444,0.0,0.0,0.0,0.036101083032490974,0.0,0.0,0.0
application_ge7500,62,observed,357,8360.732492997198,8360.732492997198,0.0,0.0,0.0,0.025210084033613446,0.0,0.0,0.0
application_ge7500,63,observed,872,8408.629587155963,8408.629587155963,0.0,0.0,0.0,0.010321100917431193,0.0,0.0,0.0
