eval_set,heldout_run,method,n,lift_vs_observed_amp_r2
boundary_6500_7000,58,ml_ratio_shape_only,701,0.0014176366254056523
boundary_6500_7000,58,ml_ratio_with_ceiling_p07b,701,0.012936059349544605
boundary_7000_7500,58,ml_ratio_shape_only,531,0.00028319721442890427
boundary_7000_7500,58,ml_ratio_with_ceiling_p07b,531,9.455149074995897e-06
boundary_6500_7500,58,ml_ratio_shape_only,1232,0.002748628948417609
boundary_6500_7500,58,ml_ratio_with_ceiling_p07b,1232,0.0020200016963296636
application_ge7000,58,ml_ratio_shape_only,1607,0.016948155140088354
application_ge7000,58,ml_ratio_with_ceiling_p07b,1607,0.03981041326331523
application_ge7500,58,ml_ratio_shape_only,1076,0.02146412659283811
application_ge7500,58,ml_ratio_with_ceiling_p07b,1076,0.001077925668430913
boundary_6500_7000,59,ml_ratio_shape_only,255,0.0011196879885626862
boundary_6500_7000,59,ml_ratio_with_ceiling_p07b,255,0.0010284033140068602
boundary_7000_7500,59,ml_ratio_shape_only,204,0.022588945961689866
boundary_7000_7500,59,ml_ratio_with_ceiling_p07b,204,0.0198627336775753
boundary_6500_7500,59,ml_ratio_shape_only,459,0.00820478750400146
boundary_6500_7500,59,ml_ratio_with_ceiling_p07b,459,0.012501096233122282
application_ge7000,59,ml_ratio_shape_only,788,0.094668695281849
application_ge7000,59,ml_ratio_with_ceiling_p07b,788,0.07331590212495663
application_ge7500,59,ml_ratio_shape_only,584,0.07597209557204153
application_ge7500,59,ml_ratio_with_ceiling_p07b,584,0.058240033131555936
boundary_6500_7000,60,ml_ratio_shape_only,159,0.010850800495401033
boundary_6500_7000,60,ml_ratio_with_ceiling_p07b,159,0.010800188646418704
boundary_7000_7500,60,ml_ratio_shape_only,100,0.012869433994891407
boundary_7000_7500,60,ml_ratio_with_ceiling_p07b,100,0.02350369341300078
boundary_6500_7500,60,ml_ratio_shape_only,259,0.0008108423243974445
boundary_6500_7500,60,ml_ratio_with_ceiling_p07b,259,0.0008158023074496026
application_ge7000,60,ml_ratio_shape_only,332,0.08525383516522009
application_ge7000,60,ml_ratio_with_ceiling_p07b,332,0.06656952745177815
application_ge7500,60,ml_ratio_shape_only,232,0.09358040256103732
application_ge7500,60,ml_ratio_with_ceiling_p07b,232,0.07477182503309669
boundary_6500_7000,61,ml_ratio_shape_only,172,0.0005040983084851751
boundary_6500_7000,61,ml_ratio_with_ceiling_p07b,172,0.0007260837189880095
boundary_7000_7500,61,ml_ratio_shape_only,124,0.008018837474992338
boundary_7000_7500,61,ml_ratio_with_ceiling_p07b,124,0.010386514677092085
boundary_6500_7500,61,ml_ratio_shape_only,296,0.0009729390814367752
boundary_6500_7500,61,ml_ratio_with_ceiling_p07b,296,0.009069565703351394
application_ge7000,61,ml_ratio_shape_only,401,0.06887548615675351
application_ge7000,61,ml_ratio_with_ceiling_p07b,401,0.04498221130033247
application_ge7500,61,ml_ratio_shape_only,277,0.07259125886326448
application_ge7500,61,ml_ratio_with_ceiling_p07b,277,0.04449665718376278
boundary_6500_7000,62,ml_ratio_shape_only,185,0.011918515829617213
boundary_6500_7000,62,ml_ratio_with_ceiling_p07b,185,0.029544050646470643
boundary_7000_7500,62,ml_ratio_shape_only,134,0.00017576686233912548
boundary_7000_7500,62,ml_ratio_with_ceiling_p07b,134,0.00022063175086978708
boundary_6500_7500,62,ml_ratio_shape_only,319,0.034768171587137256
boundary_6500_7500,62,ml_ratio_with_ceiling_p07b,319,0.04117602227994931
application_ge7000,62,ml_ratio_shape_only,491,0.021036180800143713
application_ge7000,62,ml_ratio_with_ceiling_p07b,491,0.014960077377779223
application_ge7500,62,ml_ratio_shape_only,357,0.0219858030879259
application_ge7500,62,ml_ratio_with_ceiling_p07b,357,0.01718256690349931
boundary_6500_7000,63,ml_ratio_shape_only,415,0.0002111074253250455
boundary_6500_7000,63,ml_ratio_with_ceiling_p07b,415,0.0015498427452675702
boundary_7000_7500,63,ml_ratio_shape_only,336,0.004454180245084659
boundary_7000_7500,63,ml_ratio_with_ceiling_p07b,336,0.00016906745752220807
boundary_6500_7500,63,ml_ratio_shape_only,751,0.0039450865024840565
boundary_6500_7500,63,ml_ratio_with_ceiling_p07b,751,0.009011257140085592
application_ge7000,63,ml_ratio_shape_only,1208,0.08896973387318241
application_ge7000,63,ml_ratio_with_ceiling_p07b,1208,0.06577010397775007
application_ge7500,63,ml_ratio_shape_only,872,0.10450942197714554
application_ge7500,63,ml_ratio_with_ceiling_p07b,872,0.091093758132485
boundary_6500_7000,65,ml_ratio_shape_only,238,1.829415530748946e-06
boundary_6500_7000,65,ml_ratio_with_ceiling_p07b,238,0.004341717849077435
boundary_7000_7500,65,ml_ratio_shape_only,160,0.013348484994963938
boundary_7000_7500,65,ml_ratio_with_ceiling_p07b,160,0.0009973542238984297
boundary_6500_7500,65,ml_ratio_shape_only,398,0.003223392428565259
boundary_6500_7500,65,ml_ratio_with_ceiling_p07b,398,0.0004008841328916399
application_ge7000,65,ml_ratio_shape_only,439,0.08797787839542397
application_ge7000,65,ml_ratio_with_ceiling_p07b,439,0.14068342257161467
application_ge7500,65,ml_ratio_shape_only,279,0.0624148245424728
application_ge7500,65,ml_ratio_with_ceiling_p07b,279,0.10393714026205511
