heldout_run,method,n,bias,res68,frac_within10,r2_log_amp
58,traditional_template_family,5155,-0.007854928357550039,0.1471321460673109,0.463627546071775,-0.008278977957649314
58,ml_direct_gbr_artificial,5155,-0.0021524240877591034,0.026631231866796237,0.9945683802133851,0.9468431468915643
58,ml_ratio_shape_only,5155,0.005965995109041028,0.03852647473897922,0.9804073714839961,0.8794992896312512
58,ml_ratio_with_ceiling_p07b,5155,0.002349660204440864,0.0340509443645146,0.982929194956353,0.899246804598711
58,ml_ratio_shuffled_target,5155,0.1475423649064902,0.24269803277930524,0.4067895247332687,-1.1765950040376998
58,ml_ratio_ceiling_only,5155,-0.015131478437549991,0.1462061191541385,0.46731328806983513,-0.02253441882967122
59,traditional_template_family,2597,0.032154795580890766,0.1505121381244838,0.4647670388910281,-0.019135086103052812
59,ml_direct_gbr_artificial,2597,0.0022598541928397025,0.03540889540520228,0.9580284944166346,0.8735725346355755
59,ml_ratio_shape_only,2597,0.010639045548216495,0.05084778722770089,0.9125914516750097,0.7491965675657494
59,ml_ratio_with_ceiling_p07b,2597,0.008127137986376116,0.046447052497344155,0.9195225259915287,0.7726038950326168
59,ml_ratio_shuffled_target,2597,0.19545404065133232,0.2798859056618485,0.3092029264536003,-1.7975300647619648
59,ml_ratio_ceiling_only,2597,0.021066504863344198,0.14678595155200935,0.4728532922603004,-0.004296508345718042
60,traditional_template_family,1805,0.04563062199295255,0.15113635355354632,0.4337950138504155,-0.042014955948860955
60,ml_direct_gbr_artificial,1805,-0.0034470441623733793,0.028470987034401783,0.9905817174515236,0.9303423260779597
60,ml_ratio_shape_only,1805,0.0037875296494692566,0.045735787170293876,0.9462603878116344,0.8144554618124116
60,ml_ratio_with_ceiling_p07b,1805,0.0029026105765837164,0.039369775739006053,0.9501385041551247,0.8319219846549599
60,ml_ratio_shuffled_target,1805,0.2171369145544201,0.3013645654163595,0.2814404432132964,-2.0504328926551643
60,ml_ratio_ceiling_only,1805,0.036574132950533675,0.14874266214466708,0.4470914127423823,-0.017601991529448746
61,traditional_template_family,2073,0.04425087949842066,0.14964342012568072,0.4645441389290883,-0.04987421603580078
61,ml_direct_gbr_artificial,2073,-3.7296724652640326e-05,0.029919096494718016,0.984081041968162,0.9154201392052026
61,ml_ratio_shape_only,2073,0.0061833971687987425,0.04484325824153758,0.9536903039073806,0.8200261297648632
61,ml_ratio_with_ceiling_p07b,2073,0.0051275008892729705,0.040571254271725185,0.9570670525808008,0.8355759310179489
61,ml_ratio_shuffled_target,2073,0.20746275975859474,0.2921356431068017,0.2918475639170285,-2.0675421133962706
61,ml_ratio_ceiling_only,2073,0.0369722354890297,0.1494997002301475,0.467438494934877,-0.029097166374200567
62,traditional_template_family,2141,0.03772802759318743,0.1501944734075605,0.4507239607659972,-0.03542744524106789
62,ml_direct_gbr_artificial,2141,0.0015059744772226262,0.03036021362051727,0.9780476412891173,0.9008264766084175
62,ml_ratio_shape_only,2141,0.008213775054613324,0.04453315605827218,0.9439514245679589,0.8023923158893074
62,ml_ratio_with_ceiling_p07b,2141,0.005516895816050215,0.04155869722873518,0.9458197104156936,0.8121265973487093
62,ml_ratio_shuffled_target,2141,0.2006137352298382,0.2906219832255873,0.30686595049042503,-1.9136976874573923
62,ml_ratio_ceiling_only,2141,0.031726704353641666,0.14819395483129294,0.4586641756188697,-0.021417612408090037
63,traditional_template_family,2984,-0.005672045768031996,0.14744057540192315,0.44839142091152817,-0.00011618352193543124
63,ml_direct_gbr_artificial,2984,0.001108099730580163,0.03125464640431162,0.9745308310991957,0.9053625730394572
63,ml_ratio_shape_only,2984,0.006470260606221375,0.04787826063217244,0.9239276139410187,0.7731398729883752
63,ml_ratio_with_ceiling_p07b,2984,0.001870728937303833,0.04045825936365131,0.9269436997319035,0.8063605380245193
63,ml_ratio_shuffled_target,2984,0.16152904291836642,0.2602063379212532,0.37567024128686327,-1.4119096629563477
63,ml_ratio_ceiling_only,2984,-0.013202640654653632,0.14691768286771045,0.44906166219839144,-0.010497708601650224
65,traditional_template_family,2495,0.014312919484135071,0.14250474732264917,0.4797595190380762,-0.0003022366890559347
65,ml_direct_gbr_artificial,2495,-0.0017131505858158083,0.028864484357556296,0.9859719438877755,0.9270271504898668
65,ml_ratio_shape_only,2495,0.0019347901065776404,0.043044499683125126,0.9559118236472945,0.8320997852623641
65,ml_ratio_with_ceiling_p07b,2495,-7.482361079814093e-05,0.038392849445807474,0.9555110220440882,0.851590832707644
65,ml_ratio_shuffled_target,2495,0.17526841621477968,0.257591365732648,0.3474949899799599,-1.5744574388601373
65,ml_ratio_ceiling_only,2495,0.006464224127099897,0.14061757376607564,0.4821643286573146,-0.0008077457372401842
