n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
500,7,10,0.856356393430268,0.8701657453603067,0.15786662331936951
400,5,15,0.8223415033295471,0.8422680138036006,0.17401239319999598
300,4,20,0.7999771749721416,0.8212421275696498,0.18266854735101792
200,3,30,0.7784350859437665,0.7978848261369333,0.19000293846324048
