consumer,stratum,method,method_label,n_pair_residuals,n_events,n_runs,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,tail_frac_ci_low,tail_frac_ci_high
timing,all,analytic_timewalk,exact-fold S03 analytic_timewalk,11460,3820,7,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056,1.375157355515854,1.9190043509527532,2.4460431207858577,2.882604463223259,0.013526090859652846,0.025836742407431418
timing,all,hgb_waveform_amp_shape_stave,S03k HGB waveform-amplitude-shape-stave,11460,3820,7,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206,1.0848110836296299,1.1521160116751281,1.936826333061094,2.296742987559964,0.010114944293093632,0.018174631338222537
charge,all_charge_matched,analytic_timewalk,exact-fold S03 analytic_timewalk,11460,3820,7,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056,1.375157355515854,1.9190043509527532,2.4460431207858577,2.882604463223259,0.013526090859652846,0.025836742407431418
charge,all_charge_matched,hgb_waveform_amp_shape_stave,S03k HGB waveform-amplitude-shape-stave,11460,3820,7,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206,1.0848110836296299,1.1521160116751281,1.936826333061094,2.296742987559964,0.010114944293093632,0.018174631338222537
energy,all_energy_support,analytic_timewalk,exact-fold S03 analytic_timewalk,11460,3820,7,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056,1.375157355515854,1.9190043509527532,2.4460431207858577,2.882604463223259,0.013526090859652846,0.025836742407431418
energy,all_energy_support,hgb_waveform_amp_shape_stave,S03k HGB waveform-amplitude-shape-stave,11460,3820,7,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206,1.0848110836296299,1.1521160116751281,1.936826333061094,2.296742987559964,0.010114944293093632,0.018174631338222537
pileup,all_timing_tail_proxy,analytic_timewalk,exact-fold S03 analytic_timewalk,11460,3820,7,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056,1.375157355515854,1.9190043509527532,2.4460431207858577,2.882604463223259,0.013526090859652846,0.025836742407431418
pileup,all_timing_tail_proxy,hgb_waveform_amp_shape_stave,S03k HGB waveform-amplitude-shape-stave,11460,3820,7,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206,1.0848110836296299,1.1521160116751281,1.936826333061094,2.296742987559964,0.010114944293093632,0.018174631338222537
pid,all_topology_proxy,analytic_timewalk,exact-fold S03 analytic_timewalk,11460,3820,7,1.244169340772551,1.4947512901245903,1.5510917109777835,2.666988996928635,0.019109947643979056,1.375157355515854,1.9190043509527532,2.4460431207858577,2.882604463223259,0.013526090859652846,0.025836742407431418
pid,all_topology_proxy,hgb_waveform_amp_shape_stave,S03k HGB waveform-amplitude-shape-stave,11460,3820,7,-0.5651883899025881,-0.5800552938889112,1.1074168319603352,2.1317098900814804,0.013787085514834206,1.0848110836296299,1.1521160116751281,1.936826333061094,2.296742987559964,0.010114944293093632,0.018174631338222537
