consumer,stratum,n_pair_residuals,hgb_minus_analytic_sigma68_ns,hgb_minus_analytic_full_rms_ns,hgb_minus_analytic_tail_frac_abs_gt5ns,analytic_sigma68_ns,hgb_sigma68_ns,analytic_full_rms_ns,hgb_full_rms_ns,analytic_tail_frac_abs_gt5ns,hgb_tail_frac_abs_gt5ns,sigma68_delta_ci_low_ns,sigma68_delta_ci_high_ns,full_rms_delta_ci_low_ns,full_rms_delta_ci_high_ns,tail_frac_delta_ci_low,tail_frac_delta_ci_high
timing,all,11460,-0.4436748790174483,-0.5352791068471547,-0.0053228621291448504,1.5510917109777835,1.1074168319603352,2.666988996928635,2.1317098900814804,0.019109947643979056,0.013787085514834206,-0.7882675561993318,-0.2499637880442454,-0.5993815386610548,-0.44946530833110615,-0.008738589886291252,-0.002245175726191895
charge,all_charge_matched,11460,-0.4436748790174483,-0.5352791068471547,-0.0053228621291448504,1.5510917109777835,1.1074168319603352,2.666988996928635,2.1317098900814804,0.019109947643979056,0.013787085514834206,-0.7750133466821557,-0.25073310130801413,-0.5977100904933615,-0.4497766315626997,-0.008565564802462075,-0.002256229154404552
energy,all_energy_support,11460,-0.4436748790174483,-0.5352791068471547,-0.0053228621291448504,1.5510917109777835,1.1074168319603352,2.666988996928635,2.1317098900814804,0.019109947643979056,0.013787085514834206,-0.8371100187851357,-0.23760903450095452,-0.6053061649515612,-0.459462152129349,-0.009208199297302667,-0.002286509593398947
pileup,all_timing_tail_proxy,11460,-0.4436748790174483,-0.5352791068471547,-0.0053228621291448504,1.5510917109777835,1.1074168319603352,2.666988996928635,2.1317098900814804,0.019109947643979056,0.013787085514834206,-0.8291743231760991,-0.2515112909176913,-0.5961333279217467,-0.45532440038102184,-0.009075389254936169,-0.0021943258056651644
pid,all_topology_proxy,11460,-0.4436748790174483,-0.5352791068471547,-0.0053228621291448504,1.5510917109777835,1.1074168319603352,2.666988996928635,2.1317098900814804,0.019109947643979056,0.013787085514834206,-0.839429939035836,-0.2520597930311087,-0.5972621135082626,-0.4552218864647474,-0.009102852852852852,-0.0021981535702479673
charge,"charge_bin=charge[14000,24000)",5990,-0.4150906968229884,-0.4456064243937783,-0.006343906510851419,1.543294096733852,1.1282033999108636,2.4350762322202217,1.9894698078264434,0.013856427378964942,0.007512520868113523,-0.8130417150235485,-0.16095671785616095,-0.5848767298175346,-0.288957870739605,-0.01353613095144399,-0.0014535213599740646
charge,"charge_bin=charge[24000,40000)",3624,-0.6140603115517445,-0.8560319733975663,-0.005794701986754969,1.7752475548945676,1.1611872433428232,3.007242040194987,2.1512100667974208,0.030629139072847682,0.024834437086092714,-0.9277021353622764,-0.32701456299372017,-1.0408018404187698,-0.6694947941962128,-0.010865641989282563,-0.0014770589430627874
charge,"charge_bin=charge[4000,8000)",285,-0.3403560380901123,-0.09919488932811227,0.0,1.2660451706576048,0.9256891325674925,3.240680485252717,3.1414855959246046,0.010526315789473684,0.010526315789473684,-0.476423866763071,-0.2750733659366391,-0.5172430714603246,0.36041277242854913,0.0,0.0
charge,"charge_bin=charge[8000,14000)",1471,-0.3590773677942559,-0.10464956279931092,-0.001359619306594154,1.238845681835671,0.8797683140414151,2.150832367144067,2.046182804344756,0.009517335146159076,0.008157715839564922,-0.47863900753896454,-0.17067262054572932,-0.31881930374462797,0.12244592240277029,-0.008390235432184513,0.0027359781121751026
energy,"amplitude_bin=amp_adc[1000,1500)",256,-0.12678067427353967,-0.488190290109384,0.0,0.9439871224763401,0.8172064482028004,2.955759084487598,2.467568794378214,0.0078125,0.0078125,-0.3248613389309721,0.2539787815824788,-0.7580582503204645,-0.1054000893272878,0.0,0.0
energy,"amplitude_bin=amp_adc[1500,2500)",3901,-0.29808739213363133,-0.3044458048129359,-0.006152268649064342,1.3523381274574648,1.0542507353238335,2.197581618932686,1.89313581411975,0.013586259933350423,0.007433991284286081,-0.6506523649527516,-0.126092492203677,-0.3253840703986839,-0.2538867287960049,-0.012468984275264319,-0.0003648572188764751
energy,"amplitude_bin=amp_adc[2500,4000)",6811,-0.42880453468483837,-0.5104129646422906,-0.002202319776831595,1.561580351012349,1.1327758163275106,2.6379571421248373,2.1275441774825468,0.017178094259286448,0.014975774482454853,-0.8439352618729632,-0.1607127207497349,-0.6407129238466515,-0.3907655884857937,-0.005669129015633052,0.0005019196594898217
energy,"amplitude_bin=amp_adc[4000,7000)",492,-1.1892791548111479,-1.545019808919848,-0.03252032520325203,2.5544394749051538,1.365160320094006,4.917319702427411,3.3722998935075634,0.09349593495934959,0.06097560975609756,-1.8480619657614774,-0.9100126664132873,-1.8835030386892926,-0.990568787361481,-0.057855251544571926,-0.02199413489736071
pileup,sample_window_mask=artifact_sensitive_3_6,2498,-0.5372637765985888,-0.3097599270984791,0.003602882305844676,1.1803734466739162,0.6431096700753274,1.120509763821884,0.8107498367234048,0.0,0.003602882305844676,-0.5700348265765285,-0.4912220575263919,-0.37920776217109164,-0.26130086402901676,0.001535171333391938,0.006470916190677667
pileup,sample_window_mask=delayed_or_edge_15_17,477,-0.025500203912645514,-0.41086814039997765,0.012578616352201255,1.1704493605623196,1.1449491566496741,5.238615234212618,4.827747093812641,0.06918238993710692,0.08176100628930817,-0.0888514416537649,0.07994240828782179,-0.8984565264214482,0.18506763666012455,-0.009833789160372636,0.02742793249896643
pileup,sample_window_mask=late_tail_12_14,429,-0.18978143104140033,-1.2274747079285415,-0.00932400932400932,1.247582357132731,1.0578009260913306,5.217391244190656,3.9899165362621147,0.06526806526806526,0.055944055944055944,-0.3143036401146508,-0.004342807377062712,-2.015734689294517,-0.6761101117860502,-0.028333333333333332,0.0020242914979757
pileup,sample_window_mask=nominal_template_7_11,8056,-0.5749066573086925,-0.5691006431706231,-0.0073237338629592846,1.8699466385594432,1.2950399812507507,2.5771910793439314,2.0080904361733083,0.018247269116186692,0.010923535253227408,-0.9509766458866307,-0.26792238604241514,-0.7308054250647517,-0.37673973260146476,-0.01396962309763267,-0.0024074625762668164
