method,target_purity,threshold,fixed_purity_efficiency,achieved_purity,selected,tp,fp,fn
1d_cnn,0.8,0.9500922678701637,0.0,0.0,0,0,0,328
deltaE_over_E_likelihood_template,0.8,0.9998165040315288,0.0,0.0,0,0,0,328
gradient_boosted_trees,0.8,0.3899851380772895,0.9176829268292683,0.800531914893617,376,301,75,27
joint_sequence_transformer,0.8,0.6206892728805542,0.0,0.0,0,0,0,328
mlp,0.8,0.9674694735472222,0.0,0.0,0,0,0,328
ridge,0.8,0.5563617631231158,0.5274390243902439,0.8009259259259259,216,173,43,155
template_residual_boosted_stack_new,0.8,0.3960516260827235,0.9207317073170732,0.8031914893617021,376,302,74,26
