method,bin,score_interval,n,mean_pid_score,observed_pid_fraction,calibration_residual
1d_cnn,1,"(0.024999999999999998, 0.153]",132,0.1079244292986256,0.030303030303030304,-0.0776213989955953
1d_cnn,2,"(0.153, 0.312]",132,0.22911935788232052,0.22727272727272727,-0.0018466306095932528
1d_cnn,3,"(0.312, 0.599]",132,0.457369434790812,0.6515151515151515,0.1941457167243395
1d_cnn,4,"(0.599, 0.759]",132,0.6980163370310206,0.8181818181818182,0.12016548115079762
1d_cnn,5,"(0.759, 0.95]",132,0.8286304146986093,0.7575757575757576,-0.07105465712285175
deltaE_over_E_likelihood_template,1,"(-0.000851, 0.3]",132,0.18798022714139803,0.19696969696969696,0.00898946982829893
deltaE_over_E_likelihood_template,2,"(0.3, 0.408]",132,0.3570714587980975,0.13636363636363635,-0.22070782243446113
deltaE_over_E_likelihood_template,3,"(0.408, 0.555]",132,0.4700715393901335,0.5681818181818182,0.09811027879168471
deltaE_over_E_likelihood_template,4,"(0.555, 0.763]",132,0.6601123969571944,0.8409090909090909,0.18079669395189657
deltaE_over_E_likelihood_template,5,"(0.763, 1.0]",132,0.8535403464402234,0.7424242424242424,-0.11111610401598093
gradient_boosted_trees,1,"(0.00243, 0.00819]",132,0.005508706228920787,0.007575757575757576,0.0020670513468367888
gradient_boosted_trees,2,"(0.00819, 0.286]",132,0.07334104162509708,0.13636363636363635,0.06302259473853927
gradient_boosted_trees,3,"(0.286, 0.81]",132,0.6132915927641697,0.5909090909090909,-0.02238250185507873
gradient_boosted_trees,4,"(0.81, 0.926]",132,0.8831717601005326,0.8712121212121212,-0.01195963888841134
gradient_boosted_trees,5,"(0.926, 0.991]",132,0.9581544307593866,0.8787878787878788,-0.07936655197150777
joint_sequence_transformer,1,"(0.433, 0.476]",132,0.4638989220062892,0.44696969696969696,-0.01692922503659222
joint_sequence_transformer,2,"(0.476, 0.486]",132,0.48088132093350094,0.5303030303030303,0.04942170936952933
joint_sequence_transformer,3,"(0.486, 0.503]",132,0.4940311267520442,0.4772727272727273,-0.0167583994793169
joint_sequence_transformer,4,"(0.503, 0.531]",132,0.5148501938039606,0.5227272727272727,0.00787707892331213
joint_sequence_transformer,5,"(0.531, 0.621]",132,0.5618820930972244,0.5075757575757576,-0.0543063355214668
mlp,1,"(0.316, 0.427]",132,0.39479079996384314,0.14393939393939395,-0.2508514060244492
mlp,2,"(0.427, 0.461]",132,0.443900457154802,0.2878787878787879,-0.15602166927601407
mlp,3,"(0.461, 0.508]",132,0.4821351497881691,0.5681818181818182,0.0860466683936491
mlp,4,"(0.508, 0.576]",132,0.5352275844150971,0.7424242424242424,0.20719665800914533
mlp,5,"(0.576, 0.967]",132,0.6539650708957035,0.7424242424242424,0.08845917152853888
ridge,1,"(0.283, 0.378]",132,0.3543194593588952,0.015151515151515152,-0.33916794420738006
ridge,2,"(0.378, 0.424]",132,0.40061448493790913,0.23484848484848486,-0.16576600008942427
ridge,3,"(0.424, 0.528]",132,0.46811179023757465,0.6515151515151515,0.18340336127757684
ridge,4,"(0.528, 0.599]",132,0.564280609468724,0.8333333333333334,0.2690527238646093
ridge,5,"(0.599, 0.841]",132,0.670007452056503,0.75,0.07999254794349697
template_residual_boosted_stack_new,1,"(0.00356, 0.0103]",132,0.0071924635337590245,0.007575757575757576,0.0003832940419985515
template_residual_boosted_stack_new,2,"(0.0103, 0.253]",132,0.0668159827097736,0.12878787878787878,0.06197189607810519
template_residual_boosted_stack_new,3,"(0.253, 0.777]",132,0.6085731942502554,0.6742424242424242,0.06566922999216884
template_residual_boosted_stack_new,4,"(0.777, 0.916]",132,0.8545121407571913,0.7727272727272727,-0.08178486802991858
template_residual_boosted_stack_new,5,"(0.916, 0.991]",132,0.9534018447683712,0.9015151515151515,-0.05188669325321971
