method,metric,direction,delta_vs_traditional,delta_ci_low_conservative,delta_ci_high_conservative
template_residual_boosted_stack_new,pid_balanced_accuracy,higher_better,0.08093961210696432,0.013831709574467665,0.1325766960113849
template_residual_boosted_stack_new,energy_fractional_sigma68,lower_better,-0.0173463491271066,-0.047836754232292,0.002099200462616399
template_residual_boosted_stack_new,time_sigma68_ns,lower_better,-3.5054780951449107,-7.07715937369369,-0.5797445405135804
template_residual_boosted_stack_new,pileup_miss_rate,lower_better,-0.34848484848484845,-0.4424242424242425,-0.2514393939393939
template_residual_boosted_stack_new,false_split_rate,lower_better,0.15454545454545449,0.05454545454545448,0.23333333333333328
gradient_boosted_trees,pid_balanced_accuracy,higher_better,0.07638480752277399,0.001104788541608892,0.13758786985162497
gradient_boosted_trees,energy_fractional_sigma68,lower_better,-0.014059851920981803,-0.036687171883207706,0.0015795183357798087
gradient_boosted_trees,time_sigma68_ns,lower_better,-3.3799059265522136,-7.31682119558682,-0.05449561173159623
gradient_boosted_trees,pileup_miss_rate,lower_better,-0.3818181818181819,-0.4818181818181819,-0.2816666666666667
gradient_boosted_trees,false_split_rate,lower_better,0.1515151515151515,0.05454545454545448,0.23333333333333328
ridge,pid_balanced_accuracy,higher_better,-0.015207170143990645,-0.07253463340555066,0.03773823830751377
ridge,energy_fractional_sigma68,lower_better,-0.011555374717108213,-0.044131391673512696,0.013249727735732603
ridge,time_sigma68_ns,lower_better,-1.260848501993479,-5.2455847402781774,1.4275825944202598
ridge,pileup_miss_rate,lower_better,-0.40303030303030307,-0.496969696969697,-0.2908333333333333
ridge,false_split_rate,lower_better,0.1878787878787879,0.10598484848484849,0.2666666666666666
1d_cnn,pid_balanced_accuracy,higher_better,0.00925653834851592,-0.05844443355116724,0.07813796565500819
1d_cnn,energy_fractional_sigma68,lower_better,0.0027204131771419865,-0.0344095299843374,0.04042241926180759
1d_cnn,time_sigma68_ns,lower_better,-0.8208485735722277,-5.170927137910077,2.4930178850369558
1d_cnn,pileup_miss_rate,lower_better,-0.39999999999999997,-0.4758333333333334,-0.31810606060606056
1d_cnn,false_split_rate,lower_better,0.15757575757575762,0.04515151515151508,0.2545454545454545
deltaE_over_E_likelihood_template,pid_balanced_accuracy,higher_better,0.0,-0.05658718156228604,0.05658718156228604
deltaE_over_E_likelihood_template,energy_fractional_sigma68,lower_better,0.0,-0.028825876476224102,0.028825876476224102
deltaE_over_E_likelihood_template,time_sigma68_ns,lower_better,0.0,-4.9529464013281785,4.9529464013281785
deltaE_over_E_likelihood_template,pileup_miss_rate,lower_better,0.0,-0.09401515151515161,0.09401515151515161
deltaE_over_E_likelihood_template,false_split_rate,lower_better,0.0,-0.06060606060606061,0.06060606060606061
joint_sequence_transformer,pid_balanced_accuracy,higher_better,-0.2531773435204232,-0.31406717003571905,-0.18902828871373678
joint_sequence_transformer,energy_fractional_sigma68,lower_better,0.022147056555907693,-0.010343416682566706,0.0422016591936743
joint_sequence_transformer,time_sigma68_ns,lower_better,0.779338937538677,-3.131753606167628,4.64940361410558
joint_sequence_transformer,pileup_miss_rate,lower_better,-0.35454545454545455,-0.4454545454545455,-0.260530303030303
joint_sequence_transformer,false_split_rate,lower_better,0.1272727272727273,0.0393939393939394,0.2031060606060605
mlp,pid_balanced_accuracy,higher_better,-0.06529165442256835,-0.11975195106471792,-0.01738106941325035
mlp,energy_fractional_sigma68,lower_better,0.061135370683685394,0.018811077848107496,0.09320926250934591
mlp,time_sigma68_ns,lower_better,3.2519971017747444,-0.7905636056882077,6.9684965860925185
mlp,pileup_miss_rate,lower_better,-0.3909090909090909,-0.4637121212121213,-0.2968939393939394
mlp,false_split_rate,lower_better,0.196969696969697,0.09992424242424239,0.2848484848484848
