fraction,sigma68_ns,core_sigma_ns,rms_ns,chi2_ndf
0.1,0.161213,0.197327,3.9221,826.8
0.2,0.13809,0.146308,4.092,826.7
0.3,0.122166,0.132133,4.2549,819.7
0.4,0.110148,0.129088,4.3971,799.4
0.5,0.101763,0.128072,4.5236,781.9
0.6,0.096455,0.128506,4.6267,766.5
