method,max_leaf_nodes,learning_rate,l2_regularization,group_cv_mae
hist_gradient_boosted_trees,31,0.06,0.0,0.7768334614212762
hist_gradient_boosted_trees,31,0.1,0.0,0.7771487898532251
hist_gradient_boosted_trees,31,0.06,0.05,0.7774816339912576
hist_gradient_boosted_trees,31,0.03,0.05,0.7775073061291161
hist_gradient_boosted_trees,31,0.1,0.05,0.7775405067644662
hist_gradient_boosted_trees,63,0.03,0.05,0.7778323443482031
hist_gradient_boosted_trees,63,0.06,0.05,0.7778890304777516
hist_gradient_boosted_trees,31,0.03,0.0,0.7779101818189322
hist_gradient_boosted_trees,63,0.03,0.0,0.777979779181085
hist_gradient_boosted_trees,63,0.06,0.0,0.7780454094539835
hist_gradient_boosted_trees,63,0.1,0.0,0.778047028478524
hist_gradient_boosted_trees,15,0.06,0.0,0.7783351455057201
hist_gradient_boosted_trees,15,0.06,0.05,0.7785187320112056
hist_gradient_boosted_trees,15,0.1,0.0,0.7786939349760424
hist_gradient_boosted_trees,63,0.1,0.05,0.7790750408370417
hist_gradient_boosted_trees,15,0.1,0.05,0.7793971351625966
hist_gradient_boosted_trees,15,0.03,0.0,0.7799742917237279
hist_gradient_boosted_trees,15,0.03,0.05,0.7801774054311879
