method,delta_mae_vs_traditional,ci_low,ci_high
one_dimensional_cnn,-0.34985730140233917,-0.374366145042532,-0.32246358758295196
phase_gated_residual_cnn,-0.3495844649533678,-0.37826619341923756,-0.3208557686450819
mlp,-0.34106273053609204,-0.36491956095580874,-0.31384323455180213
peak_phase_dropout_hgb,-0.33326006586475815,-0.35778133133836537,-0.30710154893394104
hist_gradient_boosted_trees,-0.33176106023777063,-0.3542598671600605,-0.2986773928949848
ridge,-0.25502713477634,-0.27770092989775225,-0.22591013967493748
amplitude_only_hgb,-0.07562006387352693,-0.09448813391712224,-0.058859591679770874
run_only_hgb,0.8962940849402516,0.8475845029233854,0.959385469638304
shuffled_target_hgb,0.9022552228891338,0.8455511441718073,0.9631796820279015
