phase_quartile,amp_quartile,n,sigma68_timing_ns,median_abs_charge_log_residual,mean_saturation_harm,mean_anomaly_dropout,mean_coupling_burden
0,0,3510,31.365161340577366,0.3707022620750715,0.12207977207977208,8.560395543783498,2.932987941877589
0,1,5036,27.469955500506472,0.2871710261862894,0.2175138999205719,5.431586748523851,2.3337181866204086
0,2,2039,25.506777305426024,0.3174719715735357,0.3238106915154487,4.003589537980116,2.2813719381452455
0,3,150,28.333055121343566,0.2575353564344436,0.30566666666666664,12.609451900812784,3.3260790764410513
1,0,1655,31.019030671586663,0.3437927475395952,0.1338368580060423,5.4529057761376185,2.51704156924163
1,1,4273,28.479537625425543,0.2551537002751729,0.15798034168031827,5.313523076992084,2.2183757113585054
1,2,2543,25.81117383574368,0.3116711891844144,0.2016712544239088,4.199976917933879,2.2245948743758053
1,3,1148,23.585460628659767,0.2817488844785263,0.14202961672473868,4.492481625608717,2.0890202949667063
2,0,1054,22.528938878133726,0.13989406646556812,0.1079696394686907,32.0760443227238,5.76677186192394
2,1,1242,28.546225840710893,0.24904266114386964,0.2603864734299517,21.485347414296037,4.714337732509758
2,2,3323,26.940725205148315,0.3009828450468994,0.10976527234426722,6.747626587575853,2.4701948515768786
2,3,3508,26.35548291285734,0.24026855449099926,0.03591790193842645,6.045205858067034,2.1564220089009107
3,0,1612,27.453613120564036,0.2695747458544666,0.19562655086848632,45.182352947897996,8.853613970703178
3,1,668,25.86790710834316,0.2503078834422192,0.22642215568862276,46.907471745002915,8.970414261007361
3,2,1769,32.22660690629491,0.31677262491891334,0.18812888637648387,14.353820526808793,3.8986271220379285
3,3,3353,29.253144875399734,0.2362359086529615,0.0821801371905756,9.409786665258965,2.7444537484222473
