method,method_label,threshold_policy,threshold_calibration_runs,deployment_runs,abstention_budget,sigma_hat_threshold_ns,calibration_abstain_fraction,abstain_fraction,n,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,mean_sigma_hat_ns,bootstrap_valid,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_frac_abs_gt5ns_ci_low,tail_frac_abs_gt5ns_ci_high,abstain_fraction_ci_low,abstain_fraction_ci_high,coverage68_budget0,coverage95_budget0,calibration_loss_budget0,tail_frac_abs_gt5ns_budget0,coverage68_minus_budget0,coverage95_minus_budget0,calibration_loss_minus_budget0,tail_frac_abs_gt5ns_minus_budget0
traditional,S02/S03/S04 atom robust-width baseline,calibration_frozen,"58,59,60","61,62,63,65",0.0,inf,0.0,0.0,6528,4,1.7263883803820228,2.789250982912071,0.04442401960784314,2.771674558300939,0.3552389705882353,0.5946691176470589,0.34139070195085286,0.6989616660383744,1.0876936382351239,600,0.25968586387434556,0.43577981651376146,0.4752763234438627,0.6896063438119513,0.5728077113968046,0.8299402702377293,1.4163521969432367,2.0787332952434987,0.014509354715540282,0.08097731239092495,0.0,0.0,0.3552389705882353,0.5946691176470589,0.6989616660383744,0.04442401960784314,0.0,0.0,0.0,0.0
ridge,Ridge residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.0,inf,0.0,0.0,6528,4,1.7101992158775603,2.662163174816853,0.03462009803921569,1.0240153914484664,0.4774816176470588,0.8575367647058824,0.1488355548920294,0.11763051403113867,1.6521477798209983,600,0.3353353353353353,0.6009070294784581,0.7654320987654321,0.9368805425143454,0.07203272109521375,0.25726364149346903,1.4362212769052645,2.029395643024884,0.01348359435218275,0.05672339005672339,0.0,0.0,0.4774816176470588,0.8575367647058824,0.11763051403113867,0.03462009803921569,0.0,0.0,0.0,0.0
gradient_boosted_trees,HistGradientBoosting residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.0,inf,0.0,0.0,6528,4,1.6513551361515484,2.417244705456901,0.023743872549019607,1.1007559134112594,0.4856004901960784,0.8498774509803921,0.15359964802928433,0.13789177810026831,1.6463658753464505,600,0.3533533533533533,0.5989229024943311,0.7624290957624291,0.9260204081632653,0.07613974346901117,0.2803126350251659,1.4393566168220604,1.9006996556015494,0.012910798122065728,0.03570236903570237,0.0,0.0,0.4856004901960784,0.8498774509803921,0.13789177810026831,0.023743872549019607,0.0,0.0,0.0,0.0
mlp,MLP residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.0,inf,0.0,0.0,6528,4,1.7333619715033814,2.494365548773417,0.025122549019607844,1.0765584025490789,0.5133272058823529,0.8727022058823529,0.13293870661019852,0.11403929738289288,1.7573972572983407,600,0.41608274941608275,0.5963718820861678,0.8171504838171505,0.9266688250223636,0.0633356787124213,0.2065454982495779,1.5404687759946556,1.8611545554296107,0.014671361502347418,0.03403403403403404,0.0,0.0,0.5133272058823529,0.8727022058823529,0.11403929738289288,0.025122549019607844,0.0,0.0,0.0,0.0
cnn1d,1D-CNN residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.0,inf,0.0,0.0,6528,4,1.5872702146791116,2.4937481361341076,0.020373774509803922,1.0385258438928324,0.43213848039215685,0.9336703431372549,0.15246606959791179,0.11446814552458309,1.7195066416124796,600,0.32732732732732733,0.5375954965822276,0.9132465799132465,0.9530516431924883,0.07547859891784385,0.20213016489807875,1.3588773186277123,1.8283872039608617,0.011454753722794959,0.028361695028361694,0.0,0.0,0.43213848039215685,0.9336703431372549,0.11446814552458309,0.020373774509803922,0.0,0.0,0.0,0.0
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,calibration_frozen,"58,59,60","61,62,63,65",0.0,inf,0.0,0.0,6528,4,1.5964454565394233,2.4864073394700714,0.017310049019607844,0.9123030365079747,0.6248468137254902,0.9618566176470589,0.048552274995034325,0.051487133636407084,1.9551917723164578,600,0.543915009992637,0.7308132875143184,0.9528245551176401,0.9717064544650752,0.04645484256704516,0.07943659175149861,1.4466474398630802,1.7559778383866878,0.008018327605956471,0.024192700115704218,0.0,0.0,0.6248468137254902,0.9618566176470589,0.051487133636407084,0.017310049019607844,0.0,0.0,0.0,0.0
traditional,S02/S03/S04 atom robust-width baseline,calibration_frozen,"58,59,60","61,62,63,65",0.05,1.8372121682887512,0.04379562043795615,0.03017769607843135,6331,4,1.7296673803810292,2.7652242380381624,0.04470067919759912,2.853419008745658,0.347970304849155,0.5847417469594061,0.3499887201642194,0.7258462923095792,1.0580722619786995,600,0.26647252462101506,0.425,0.4809970103812374,0.6783387672663285,0.6109092049208317,0.8297994565932907,1.3893162712393057,2.039127655370168,0.014014451992932934,0.07740537007140785,0.007636641877479624,0.051987767584097844,0.3552389705882353,0.5946691176470589,0.6989616660383744,0.04442401960784314,-0.0072686657390803044,-0.009927370687652814,0.026884626271204803,0.0002766595897559787
ridge,Ridge residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.05,2.3160316467285154,0.050081103000811034,0.1312806372549019,5671,4,1.693125236714851,2.090823058869417,0.025568682771997885,1.1066963751223462,0.45424087462528656,0.8485275965438195,0.164960510483947,0.15039447664354677,1.4762340089701362,600,0.33006306937631397,0.583991462113127,0.7680448493342676,0.937888198757764,0.05824281073647418,0.2611887681319022,1.4270687610457493,1.9986762866870489,0.001774622892635315,0.04555010511562719,0.047714381047714416,0.213782395796011,0.4774816176470588,0.8575367647058824,0.11763051403113867,0.03462009803921569,-0.02324074302177226,-0.009009168162062875,0.032763962612408104,-0.009051415267217804
gradient_boosted_trees,HistGradientBoosting residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.05,2.375536654914447,0.050081103000811034,0.10477941176470584,5844,4,1.6303298900780243,1.8239689134870785,0.014887063655030801,1.1677342614220418,0.4748459958932238,0.8401779603011635,0.16465925667767178,0.16251476351058158,1.4764331059526008,600,0.3473201692524683,0.6019332161687171,0.7574047954866009,0.9226713532513181,0.062444962893936674,0.29268069135642155,1.374363470887411,1.8765689156875647,0.004393673110720563,0.02468265162200282,0.0537203870537204,0.15616647575410458,0.4856004901960784,0.8498774509803921,0.13789177810026831,0.023743872549019607,-0.010754494302854634,-0.009699490679228595,0.02462298541031327,-0.008856808893988806
mlp,MLP residual scale model,calibration_frozen,"58,59,60","61,62,63,65",0.05,2.8296873807907104,0.050081103000811034,0.07306985294117652,6051,4,1.7172326437131495,2.031683052068593,0.01817881341926954,1.128616483914452,0.49429846306395636,0.8674599239795076,0.13891193404607247,0.1346148807635151,1.5745407287896398,600,0.40369853454291693,0.5758738535191172,0.8133286810886252,0.9231426131511529,0.059160254962350584,0.2194848508358913,1.5004625674205627,1.8624595991269715,0.007858546168958742,0.02721563154221912,0.04371037704371039,0.10474006116207946,0.5133272058823529,0.8727022058823529,0.11403929738289288,0.025122549019607844,-0.01902874281839656,-0.005242281902845369,0.020575583380622223,-0.006943735600338303
