method,method_label,threshold_policy,abstention_budget,sigma_hat_threshold_ns,abstain_fraction,n,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,mean_sigma_hat_ns,bootstrap_valid,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high,sigma68_ns_ci_low,sigma68_ns_ci_high,tail_frac_abs_gt5ns_ci_low,tail_frac_abs_gt5ns_ci_high,abstain_fraction_ci_low,abstain_fraction_ci_high
traditional,S02/S03/S04 atom robust-width baseline,deployment_pooled_retrospective,0.0,inf,0.0,6528,4,1.7263883803820228,2.789250982912071,0.04442401960784314,2.771674558300939,0.3552389705882353,0.5946691176470589,0.34139070195085286,0.6989616660383744,1.0876936382351239,600,0.25968586387434556,0.4331420622500435,0.4752763234438627,0.6896063438119513,0.5728077113968046,0.8299402702377293,1.4243100955197767,2.0787332952434987,0.014509354715540282,0.08097731239092495,0.0,0.0
ridge,Ridge residual scale model,deployment_pooled_retrospective,0.0,inf,0.0,6528,4,1.7101992158775603,2.662163174816853,0.03462009803921569,1.0240153914484664,0.4774816176470588,0.8575367647058824,0.1488355548920294,0.11763051403113867,1.6521477798209983,600,0.3353353353353353,0.60091652206005,0.7654320987654321,0.9368805425143454,0.07203272109521375,0.25726364149346903,1.4362212769052645,2.029395643024884,0.013497652582159625,0.05672339005672339,0.0,0.0
gradient_boosted_trees,HistGradientBoosting residual scale model,deployment_pooled_retrospective,0.0,inf,0.0,6528,4,1.6513551361515484,2.417244705456901,0.023743872549019607,1.1007559134112594,0.4856004901960784,0.8498774509803921,0.15359964802928433,0.13789177810026831,1.6463658753464505,600,0.3530913636149238,0.5986846009921966,0.7622427139181066,0.925845464332522,0.07587842610335095,0.2806382667780386,1.4422677932061878,1.9011474846039171,0.012910798122065728,0.0357318575119622,0.0,0.0
mlp,MLP residual scale model,deployment_pooled_retrospective,0.0,inf,0.0,6528,4,1.7333619715033814,2.494365548773417,0.025122549019607844,1.0765584025490789,0.5133272058823529,0.8727022058823529,0.13293870661019852,0.11403929738289288,1.7573972572983407,600,0.41591046543926125,0.5963718820861678,0.8170504011865268,0.926605504587156,0.0633356787124213,0.20673416407182305,1.540673273331997,1.8614025031224815,0.016055045871559634,0.03406160086788357,0.0,0.0
cnn1d,1D-CNN residual scale model,deployment_pooled_retrospective,0.0,inf,0.0,6528,4,1.5872702146791116,2.4937481361341076,0.020373774509803922,1.0385258438928324,0.43213848039215685,0.9336703431372549,0.15246606959791179,0.11446814552458309,1.7195066416124796,600,0.32732732732732733,0.5329033799116207,0.9132465799132465,0.9530516431924883,0.07690973034894949,0.20213016489807875,1.3588773186277123,1.8283872039608617,0.011454753722794959,0.028361695028361694,0.0,0.0
phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,deployment_pooled_retrospective,0.0,inf,0.0,6528,4,1.5964454565394233,2.4864073394700714,0.017310049019607844,0.9123030365079747,0.6248468137254902,0.9618566176470589,0.048552274995034325,0.051487133636407084,1.9551917723164578,600,0.543915009992637,0.7308132875143184,0.9518831255863826,0.9717064544650752,0.04645484256704516,0.07939654979297764,1.4441463606688458,1.7559778383866878,0.008018327605956471,0.024192700115704218,0.0,0.0
traditional,S02/S03/S04 atom robust-width baseline,deployment_pooled_retrospective,0.05,1.811121982741791,0.047028186274509776,6221,4,1.723009873518052,2.7811939897260793,0.04516958688313776,2.9036114802894915,0.34512136312489955,0.5793280823018807,0.3541200233551099,0.7414928875887052,1.0445131151852163,600,0.26664425016812376,0.425,0.4811701412239408,0.6692331382814906,0.6505522230431285,0.829701925804471,1.3893162712393057,2.038061101231862,0.013824884792626729,0.0773369199731002,0.00767434100767439,0.08858342878961434
ridge,Ridge residual scale model,deployment_pooled_retrospective,0.05,2.542856419086456,0.05009191176470584,6201,4,1.6885569108929097,2.1203052563729208,0.027576197387518143,1.0425652209304657,0.46734397677793904,0.8563134978229318,0.15451600876806454,0.12652831180866486,1.5564819826337335,600,0.33140129560177295,0.5955390334572491,0.7664507330378452,0.9409417398244214,0.0691817337134549,0.2597276081845079,1.4278879813215397,2.0139952758111725,0.0039904229848363925,0.05046027957722468,0.02135468802135465,0.08133285560730918
gradient_boosted_trees,HistGradientBoosting residual scale model,deployment_pooled_retrospective,0.05,2.560067260187471,0.05009191176470584,6201,4,1.62862899510727,1.8289297128429622,0.015481373971940009,1.1239465657154943,0.48250282212546364,0.8474439606515078,0.15818477187078997,0.1462185117365782,1.5331282277055338,600,0.34953464322647365,0.6060606060606061,0.7600827300930714,0.9262899262899262,0.07011016758512334,0.2849644276958804,1.3881811791825243,1.8736367496342687,0.005733005733005733,0.025853154084798345,0.03203203203203209,0.06694487915145197
mlp,MLP residual scale model,deployment_pooled_retrospective,0.05,3.0528674364089965,0.05009191176470584,6201,4,1.7142566697928316,2.0296419127244048,0.018384131591678763,1.107576424009353,0.5002418964683115,0.8703434929850025,0.13740838799622537,0.1267722286723161,1.607375947410417,600,0.40011997600479904,0.5822208737864077,0.8116376724655069,0.9288779889638259,0.05856516007923056,0.2218990415842813,1.4926673944066664,1.8665224901334379,0.00934199837530463,0.028674265146970607,0.03025014543339155,0.07539682539682535
