candidate,sign,train_auc,heldout_run
tail_total_b2,1.0,0.5362891505844107,31
tail_total_b2,-1.0,0.46371084941558927,31
area_peak_b2,1.0,0.3736211090179645,31
area_peak_b2,-1.0,0.6263788909820355,31
q_template_b2_shape,1.0,0.6859091837981057,31
q_template_b2_shape,-1.0,0.31409081620189416,31
deltae_amp_vector,1.0,0.9999991778788334,31
deltae_amp_vector,-1.0,8.221211665664663e-07,31
downstream_charge_fraction,1.0,1.0,31
downstream_charge_fraction,-1.0,0.0,31
tail_total_b2,1.0,0.5375494768237368,32
tail_total_b2,-1.0,0.46245052317626334,32
area_peak_b2,1.0,0.3741649328984855,32
area_peak_b2,-1.0,0.6258350671015145,32
q_template_b2_shape,1.0,0.6860112320062978,32
q_template_b2_shape,-1.0,0.31398876799370223,32
deltae_amp_vector,1.0,0.9999992034038087,32
deltae_amp_vector,-1.0,7.965961913330415e-07,32
downstream_charge_fraction,1.0,1.0,32
downstream_charge_fraction,-1.0,0.0,32
tail_total_b2,1.0,0.5359994984422206,33
tail_total_b2,-1.0,0.4640005015577795,33
area_peak_b2,1.0,0.3707428837802115,33
area_peak_b2,-1.0,0.6292571162197885,33
q_template_b2_shape,1.0,0.6883013595166163,33
q_template_b2_shape,-1.0,0.3116986404833837,33
deltae_amp_vector,1.0,0.9999992093089123,33
deltae_amp_vector,-1.0,7.906910876133117e-07,33
downstream_charge_fraction,1.0,1.0,33
downstream_charge_fraction,-1.0,0.0,33
tail_total_b2,1.0,0.5382554213730862,34
tail_total_b2,-1.0,0.46174457862691387,34
area_peak_b2,1.0,0.37334417686130295,34
area_peak_b2,-1.0,0.626655823138697,34
q_template_b2_shape,1.0,0.686343780490093,34
q_template_b2_shape,-1.0,0.31365621950990696,34
deltae_amp_vector,1.0,0.9999991791128789,34
deltae_amp_vector,-1.0,8.208871209847093e-07,34
downstream_charge_fraction,1.0,1.0,34
downstream_charge_fraction,-1.0,0.0,34
tail_total_b2,1.0,0.5351888915869695,35
tail_total_b2,-1.0,0.46481110841303047,35
area_peak_b2,1.0,0.37439782342722655,35
area_peak_b2,-1.0,0.6256021765727735,35
q_template_b2_shape,1.0,0.685172150515541,35
q_template_b2_shape,-1.0,0.3148278494844591,35
deltae_amp_vector,1.0,0.9999992178160491,35
deltae_amp_vector,-1.0,7.82183950986304e-07,35
downstream_charge_fraction,1.0,1.0,35
downstream_charge_fraction,-1.0,0.0,35
tail_total_b2,1.0,0.535938083022388,36
tail_total_b2,-1.0,0.464061916977612,36
area_peak_b2,1.0,0.37449497434701495,36
area_peak_b2,-1.0,0.625505025652985,36
q_template_b2_shape,1.0,0.6864739155783582,36
q_template_b2_shape,-1.0,0.31352608442164176,36
deltae_amp_vector,1.0,0.9999991837686567,36
deltae_amp_vector,-1.0,8.162313432836019e-07,36
downstream_charge_fraction,1.0,1.0,36
downstream_charge_fraction,-1.0,0.0,36
tail_total_b2,1.0,0.5352757511604265,37
tail_total_b2,-1.0,0.4647242488395734,37
area_peak_b2,1.0,0.37215064926346475,37
area_peak_b2,-1.0,0.6278493507365352,37
q_template_b2_shape,1.0,0.6878287195987417,37
q_template_b2_shape,-1.0,0.31217128040125824,37
deltae_amp_vector,1.0,0.9999993166909621,37
deltae_amp_vector,-1.0,6.833090379009006e-07,37
downstream_charge_fraction,1.0,1.0,37
downstream_charge_fraction,-1.0,0.0,37
tail_total_b2,1.0,0.5364180490234965,39
tail_total_b2,-1.0,0.46358195097650345,39
area_peak_b2,1.0,0.3749301030333938,39
area_peak_b2,-1.0,0.6250698969666062,39
q_template_b2_shape,1.0,0.6865166968872771,39
q_template_b2_shape,-1.0,0.3134833031127229,39
deltae_amp_vector,1.0,0.9999991736551828,39
deltae_amp_vector,-1.0,8.263448171653267e-07,39
downstream_charge_fraction,1.0,1.0,39
downstream_charge_fraction,-1.0,0.0,39
tail_total_b2,1.0,0.5333400540819809,40
tail_total_b2,-1.0,0.46665994591801907,40
area_peak_b2,1.0,0.3753062729883968,40
area_peak_b2,-1.0,0.6246937270116033,40
