method,run,n_pairs,sigma68_ns,rms_ns,bias_ns,tail_abs_gt_0p5_ns,tail_abs_gt_1p0_ns,failure_rate,phase_shape_residual_gap_ns
causal_pedestal_phase_cnn_new,58,353,1.3618749063369946,8.293906627513293,0.6616872924866724,0.6713881019830028,0.4475920679886686,0.0,2.165062889492625
causal_pedestal_phase_cnn_new,59,3753,1.0870468491148797,4.586725108906037,-0.404203218765518,0.6480149213962164,0.3679722888355982,0.0,0.6312397346913674
causal_pedestal_phase_cnn_new,60,3700,1.1033049221476088,5.238852801880555,-0.2009875347362461,0.6370270270270271,0.36972972972972973,0.0,0.8606423499072071
causal_pedestal_phase_cnn_new,61,4245,1.0932490472351206,6.004584989967182,-0.41569762200684535,0.6256772673733805,0.35830388692579507,0.0,0.03470103891465748
causal_pedestal_phase_cnn_new,62,3833,1.0956894633468242,4.122652024823713,-0.07904657239705476,0.657970258283329,0.3644664753456822,0.0,0.3085191839913091
causal_pedestal_phase_cnn_new,63,1816,1.0865131050904533,5.623680265728162,-0.5328297249133571,0.6497797356828194,0.3623348017621145,0.0,0.9253499640072137
causal_pedestal_phase_cnn_new,65,398,1.112346668068834,1.5381449589171114,-0.10278899288710001,0.6708542713567839,0.39195979899497485,0.0,0.15705539934926466
compact_pair_transformer,58,353,1.2918954258277766,8.602182905420673,0.6846278255060002,0.6997167138810199,0.42209631728045327,0.0,2.375704148902585
compact_pair_transformer,59,3753,1.1166271389776496,4.310712960241289,-0.5448977548178386,0.6618705035971223,0.3855582200905942,0.0,0.5196954562615349
compact_pair_transformer,60,3700,1.1263652352819737,5.00567237365288,-0.37731411194860554,0.657027027027027,0.3762162162162162,0.0,0.8979855589535385
compact_pair_transformer,61,4245,1.121733442684326,6.208457292813277,-0.47051346997320453,0.6499411071849235,0.36984687868080096,0.0,0.02885805606546843
compact_pair_transformer,62,3833,1.0958469546903873,3.913361997791052,-0.0005503137407672184,0.6725802243673363,0.3735977041481868,0.0,0.3035128690413984
compact_pair_transformer,63,1816,1.047864528225304,4.492838254561305,-0.3511844271192671,0.6398678414096917,0.3408590308370044,0.0,0.4381999673748689
compact_pair_transformer,65,398,1.2841421575407006,1.5224182164742184,0.20430973454283147,0.6608040201005025,0.4371859296482412,0.0,0.005692122671196398
gradient_boosted_trees,58,353,0.9778877400186454,8.635788362976653,0.7896612272229572,0.5580736543909348,0.32011331444759206,0.0,2.7408980258479514
