method,n_detected_overlap,median_predicted_timing_uncertainty_ns,empirical_coverage_1sigma,empirical_coverage_2sigma,mean_abs_timing_error_ns
two_pulse_template_cfd_baseline,163,6.299767447116413,0.5030674846625767,0.7484662576687117,8.42289372422908
template_residual_boosted_stack_new,241,4.644153010910124,0.5020746887966805,0.8112033195020747,6.032722032950207
gradient_boosted_trees,249,4.7917751845210965,0.5020080321285141,0.7891566265060241,6.261360518716539
ridge,253,6.384654255260407,0.5019762845849802,0.841897233201581,7.43120144678712
1d_cnn,253,7.8170790778990185,0.5019762845849802,0.8399209486166008,9.12128971295084
pileup_mask_transformer_new,257,9.942627987790145,0.5019455252918288,0.7996108949416343,12.604909096332374
mlp,234,9.167004570886254,0.5,0.8397435897435898,11.334311075750493
tiny_sequence_transformer,238,11.920436329963415,0.5,0.8319327731092437,13.961216394867355
temporal_convolution_tcn,268,1.6570384800434113,0.05970149253731343,0.1287313432835821,13.140748057703616
