threshold,reviewer_a_positive,reviewer_b_positive,consensus_positive,raw_agreement,cohen_kappa,p05g_label_change_rate,calibration_loss
0.35,0.5454545454545454,0.5555555555555556,0.5151515151515151,0.9292929292929293,0.8571428571428572,0.21212121212121213,-0.16868686868686866
0.375,0.5353535353535354,0.5252525252525253,0.5151515151515151,0.9696969696969697,0.9391767356133525,0.21212121212121213,-0.19739872615154203
0.4,0.5151515151515151,0.5050505050505051,0.5050505050505051,0.98989898989899,0.9797917942437232,0.20202020202020202,-0.22272510778328292
0.425,0.5050505050505051,0.4444444444444444,0.45454545454545453,0.9393939393939394,0.8789237668161435,0.1717171717171717,-0.22277483353716537
0.45,0.494949494949495,0.42424242424242425,0.42424242424242425,0.9292929292929293,0.8583690987124464,0.16161616161616163,-0.22871201283218445
0.475,0.46464646464646464,0.40404040404040403,0.40404040404040403,0.9191919191919192,0.8361605295821266,0.1414141414141414,-0.2431612358587948
0.5,0.42424242424242425,0.3838383838383838,0.40404040404040403,0.898989898989899,0.7906091370558376,0.1414141414141414,-0.22721824847459365
0.525,0.3838383838383838,0.3434343434343434,0.35353535353535354,0.9393939393939394,0.8692781690140845,0.1717171717171717,-0.22949988440745483
0.55,0.32323232323232326,0.2727272727272727,0.29292929292929293,0.9292929292929293,0.8315098468271335,0.1919191919191919,-0.1960789514400018
0.575,0.30303030303030304,0.26262626262626265,0.26262626262626265,0.9595959595959596,0.9006024096385542,0.2222222222222222,-0.1869280150906657
0.6,0.2828282828282828,0.24242424242424243,0.24242424242424243,0.9595959595959596,0.8958990536277602,0.2222222222222222,-0.18326163846668578
