axis,cell,method,n_events,n_accepted,coverage,consensus_prevalence,accepted_precision,recoverable_recall,false_accept_rate,f1,roc_auc,average_precision,brier,calibration_ece
adjudication_band,borderline,cnn_1d_dual_head,99,0,0.0,0.42424242424242425,,0.0,,,0.5622389306599833,0.43165871774424036,0.3040822659062102,0.25175461588860165
adjudication_band,borderline,consensus_abstention_ensemble,99,5,0.050505050505050504,0.42424242424242425,0.0,0.0,1.0,,0.42021720969089393,0.3594095979539424,0.35282832411263493,0.3370457797175328
adjudication_band,borderline,gradient_boosted_trees,99,57,0.5757575757575758,0.42424242424242425,0.543859649122807,0.7380952380952381,0.45614035087719296,0.6262626262626264,0.4444444444444445,0.3732182444634168,0.3478462542725787,0.3260046782311386
adjudication_band,borderline,mlp,99,61,0.6161616161616161,0.42424242424242425,0.36065573770491804,0.5238095238095238,0.639344262295082,0.42718446601941745,0.39849624060150374,0.35280218242519235,0.4887658247106795,0.49508802515410427
adjudication_band,borderline,ridge_linear,99,4,0.04040404040404041,0.42424242424242425,0.0,0.0,1.0,,0.3951545530492899,0.3516823775973328,0.4112773432879137,0.408979144070545
adjudication_band,borderline,traditional_template_fit,99,0,0.0,0.42424242424242425,,0.0,,,,0.42424242424242425,0.42424242424242425,0.42424242424242425
baseline_state,s16_large_lowering,cnn_1d_dual_head,99,0,0.0,0.42424242424242425,,0.0,,,0.5622389306599833,0.43165871774424036,0.3040822659062102,0.25175461588860165
baseline_state,s16_large_lowering,consensus_abstention_ensemble,99,5,0.050505050505050504,0.42424242424242425,0.0,0.0,1.0,,0.42021720969089393,0.3594095979539424,0.35282832411263493,0.3370457797175328
baseline_state,s16_large_lowering,gradient_boosted_trees,99,57,0.5757575757575758,0.42424242424242425,0.543859649122807,0.7380952380952381,0.45614035087719296,0.6262626262626264,0.4444444444444445,0.3732182444634168,0.3478462542725787,0.3260046782311386
baseline_state,s16_large_lowering,mlp,99,61,0.6161616161616161,0.42424242424242425,0.36065573770491804,0.5238095238095238,0.639344262295082,0.42718446601941745,0.39849624060150374,0.35280218242519235,0.4887658247106795,0.49508802515410427
baseline_state,s16_large_lowering,ridge_linear,99,4,0.04040404040404041,0.42424242424242425,0.0,0.0,1.0,,0.3951545530492899,0.3516823775973328,0.4112773432879137,0.408979144070545
baseline_state,s16_large_lowering,traditional_template_fit,99,0,0.0,0.42424242424242425,,0.0,,,,0.42424242424242425,0.42424242424242425,0.42424242424242425
delay_cell,delay_fit_unavailable,cnn_1d_dual_head,99,0,0.0,0.42424242424242425,,0.0,,,0.5622389306599833,0.43165871774424036,0.3040822659062102,0.25175461588860165
