method,run,n_events,n_accepted,coverage,consensus_prevalence,accepted_precision,recoverable_recall,false_accept_rate,f1,roc_auc,average_precision,brier,calibration_ece
cnn_1d_dual_head,44,4,0,0.0,0.25,,0.0,,,0.6666666666666667,0.5,0.1910882242417643,0.06143372505903244
cnn_1d_dual_head,45,5,0,0.0,0.6,,0.0,,,0.5,0.6388888888888888,0.3416870290697494,0.5542717754840851
cnn_1d_dual_head,46,2,0,0.0,0.0,,0.0,,,,,0.024043305085664195,0.15483551472425455
cnn_1d_dual_head,47,2,0,0.0,0.0,,0.0,,,,,0.0008895786148102241,0.029810397885739748
cnn_1d_dual_head,48,7,0,0.0,0.2857142857142857,,0.0,,,0.5,0.41666666666666663,0.2299960575583461,0.23177279319081992
cnn_1d_dual_head,49,10,0,0.0,0.1,,0.0,,,0.6666666666666667,0.25,0.09480865000064982,0.12649124432355166
cnn_1d_dual_head,50,6,0,0.0,0.5,,0.0,,,0.5555555555555556,0.7222222222222222,0.39041823763291345,0.3797461884096265
cnn_1d_dual_head,51,9,0,0.0,0.7777777777777778,,0.0,,,0.9285714285714286,0.982142857142857,0.5094568909277002,0.6039160200291209
cnn_1d_dual_head,52,9,0,0.0,0.6666666666666666,,0.0,,,0.5555555555555557,0.7027777777777777,0.30918175571696804,0.3060556815730201
cnn_1d_dual_head,53,4,0,0.0,0.75,,0.0,,,0.0,0.6388888888888888,0.4926512483890772,0.5126806292682886
cnn_1d_dual_head,54,12,0,0.0,0.25,,0.0,,,0.4444444444444444,0.2777777777777778,0.2134488859393384,0.18753874239822232
cnn_1d_dual_head,55,14,0,0.0,0.5714285714285714,,0.0,,,0.5416666666666666,0.6413961038961039,0.44630181607810787,0.45588269989405367
cnn_1d_dual_head,56,6,0,0.0,0.6666666666666666,,0.0,,,0.375,0.6458333333333333,0.404786994691678,0.47216065103809035
cnn_1d_dual_head,57,9,0,0.0,0.1111111111111111,,0.0,,,0.25,0.14285714285714285,0.23380392760129926,0.3676181104448107
consensus_abstention_ensemble,44,4,0,0.0,0.25,,0.0,,,0.33333333333333337,0.3333333333333333,0.29508824349210294,0.3392763916142112
consensus_abstention_ensemble,45,5,1,0.2,0.6,0.0,0.0,1.0,,0.5,0.6388888888888888,0.4111922808302818,0.5774890176149365
consensus_abstention_ensemble,46,2,0,0.0,0.0,,0.0,,,,,0.09983003199441443,0.2606075838882087
consensus_abstention_ensemble,47,2,0,0.0,0.0,,0.0,,,,,0.011404549503836483,0.10678454154771025
consensus_abstention_ensemble,48,7,0,0.0,0.2857142857142857,,0.0,,,0.0,0.22619047619047616,0.25529042946403757,0.33894898683219754
consensus_abstention_ensemble,49,10,1,0.1,0.1,0.0,0.0,1.0,,0.6666666666666667,0.25,0.12403175899449308,0.1463701502659282
consensus_abstention_ensemble,50,6,0,0.0,0.5,,0.0,,,0.33333333333333337,0.4777777777777778,0.4184500645331221,0.45648149964525875
consensus_abstention_ensemble,51,9,0,0.0,0.7777777777777778,,0.0,,,0.5,0.7545918367346939,0.6416334709156231,0.7423154082241619
consensus_abstention_ensemble,52,9,0,0.0,0.6666666666666666,,0.0,,,0.6666666666666667,0.7999999999999999,0.4254038197129607,0.4669877090368434
consensus_abstention_ensemble,53,4,0,0.0,0.75,,0.0,,,0.0,0.6388888888888888,0.5966579045756386,0.6310638183714028
consensus_abstention_ensemble,54,12,0,0.0,0.25,,0.0,,,0.18518518518518517,0.20502645502645503,0.21682252876980734,0.2562578829305573
consensus_abstention_ensemble,55,14,0,0.0,0.5714285714285714,,0.0,,,0.5208333333333333,0.5764766483516484,0.4719620787021196,0.5388029426807167
consensus_abstention_ensemble,56,6,0,0.0,0.6666666666666666,,0.0,,,0.75,0.8875,0.4756641523845107,0.5527980377850596
consensus_abstention_ensemble,57,9,3,0.3333333333333333,0.1111111111111111,0.0,0.0,1.0,,0.0,0.1111111111111111,0.2088753297009306,0.22517252120469877
gradient_boosted_trees,44,4,4,1.0,0.25,0.25,1.0,0.75,0.4,0.33333333333333337,0.3333333333333333,0.4095368534109787,0.5064505831249946
gradient_boosted_trees,45,5,0,0.0,0.6,,0.0,,,0.3333333333333333,0.7333333333333334,0.4839031386092733,0.4940148705518724
gradient_boosted_trees,46,2,2,1.0,0.0,0.0,0.0,1.0,,,,0.06114582467205042,0.21731442641554677
gradient_boosted_trees,47,2,0,0.0,0.0,,0.0,,,,,0.08229063260833501,0.2868627601086572
gradient_boosted_trees,48,7,7,1.0,0.2857142857142857,0.2857142857142857,1.0,0.7142857142857143,0.4444444444444445,0.09999999999999998,0.24285714285714285,0.2491974544954289,0.209491834064447
gradient_boosted_trees,49,10,0,0.0,0.1,,0.0,,,0.4444444444444444,0.16666666666666666,0.1471551504145145,0.22941732685449018
