heldout_run,control,test_accept_fraction,test_average_precision_vs_oracle,threshold
31,shuffled_target_gbt,0.005151688609044,0.0250410819783547,0.05
32,shuffled_target_gbt,0.0124311696979809,0.0165885855108485,0.05
33,shuffled_target_gbt,0.0064134495641344,0.0100495289465447,0.05
34,shuffled_target_gbt,0.006437491953135,0.013538077496327,0.05
35,shuffled_target_gbt,0.018465909090909,,0.05
36,shuffled_target_gbt,0.0130780009341429,,0.05
37,shuffled_target_gbt,0.0192385581206966,,0.05
39,shuffled_target_gbt,0.0156862745098039,,0.05
40,shuffled_target_gbt,0.0238336713995943,,0.05
41,shuffled_target_gbt,0.0227941176470588,,0.05
45,shuffled_target_gbt,0.013215859030837,,0.05
47,shuffled_target_gbt,0.0149960536700868,0.0272738558225348,0.05
48,shuffled_target_gbt,0.0172151898734177,,0.05
49,shuffled_target_gbt,0.0195712954333644,,0.05
50,shuffled_target_gbt,0.0040562743889915,0.0283479053587869,0.05
51,shuffled_target_gbt,0.0191988950276243,0.0597354104167035,0.05
52,shuffled_target_gbt,0.0088348978464936,0.0339940383372491,0.05
53,shuffled_target_gbt,0.0119013478634929,0.0558834717460891,0.05
54,shuffled_target_gbt,0.0060277275467148,0.0210450736428263,0.05
55,shuffled_target_gbt,0.0099723657335095,0.0310782533221653,0.05
56,shuffled_target_gbt,0.0040691759918616,0.0168963971246669,0.05
57,shuffled_target_gbt,0.0164113785557986,,0.05
58,shuffled_target_gbt,0.0105590062111801,,0.05
59,shuffled_target_gbt,0.08816120906801,,0.05
60,shuffled_target_gbt,0.084084084084084,,0.05
61,shuffled_target_gbt,0.0543209876543209,,0.05
62,shuffled_target_gbt,0.0343434343434343,,0.05
63,shuffled_target_gbt,0.0321782178217821,,0.05
64,shuffled_target_gbt,0.0668414154652686,,0.05
65,shuffled_target_gbt,0.0384615384615384,,0.05
