stratum_category,stratum,n,n_runs,target_charge_median,traditional_n,traditional_bias_median_frac,traditional_res68_abs_frac,traditional_full_rms_frac,traditional_within_25pct,traditional_coverage68,ml_n,ml_bias_median_frac,ml_res68_abs_frac,ml_full_rms_frac,ml_within_25pct,ml_coverage68,shuffled_n,shuffled_bias_median_frac,shuffled_res68_abs_frac,shuffled_full_rms_frac,shuffled_within_25pct,ml_minus_traditional_res68,best_real_res68,best_real_method,real_minus_shuffled_res68,ml_minus_traditional_res68_ci95,best_minus_shuffled_res68_ci95,support_call
anomaly_stratum,broad_saturation_like,2271,32,19345.0,2271,-0.05123939336959747,0.5297465044990226,0.8617729404359432,0.3394980184940555,0.6662263320123294,2271,-0.047864632330833795,0.5265708246375858,0.8562918619959924,0.3394980184940555,0.6635843240863056,2271,-0.043596264295320916,0.5244421981730433,0.852032034463794,0.34214002642007924,-0.003175679861436853,0.5265708246375858,ml,0.0021286264645424824,"[-0.007319312195494435, 0.004087439732698293]","[-0.0042931033629994095, 0.008188336780978024]",support_only_or_weak
anomaly_stratum,late_tail_high,1349,32,19325.0,1349,-0.046178358484856956,0.5128272080682473,0.8816909791602497,0.3469236471460341,0.687175685693106,1349,-0.04734569522905153,0.5065640492542732,0.8808743791482612,0.352112676056338,0.6908821349147517,1349,-0.04169139957500515,0.5083435864235656,0.8724001294770941,0.34395848776871757,-0.006263158813974101,0.5065640492542732,ml,-0.0017795371692923556,"[-0.017545759417289898, 0.00312923338787947]","[-0.006807715956093999, 0.006873818473542387]",support_only_or_weak
anomaly_stratum,dropout_like,401,26,19801.0,401,-0.04054195107310172,0.5328491726116852,0.6394096035236596,0.3566084788029925,0.6508728179551122,401,-0.04913418649164305,0.5199715007757706,0.621767069293095,0.3640897755610973,0.6708229426433915,401,-0.05300948126072719,0.5146045387620768,0.6208710996822538,0.3566084788029925,-0.012877671835914595,0.5199715007757706,ml,0.005366962013693799,"[-0.027764235082894904, 0.0023477889899927266]","[-0.013888061083116122, 0.012513846672116481]",support_only_or_weak
b2_amp_bin,3000_5000,1212,31,19186.0,1212,-0.04315890543316516,0.5207287253419286,0.7209091197945622,0.3448844884488449,0.6773927392739274,1212,-0.0394751577339708,0.5176624925859828,0.7128405532667097,0.34405940594059403,0.6749174917491749,1212,-0.036240413809612376,0.5086939475369656,0.7113902696160607,0.35313531353135313,-0.0030662327559457525,0.5176624925859828,ml,0.00896854504901723,"[-0.010858156391747262, 0.00877329827972586]","[-0.0029274590462338877, 0.013933835780885957]",support_only_or_weak
b2_amp_bin,5000_7000,953,30,19556.0,953,-0.05241443838188639,0.5306920933833091,0.946890609264154,0.3483735571878279,0.664218258132214,953,-0.05640844831298829,0.5284331327785309,0.9501929399023586,0.3515215110178384,0.6652675760755509,953,-0.06213569238080252,0.5343153733324709,0.9350822333887484,0.3473242392444911,-0.0022589606047782596,0.5284331327785309,ml,-0.0058822405539400435,"[-0.014441034183668888, 0.010052370210855107]","[-0.018165347257720437, 0.003341244262432778]",support_only_or_weak
b2_amp_bin,7000_inf,920,28,19167.5,920,-0.046983049979993,0.5412178509530482,0.7421633410068745,0.3282608695652174,0.658695652173913,920,-0.037372891477409506,0.53742483285697,0.7438328849440384,0.3358695652173913,0.6597826086956522,920,-0.03772720653323163,0.5330831252207051,0.7467322266585762,0.3293478260869565,-0.003793018096078238,0.53742483285697,ml,0.004341707636264847,"[-0.013477745713598877, 0.006770365437380026]","[-0.005152635956062642, 0.013449769080346135]",support_only_or_weak
b2_amp_bin,1000_2000,496,26,19833.0,496,-0.03648831817336167,0.5117018037981338,0.7593814382156681,0.3629032258064516,0.6895161290322581,496,-0.05476845855257833,0.501828065984526,0.7309268567769752,0.3689516129032258,0.6955645161290323,496,-0.05885560037331919,0.49708020669494457,0.7293721639292016,0.3588709677419355,-0.009873737813607786,0.501828065984526,ml,0.004747859289581435,"[-0.031238174140148605, 0.0030216179310725184]","[-0.00880954100821845, 0.014746549912587946]",support_only_or_weak
b2_amp_bin,2000_3000,474,28,19398.5,474,-0.046566998867757003,0.5198281888435072,1.1637106810655389,0.339662447257384,0.6751054852320675,474,-0.054067245326133384,0.5058175088267786,1.159876013277146,0.33755274261603374,0.6856540084388185,474,-0.0415248282950108,0.5074422206258716,1.149507381845156,0.3291139240506329,-0.014010680016728672,0.5058175088267786,ml,-0.0016247117990930704,"[-0.02173560742954183, 0.010929919658709765]","[-0.015021336753097901, 0.014087444465836018]",support_only_or_weak
downstream_coincidence,downstream_none,3889,32,19380.0,3889,-0.04706695242139117,0.5279951762262227,0.8490381331486521,0.34481871946515813,0.6695808691180252,3889,-0.04734569522905153,0.5191277713730211,0.839699781244144,0.3455901259964001,0.673437901774235,3889,-0.04454727753136841,0.5177063567053396,0.8363693668550483,0.3435330419130882,-0.008867404853201588,0.5191277713730211,ml,0.001421414667681531,"[-0.010539419539618965, -0.0015948942021591754]","[-0.003001609524843926, 0.005387700487771852]",support_only_or_weak
downstream_coincidence,downstream_one,109,21,19956.0,109,-0.0322560574624744,0.4811615790989308,0.8979383264178765,0.3119266055045872,0.7339449541284404,109,-0.059974679140070555,0.5129192309427356,1.025262610316611,0.3669724770642202,0.6788990825688074,109,-0.056334387622905636,0.48832571867512803,0.9377034998481374,0.3669724770642202,0.0317576518438048,0.4811615790989308,traditional,-0.007164139576197215,"[-0.049902115210350366, 0.060676493301877334]","[-0.03876450063536964, 0.08119563885704077]",support_only_or_weak
