sample_window,method,artificial_clip_res68,artificial_clip_res68_ci_low,artificial_clip_res68_ci_high,artificial_clip_bias,artificial_clip_bias_ci_low,artificial_clip_bias_ci_high,artificial_clip_mae_frac,artificial_clip_mae_frac_ci_low,artificial_clip_mae_frac_ci_high,coverage,coverage_ci_low,coverage_ci_high,natural_boundary_q_template_shift,natural_boundary_q_template_shift_ci_low,natural_boundary_q_template_shift_ci_high,timing_tail_delta,timing_tail_delta_ci_low,timing_tail_delta_ci_high,charge_bias_delta,charge_bias_delta_ci_low,charge_bias_delta_ci_high,charge_res68_if_corrected,charge_res68_if_corrected_ci_low,charge_res68_if_corrected_ci_high,mean_lift_fraction,mean_lift_fraction_ci_low,mean_lift_fraction_ci_high,ml_minus_traditional_artificial_res68,ml_minus_traditional_coverage,ml_minus_traditional_timing_tail_delta,ml_minus_traditional_charge_bias_delta,eligible,utility
all_samples_reference,ML_mlp,0.023737787880738177,0.019899290183453447,0.02778890248574567,-0.003752625354074396,-0.00781958535586317,7.769391892853728e-05,0.023141250659377638,0.019258232198426022,0.027096199118108986,0.766686571872817,0.7096830811008744,0.8164279747376373,-0.03204913198433076,-0.036783278696236515,-0.025315486554787145,3.9434842373301466e-05,1.2735308216000625e-05,8.524808548247872e-05,-0.03067999778245026,-0.034708403306607495,-0.02495176949901718,0.05134601247599699,0.04631314260227912,0.05729104952011915,0.03345177942751347,0.03181565031477422,0.034900683865436655,-0.08299651624319243,0.5730840300155485,1.6900646731414903e-05,-0.027767531642931914,True,0.10512585563593843
late_tail_control,ML_mlp,0.028173582825906048,0.024974271301027102,0.03145958420073279,0.0029952976834659727,-8.199768708781849e-05,0.005938810918852845,0.02761081068767148,0.02405964616712729,0.031197722082937793,0.7004811050769543,0.568325478466112,0.8128689148394507,-0.0229255555854674,-0.03042388495728539,-0.014409384212335424,5.070194019424474e-05,1.6175371070783425e-05,0.00010778748662813678,-0.02425063485243063,-0.03043876532415402,-0.015874845148980295,0.05518214533268975,0.047196610676231814,0.06457090364404273,0.03288239416306739,0.030344814410137356,0.035526938530895974,-0.07973185706322836,0.6835353899542556,5.63354891047162e-06,-0.0241643011937135,True,0.09966909912504601
early_tail,ML_mlp,0.018647245054187925,0.016789471268774666,0.020669567001175285,-0.003099471405190211,-0.00411093330142449,-0.001992773207585499,0.019521043337429433,0.01753968148789241,0.02189026485982329,0.6242535547693625,0.5796883242802807,0.6628675389964701,-0.01635620046989194,-0.021559187395011933,-0.01048663243985935,3.9434842373301486e-05,5.261126212789016e-06,0.00011132598016272905,-0.025646549518361803,-0.029833593448752846,-0.02054435135540574,0.0421665182785427,0.038301599837174766,0.04601176039032816,0.028745633098088617,0.02674470071340865,0.030748204119616908,-0.23999290443451654,-0.18115239876512612,-3.3801293462829826e-05,0.01220179860851478,True,0.09533452396515235
rising_edge,ML_mlp,0.02893446233803749,0.02378442622899133,0.03425499606897706,-0.0024555082839586083,-0.0044721824281371125,-0.00037013987562368875,0.029652391010479003,0.024819889227011328,0.035425856101022266,0.5995335421502129,0.48689276223576006,0.7222484023226465,-0.017142890950996248,-0.026620781423814535,-0.008386641152959768,3.9434842373301486e-05,1.4626968232243591e-05,8.034762591764407e-05,-0.02919982734788479,-0.03412064540059609,-0.023211838923219954,0.042808497538339874,0.04025346084193225,0.04564485847513453,0.034570750626600845,0.032020410651692054,0.03660191372078037,-0.0781552067302124,0.5858440182977669,1.6900646731414923e-05,-0.028982646286766046,True,0.0745273352158881
peak,ML_mlp,0.031794505468514665,0.02961620555118634,0.033879287913177576,0.0023246333956988808,-0.000239946782187955,0.005242208325220061,0.030910815599330562,0.028711583053301588,0.03350668479334441,0.3354327692273024,0.299055444027027,0.3747937034184948,-0.00025563798158078835,-0.0008257472865369573,0.0,2.8167744552358183e-05,1.0156050947327865e-05,5.429872658656499e-05,-0.002409743927025301,-0.004003726110266229,-0.0012711933400322932,0.07446861461641202,0.06734767882121193,0.08547661059054641,0.02870798769277408,0.027364291582868804,0.030298333738355825,-0.18163749994630113,-0.1607307839646664,-1.0164395367051604e-20,0.02139366598904812,True,0.04934196944060013
all_samples_reference,ML_ridge,5.0588218662668766e-05,4.62395346254292e-05,5.613931411660164e-05,-5.007407719768679e-06,-6.857485502970783e-06,-3.2530854803573815e-06,4.156434909593257e-05,3.8496434375147436e-05,4.496355401414052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.10668371590526793,-0.1936025418572684,-2.2534195641886563e-05,0.002912466139518348,True,-5.0588218662668766e-05
early_tail,ML_ridge,0.004797424933184502,0.004506368830570305,0.005145161803263592,0.000551737426816583,0.0003120750853443311,0.0008013741310298986,0.005144776583593221,0.004531037556550273,0.005721299933060264,0.013672623205714673,0.009737458859483253,0.022715197966497618,0.0,0.0,0.0,1.1267097820943276e-05,0.0,4.692362264881696e-05,-2.205647161674419e-05,-3.19726112092991e-05,-1.4683217183601786e-05,0.30271691492637265,0.2728394401827932,0.32612813232898386,0.02598841250584204,0.024755894202335493,0.02728868904813493,-0.2538427245555199,-0.7917333303287739,-6.196903801518803e-05,0.03782629165525984,True,-0.0014238597990144644
all_samples_reference,ML_gradient_boosted_trees,0.0018133419939015951,0.0016557700992628332,0.0019580012291676822,-0.0001369583443403248,-0.0001827618512748076,-9.200515516276944e-05,0.0013631226735864787,0.0012501622632727,0.001473010182940814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.10492096213002901,-0.1936025418572684,-2.2534195641886563e-05,0.002912466139518348,True,-0.0018133419939015951
late_tail_control,ML_ridge,0.013245069039606672,0.012577917554618947,0.013985073753154522,0.00045106823909424565,-0.0005750782307711407,0.0015474178099702059,0.013286028059882781,0.012063181884388006,0.014702532109305567,0.0454514726096852,0.03445331410043037,0.05927853587383191,0.0,0.0,0.0,0.0,0.0,0.0,-4.5126650429761254e-05,-5.5401921927208715e-05,-3.8011756333338406e-05,0.1427197622750377,0.1379895201960635,0.15221047677928973,0.028785999307210937,0.027800091650858273,0.029573502587665005,-0.09466037084952773,0.028505757486986503,-4.506839128377312e-05,4.120700828736759e-05,True,-0.0019273275376151338
late_tail_control,ML_gradient_boosted_trees,0.0019540157485486336,0.001770381940461054,0.0021751577748957106,-4.876393842029135e-05,-0.00010568921394931096,1.2387755733270995e-05,0.0023083645981224034,0.0019559860134526403,0.0026880453448137036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.10595142414058578,-0.016945715122698695,-4.506839128377312e-05,8.633365871712885e-05,True,-0.0019540157485486336
