fold,run,rows,mean_amp
0,31,4301,4591.364101371774
0,36,2306,3941.6101474414572
0,42,3779,4099.021434241863
0,48,3377,3891.395617411904
0,53,5056,5326.346420094937
0,58,4486,3954.748439589835
0,63,4149,3479.4608339358883
1,32,4521,4547.200840522009
1,37,5403,3989.044604849158
1,44,458,4098.195414847161
1,49,3548,3952.4055806087936
1,54,4889,5359.343628553896
1,59,3983,3347.3941752447904
1,64,3398,3400.9131842260153
2,33,9852,5409.544711733658
2,39,3243,3948.178692568609
2,45,5198,4073.0975375144285
2,50,4355,5085.3501722158435
2,55,2516,4948.980325914149
2,60,2890,3383.919896193772
2,65,3375,3330.725037037037
3,34,5403,5485.111234499353
3,40,3475,3884.074820143885
3,46,165,3875.042424242424
3,51,2062,4906.870999030068
3,56,5019,4973.281829049612
3,61,3291,3362.336675782437
4,35,2968,3869.0392520215632
4,41,3708,3921.3851132686086
4,47,1230,4071.09918699187
4,52,938,4917.046908315565
4,57,3295,3912.048861911988
4,62,3363,3308.3409158489444
