sample_window,method,coverage,coverage_ci_low,coverage_ci_high,natural_boundary_q_template_shift,natural_boundary_q_template_shift_ci_low,natural_boundary_q_template_shift_ci_high,timing_tail_delta,timing_tail_delta_ci_low,timing_tail_delta_ci_high,charge_bias_delta,charge_bias_delta_ci_low,charge_bias_delta_ci_high,charge_res68_if_corrected,charge_res68_if_corrected_ci_low,charge_res68_if_corrected_ci_high,mean_lift_fraction,mean_lift_fraction_ci_low,mean_lift_fraction_ci_high
all_samples_reference,ML_gradient_boosted_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
all_samples_reference,ML_mlp,0.766686571872817,0.7096830811008744,0.8164279747376373,-0.03204913198433076,-0.036783278696236515,-0.025315486554787145,3.9434842373301466e-05,1.2735308216000625e-05,8.524808548247872e-05,-0.03067999778245026,-0.034708403306607495,-0.02495176949901718,0.05134601247599699,0.04631314260227912,0.05729104952011915,0.03345177942751347,0.03181565031477422,0.034900683865436655
all_samples_reference,ML_ridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
all_samples_reference,NN_1d_cnn,0.0019379408252022444,0.0012593666815661187,0.0032410279819070974,0.0,0.0,0.0,0.0,0.0,0.0,-1.53483293858291e-05,-2.4401041840198643e-05,-7.155800885058509e-06,0.16147986216257904,0.09691708184312321,0.24087850639316435,0.03550345327376845,0.03447147790179274,0.03666035654772668
all_samples_reference,NN_gated_residual_cnn_new,0.040595353448858645,0.027149990428123858,0.05984385794095703,0.0,0.0,0.0,1.6900646731414927e-05,0.0,5.1667117889086756e-05,-6.078817434031133e-05,-0.00010184109744516284,-3.0348418417296706e-05,0.14033116094030634,0.13300051243754768,0.15234124960179196,0.03822990258560947,0.03729557488574233,0.03910242368684972
all_samples_reference,traditional_rising_template,0.1936025418572684,0.1700513116017395,0.21440107473438572,0.0,0.0,0.0,2.2534195641886563e-05,4.517230402015722e-06,5.846286814437545e-05,-0.002912466139518348,-0.004139863201456982,-0.001729170361600024,0.03787874410798813,0.033081901834020655,0.04458566168631514,0.026327533306102765,0.023419158450763925,0.029259061575282026
early_tail,ML_gradient_boosted_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
early_tail,ML_mlp,0.6242535547693625,0.5796883242802807,0.6628675389964701,-0.01635620046989194,-0.021559187395011933,-0.01048663243985935,3.9434842373301486e-05,5.261126212789016e-06,0.00011132598016272905,-0.025646549518361803,-0.029833593448752846,-0.02054435135540574,0.0421665182785427,0.038301599837174766,0.04601176039032816,0.028745633098088617,0.02674470071340865,0.030748204119616908
early_tail,ML_ridge,0.013672623205714673,0.009737458859483253,0.022715197966497618,0.0,0.0,0.0,1.1267097820943276e-05,0.0,4.692362264881696e-05,-2.205647161674419e-05,-3.19726112092991e-05,-1.4683217183601786e-05,0.30271691492637265,0.2728394401827932,0.32612813232898386,0.02598841250584204,0.024755894202335493,0.02728868904813493
early_tail,NN_1d_cnn,0.00539130630732136,0.0034678087042594023,0.008060230237900293,0.0,0.0,0.0,5.633548910471643e-06,0.0,2.4808103920105065e-05,-5.22341132516087e-05,-7.285060625044067e-05,-3.490352188772743e-05,0.10566982635550073,0.07149386001290227,0.1771133882996979,0.03638105402606212,0.03509700331586162,0.03750588878960666
early_tail,NN_gated_residual_cnn_new,0.008039074295243032,0.003672937114839578,0.01690619106522774,0.0,0.0,0.0,0.0,0.0,0.0,-1.7396152402681296e-05,-2.9428311351606278e-05,-7.89981493323866e-06,0.25974899136048757,0.11262558002763645,0.4769020791536874,0.025772522430678423,0.017177804790504615,0.03307406946250661
early_tail,traditional_rising_template,0.8054059535344886,0.7912828563522554,0.8175739624493946,-0.03793697200524622,-0.038366864166910555,-0.03701371113375144,7.323613583613131e-05,1.956234900692081e-05,0.0001766575401727466,-0.03784834812687658,-0.03860655726612887,-0.03651128994323787,0.06095615421769845,0.056418814389569936,0.06738317456717267,0.036485756216080974,0.035970702858601024,0.037064209525770914
late_tail_control,ML_gradient_boosted_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
late_tail_control,ML_mlp,0.7004811050769543,0.568325478466112,0.8128689148394507,-0.0229255555854674,-0.03042388495728539,-0.014409384212335424,5.070194019424474e-05,1.6175371070783425e-05,0.00010778748662813678,-0.02425063485243063,-0.03043876532415402,-0.015874845148980295,0.05518214533268975,0.047196610676231814,0.06457090364404273,0.03288239416306739,0.030344814410137356,0.035526938530895974
late_tail_control,ML_ridge,0.0454514726096852,0.03445331410043037,0.05927853587383191,0.0,0.0,0.0,0.0,0.0,0.0,-4.5126650429761254e-05,-5.5401921927208715e-05,-3.8011756333338406e-05,0.1427197622750377,0.1379895201960635,0.15221047677928973,0.028785999307210937,0.027800091650858273,0.029573502587665005
late_tail_control,NN_1d_cnn,0.0002647767987921671,0.0001360452446128017,0.000525657270381996,0.0,0.0,0.0,0.0,0.0,0.0,-9.24290354895179e-08,-3.432498810013523e-07,0.0,0.4932028292849521,0.17425448455136788,0.8347506841507183,0.020023949827384084,0.011075216889809178,0.030296020725204532
late_tail_control,NN_gated_residual_cnn_new,0.00013520517385131939,5.0177982326721266e-05,0.00032619717340543126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20559375289795245,0.053234889518927346,0.5194645289775285,0.00814763204409141,0.002533821143454962,0.015747312353590486
late_tail_control,traditional_rising_template,0.016945715122698695,0.013474734912520834,0.02265920417741766,0.0,0.0,0.0,4.506839128377312e-05,1.3899426700620486e-05,0.00010149377878106477,-8.633365871712885e-05,-0.00010925959913246545,-7.036532365894973e-05,0.14069005286824254,0.12382022361682406,0.16396805666853226,0.03375755931357063,0.0329596641985549,0.03452121289217626
peak,ML_gradient_boosted_trees,1.1267097820943282e-05,0.0,3.0585873053885845e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788240057482868,0.7215268273899135,0.9515863905589506,0.0001744441816397766,0.0,0.0005667381925656626
peak,ML_mlp,0.3354327692273024,0.299055444027027,0.3747937034184948,-0.00025563798158078835,-0.0008257472865369573,0.0,2.8167744552358183e-05,1.0156050947327865e-05,5.429872658656499e-05,-0.002409743927025301,-0.004003726110266229,-0.0012711933400322932,0.07446861461641202,0.06734767882121193,0.08547661059054641,0.02870798769277408,0.027364291582868804,0.030298333738355825
peak,ML_ridge,0.01126146427203281,0.010046927127970786,0.012885455389065858,0.0,0.0,0.0,0.0,0.0,0.0,-6.968357778741862e-05,-8.532383398004211e-05,-5.429191280693132e-05,0.14654859336235793,0.11201048643558977,0.1846130402086829,0.021399898823480545,0.020600940426534844,0.022609355509934946
peak,NN_1d_cnn,0.1563760506568718,0.07174294546818359,0.2484377567050778,-0.0010800030001533567,-0.0032156648854737174,0.0,0.0,0.0,0.0,-0.0042484266389202305,-0.00894297972081628,-0.00026002312900026323,0.06835350724438084,0.06425312081876737,0.07273392206473364,0.03301347161886821,0.031547163402836205,0.034430328065449066
peak,NN_gated_residual_cnn_new,0.04820627802690583,0.028402184682781603,0.07267292797996253,0.0,0.0,0.0,1.126709782094328e-05,0.0,2.5944915969847047e-05,-8.372450892884524e-06,-1.4352099224619773e-05,-4.57584797010137e-06,0.0781410329944244,0.06437216929861639,0.1008501922993944,0.031126169246882822,0.027388715915092388,0.034420617464969994
peak,traditional_rising_template,0.4961635531919688,0.4778851956265942,0.5118998607407167,-0.010913318594145589,-0.017315063098261148,-0.004059883272059797,2.8167744552358193e-05,6.70972694795488e-06,7.094404168485841e-05,-0.02380340991607342,-0.02810644304650301,-0.01750598263405157,0.07066245206718835,0.06558426089207375,0.08055300357101856,0.03806695195399093,0.037959607204660455,0.03813677162955389
rising_edge,ML_gradient_boosted_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
rising_edge,ML_mlp,0.5995335421502129,0.48689276223576006,0.7222484023226465,-0.017142890950996248,-0.026620781423814535,-0.008386641152959768,3.9434842373301486e-05,1.4626968232243591e-05,8.034762591764407e-05,-0.02919982734788479,-0.03412064540059609,-0.023211838923219954,0.042808497538339874,0.04025346084193225,0.04564485847513453,0.034570750626600845,0.032020410651692054,0.03660191372078037
rising_edge,ML_ridge,0.0140444374338058,0.012022792796623423,0.018674411737746185,0.0,0.0,0.0,1.1267097820943276e-05,0.0,4.5756806404466904e-05,-5.4207976541580806e-05,-7.57649080887105e-05,-3.561917971501618e-05,0.08612809400534527,0.05488368537981882,0.1435902635163919,0.01956285518528127,0.017484683459758694,0.022685855538437237
rising_edge,NN_1d_cnn,0.004726547535885707,0.0030059010278717557,0.007307701011489381,0.0,0.0,0.0,0.0,0.0,0.0,-6.049963791361072e-06,-1.141899334431518e-05,-1.9968667890275718e-06,0.20262776512882907,0.17354857343434488,0.2362036045776418,0.03325418746543307,0.031179302409202643,0.03494728895069581
rising_edge,NN_gated_residual_cnn_new,0.047372512788156025,0.031045858414386892,0.07179380841116514,0.0,0.0,0.0,0.0,0.0,0.0,-1.5753938293210825e-05,-2.5368597429867284e-05,-8.719644808612123e-06,0.1526172123841304,0.140046554193447,0.1702922829989619,0.03409929478719474,0.032814836682838355,0.03558335403421485
rising_edge,traditional_rising_template,0.013689523852446086,0.010973046640978295,0.018575983332920067,0.0,0.0,0.0,2.2534195641886563e-05,4.5873443270549695e-06,5.5588040551537135e-05,-0.00021718106111874648,-0.000304439548245952,-0.0001747580506837237,0.04416680753497625,0.03893152014957774,0.05231278987935721,0.03048444662999721,0.02870580069328111,0.03188886877467945
