sample_window,method,run,n,artificial_clip_res68,artificial_clip_bias,artificial_clip_mae_frac
all_samples_reference,ML_gradient_boosted_trees,31,4301,0.0016234370246646938,-0.0001890954733063871,0.0012095395988162413
all_samples_reference,ML_gradient_boosted_trees,32,4521,0.0015745592662297818,-0.00019602331106732026,0.0011876187377585596
all_samples_reference,ML_gradient_boosted_trees,33,9852,0.001300747786702813,-0.0002836235146944124,0.0009749694212849489
all_samples_reference,ML_gradient_boosted_trees,34,5403,0.0012517377648716714,-0.0002831753917676339,0.0009570307579381347
all_samples_reference,ML_gradient_boosted_trees,35,2968,0.0020138415849330336,-4.54263858125126e-05,0.0015308940413605874
all_samples_reference,ML_gradient_boosted_trees,36,2306,0.0019832611825261063,-9.325834979463052e-05,0.001451009109080914
all_samples_reference,ML_gradient_boosted_trees,37,5403,0.001957715599852536,-5.060729372968181e-05,0.0014704862400282757
all_samples_reference,ML_gradient_boosted_trees,39,3243,0.0018930339156986282,-0.00014048997461519624,0.0014368205890966947
all_samples_reference,ML_gradient_boosted_trees,40,3475,0.0019939872501467497,-0.000114008481924003,0.0014841850987660503
all_samples_reference,ML_gradient_boosted_trees,41,3708,0.002018946947506788,-7.013287704854264e-05,0.0015050811538571364
all_samples_reference,ML_gradient_boosted_trees,42,3779,0.0019262533740278707,-7.86527808430179e-05,0.0014105983943860526
all_samples_reference,ML_gradient_boosted_trees,44,458,0.0019080582703737128,-1.0983342428906651e-05,0.0014671157400098155
all_samples_reference,ML_gradient_boosted_trees,45,5198,0.0018434063014033265,-0.00017742352601238018,0.001395086623180636
all_samples_reference,ML_gradient_boosted_trees,46,165,0.0021061033372802903,-0.00014522678503513345,0.0015886592042812836
all_samples_reference,ML_gradient_boosted_trees,47,1230,0.001863022428745794,-5.414402278104822e-05,0.001367427520906804
all_samples_reference,ML_gradient_boosted_trees,48,3377,0.0019969557553796194,-7.020279325076523e-05,0.0014939929553972498
all_samples_reference,ML_gradient_boosted_trees,49,3548,0.0020319182972023003,-1.5646492046139773e-05,0.001488476318032885
all_samples_reference,ML_gradient_boosted_trees,50,4355,0.0013971790181119272,-0.0002938176961090755,0.001053788209930002
all_samples_reference,ML_gradient_boosted_trees,51,2062,0.001467272655304089,-0.00020080869008869622,0.0011128861682239983
all_samples_reference,ML_gradient_boosted_trees,52,938,0.0013801949245978657,-0.00012282047350294187,0.0010594775866301315
all_samples_reference,ML_gradient_boosted_trees,53,5056,0.0012687730132099637,-0.00027367404203487196,0.0009607678712622825
all_samples_reference,ML_gradient_boosted_trees,54,4889,0.0012297448270155546,-0.00028501507102210417,0.0009299990266793661
all_samples_reference,ML_gradient_boosted_trees,55,2516,0.001443825251254191,-0.00023443938193650848,0.0010720278857720901
all_samples_reference,ML_gradient_boosted_trees,56,5019,0.0014107434418386279,-0.00020839106916079427,0.0010605299572324417
all_samples_reference,ML_gradient_boosted_trees,57,3295,0.002047108636126372,-3.6530891526121655e-05,0.0015150142541860239
all_samples_reference,ML_gradient_boosted_trees,58,4486,0.0019889896654340456,-9.275368915444556e-05,0.0014799176881953938
all_samples_reference,ML_gradient_boosted_trees,59,3983,0.0024746634792014,3.431197349050599e-05,0.0018917509535908818
all_samples_reference,ML_gradient_boosted_trees,60,2890,0.0021950660137165755,-3.394549264007974e-05,0.0017003708912101013
all_samples_reference,ML_gradient_boosted_trees,61,3291,0.002269194829370877,-9.162686260118141e-05,0.0017665641917323448
all_samples_reference,ML_gradient_boosted_trees,62,3363,0.002495919903848378,3.4630210563923053e-06,0.0018986345460232396
all_samples_reference,ML_gradient_boosted_trees,63,4149,0.002372042708199982,-4.569249980924779e-05,0.0017468682148012692
all_samples_reference,ML_gradient_boosted_trees,64,3398,0.0024424655957123046,4.902581673767154e-05,0.001860835989193908
all_samples_reference,ML_gradient_boosted_trees,65,3375,0.002517364034182902,-1.0632190447786492e-05,0.0018719560206067773
all_samples_reference,ML_mlp,31,4301,0.013086959592055185,0.0025584808186903956,0.01345057816138997
all_samples_reference,ML_mlp,32,4521,0.03370517560832208,-0.01966462467500191,0.03177711828038533
all_samples_reference,ML_mlp,33,9852,0.01207428608157399,-0.004402026990859792,0.011371921163805665
all_samples_reference,ML_mlp,34,5403,0.019020845162718816,0.006084345013953666,0.016986537259965424
all_samples_reference,ML_mlp,35,2968,0.022179362091426978,0.013404643274287975,0.019093530949725858
all_samples_reference,ML_mlp,36,2306,0.015914996115525614,0.002682118510294295,0.015440249761799774
all_samples_reference,ML_mlp,37,5403,0.04000776928354956,-0.020645405487029502,0.03917274301941813
all_samples_reference,ML_mlp,39,3243,0.022412212163637167,-0.008540636978010894,0.021124023477656392
all_samples_reference,ML_mlp,40,3475,0.02984430562021701,0.00436145358020358,0.028935474472977674
all_samples_reference,ML_mlp,41,3708,0.022638681270329277,0.012393255575249035,0.020117186355734798
all_samples_reference,ML_mlp,42,3779,0.016610373471087275,0.0025662094799440297,0.01837391976939782
all_samples_reference,ML_mlp,44,458,0.03831656075256393,-0.02263258700617394,0.04489144082204927
all_samples_reference,ML_mlp,45,5198,0.02206389633801411,-0.008736496246390873,0.02243237120978606
all_samples_reference,ML_mlp,46,165,0.027908641123666915,0.007149505925919642,0.023982124948265474
all_samples_reference,ML_mlp,47,1230,0.02023874515287013,0.012333645820419506,0.016603768562670134
all_samples_reference,ML_mlp,48,3377,0.017101616875141275,0.0020743938231515846,0.018638171664577076
all_samples_reference,ML_mlp,49,3548,0.04034403752679037,-0.02186641931297502,0.04285147211330096
all_samples_reference,ML_mlp,50,4355,0.015365717623767752,-0.0061364086339539695,0.014873042570209036
all_samples_reference,ML_mlp,51,2062,0.023396555484076476,0.003679052951104503,0.02117273246980528
all_samples_reference,ML_mlp,52,938,0.018005492904028513,0.010528062442759216,0.015277430141095866
all_samples_reference,ML_mlp,53,5056,0.00974058380206496,0.0019870109315659567,0.009779829402215749
all_samples_reference,ML_mlp,54,4889,0.029575248549983082,-0.020347805756071886,0.027435891185142003
all_samples_reference,ML_mlp,55,2516,0.016399678321491317,-0.006401330612224541,0.015028969459322037
all_samples_reference,ML_mlp,56,5019,0.023583548775201104,0.0036009830398491187,0.02185718623555608
all_samples_reference,ML_mlp,57,3295,0.022442632071169817,0.012268579306722689,0.019793014803181453
all_samples_reference,ML_mlp,58,4486,0.013497346261832001,0.0007121889689232998,0.012271824124208124
all_samples_reference,ML_mlp,59,3983,0.05200462194172218,-0.02387246682532814,0.05805219813655815
all_samples_reference,ML_mlp,60,2890,0.026198081253784082,-0.01082174755674821,0.024328105166537266
all_samples_reference,ML_mlp,61,3291,0.03512734294422377,0.0020434177529559993,0.03333655630898674
all_samples_reference,ML_mlp,62,3363,0.027137551404328525,0.015525768649193548,0.02448205780980943
all_samples_reference,ML_mlp,63,4149,0.017919023413156304,0.0011016275036455653,0.02093526509705398
