sample_window,method,run,n,coverage,natural_boundary_q_template_shift,timing_tail_delta,charge_bias_delta,charge_res68_if_corrected,mean_lift_fraction
all_samples_reference,ML_gradient_boosted_trees,31,12229,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,32,11986,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,33,16060,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,34,15534,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,35,1408,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,36,2141,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,37,4938,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,39,2295,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,40,1972,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,41,2720,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,45,5448,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,47,1267,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,48,1975,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,49,2146,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,50,19476,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,51,7240,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,52,3622,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,53,13948,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,54,13272,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,55,8323,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,56,21626,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,57,1828,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,58,1610,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,59,794,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,60,333,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,61,405,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,62,495,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,63,1212,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,64,763,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_gradient_boosted_trees,65,442,0.0,0.0,0.0,0.0,,0.0
all_samples_reference,ML_mlp,31,12229,0.8581241311636274,-0.038461538461538436,8.177283506419176e-05,-0.03626911475684101,0.05436783455977432,0.03502195548955805
all_samples_reference,ML_mlp,32,11986,0.8248790255297848,-0.038461538461538436,0.0,-0.03540283851515984,0.06839064490649899,0.03706454861440332
all_samples_reference,ML_mlp,33,16060,0.8382316313823163,-0.038461538461538436,0.0,-0.03458965686624588,0.03920039655815034,0.032919901888810006
all_samples_reference,ML_mlp,34,15534,0.7332303334620832,-0.038461538461538436,0.0,-0.03311456217853111,0.0384326070443421,0.03403220541527515
all_samples_reference,ML_mlp,35,1408,0.5916193181818182,-0.01153655076550758,0.0,-0.01479435655747169,0.0646870646014801,0.027836701447001726
all_samples_reference,ML_mlp,36,2141,0.8136384866884633,-0.038461538461538436,0.0,-0.03530871804249579,0.054737693921495176,0.0349169427378794
all_samples_reference,ML_mlp,37,4938,0.7970838396111786,-0.038461538461538436,0.00020251113811259585,-0.036438788907134374,0.0767996343034173,0.03737500415843988
all_samples_reference,ML_mlp,39,2295,0.6858387799564271,-0.0359312476407363,0.000435729847494553,-0.03616465473722033,0.050951224159616004,0.034564763388461824
all_samples_reference,ML_mlp,40,1972,0.7510141987829615,-0.038461538461538436,0.0005070993914807302,-0.03477060927808909,0.05375281695789739,0.03451493546197639
all_samples_reference,ML_mlp,41,2720,0.5680147058823529,-0.010326812092581183,0.0,-0.012417197465728586,0.0690811775056873,0.027433528224012
all_samples_reference,ML_mlp,45,5448,0.82140234948605,-0.038461538461538436,0.0,-0.03745981909544236,0.05866856051474307,0.03529694748959763
all_samples_reference,ML_mlp,47,1267,0.8255722178374112,-0.038461538461538436,0.0,-0.035350525901889016,0.07657277707971619,0.036824690181621794
all_samples_reference,ML_mlp,48,1975,0.6708860759493671,-0.033884941381279954,0.0,-0.03677266740631109,0.045221861804256636,0.03479889969847449
all_samples_reference,ML_mlp,49,2146,0.7833178005591799,-0.038461538461538436,0.0,-0.035348423092754724,0.06236867297771642,0.03472855536863894
all_samples_reference,ML_mlp,50,19476,0.5741425344013145,-0.009869988457060608,0.0,-0.011336635501054172,0.06226570348762453,0.027457514832466813
all_samples_reference,ML_mlp,51,7240,0.8908839779005525,-0.038461538461538436,0.0,-0.03616578507690226,0.048284318816940494,0.03565009256247427
all_samples_reference,ML_mlp,52,3622,0.8354500276090557,-0.038461538461538436,0.0,-0.035640188839233346,0.05496789743898252,0.03725284455559021
all_samples_reference,ML_mlp,53,13948,0.849297390306854,-0.038461538461538436,0.0,-0.035438589172169445,0.04051284158738115,0.03426584361933641
all_samples_reference,ML_mlp,54,13272,0.6984629294755877,-0.029203502902214795,0.0,-0.03198780581266385,0.039738348253543755,0.032870796898159964
all_samples_reference,ML_mlp,55,8323,0.5994232848732428,-0.01161471786844348,0.0,-0.012908580045982047,0.06214585552296912,0.02740614777652833
all_samples_reference,ML_mlp,56,21626,0.8878664570424489,-0.038461538461538436,0.0,-0.03587173781466263,0.0496409265453721,0.035414360072819416
all_samples_reference,ML_mlp,57,1828,0.7554704595185996,-0.038461538461538436,0.0,-0.03624100002692301,0.08342470311907499,0.03701751144645817
all_samples_reference,ML_mlp,58,1610,0.5857142857142857,-0.014417716917558443,0.0,-0.019160945468926167,0.017886571115213547,0.03179294362679684
all_samples_reference,ML_mlp,59,794,0.7531486146095718,-0.038461538461538436,0.0012594458438287132,-0.03823424248778557,0.06267998530637245,0.03790747413445821
all_samples_reference,ML_mlp,60,333,0.6936936936936937,-0.019073904444321665,0.0,-0.027358050511939867,0.015846489225818498,0.029306033667916537
