fold,run,run_family,rows,traditional_accepts
0,31,high-knee,12229,248
0,36,low-knee,2141,0
0,45,low-knee,5448,0
0,51,high-knee,7240,218
0,56,high-knee,21626,455
0,61,low-knee,405,0
1,32,high-knee,11986,233
1,37,low-knee,4938,0
1,47,high-knee,1267,47
1,52,high-knee,3622,96
1,57,low-knee,1828,0
1,62,low-knee,495,0
2,33,high-knee,16060,190
2,39,low-knee,2295,0
2,48,low-knee,1975,0
2,53,high-knee,13948,250
2,58,low-knee,1610,0
2,63,low-knee,1212,0
3,34,high-knee,15534,166
3,40,low-knee,1972,0
3,49,low-knee,2146,0
3,54,high-knee,13272,235
3,59,low-knee,794,0
3,64,low-knee,763,0
4,35,low-knee,1408,0
4,41,low-knee,2720,0
4,50,high-knee,19476,347
4,55,high-knee,8323,231
4,60,low-knee,333,0
4,65,low-knee,442,0
