study_id,family,report_dir,json_path,ci_key,pattern,context,delta,ci_low,ci_high,estimate_source,se_from_ci,z,p,p_bh_adjusted,nominal_ci_excludes_zero,bh_pass
S01,representation,1780997954.15037.36463764__s01_full_dataset_templates,/ml.ci-vs-traditional.ci,ml.ci-vs-traditional.ci,D_unpaired_ml_vs_traditional,,-0.04233592020974827,-0.05260835117101198,-0.03206348924848457,unpaired_per_method_cis,0.005241132511766201,-8.077628282571615,6.603854420616028e-16,1.0675796276806148e-15,True,True
S01,representation,1780997954.15037.36463764__s01_full_dataset_templates,/falsification/delta_ci,delta_ci,A_delta_named_ci_key,,-0.04233592020974827,-0.05242118914076885,-0.032381001540877745,sibling_prefix:delta_ml_minus_traditional,0.005112386696379512,-8.281048113932718,1.2209584254469514e-16,2.0055100241277234e-16,True,True
S02,timing,1780997954.15157.07ef03cf__s02_timing_pickoff,/ml.ci-vs-traditional.ci,ml.ci-vs-traditional.ci,D_unpaired_ml_vs_traditional,,-1.0430391035277382,-1.4184566106459944,-0.667621596409482,unpaired_per_method_cis,0.19154306409684135,-5.445454829940451,5.1673175540129956e-08,1.4950103214523036e-07,True,True
S07,pileup,1780997954.15217.702122ea__s07_ml_rigour_scoreboard,/ml.ci-vs-traditional.ci,ml.ci-vs-traditional.ci,D_unpaired_ml_vs_traditional,,0.2642581522604074,0.2481723162095242,0.2803439883112906,unpaired_per_method_cis,0.008207210019044337,32.19829292137185,1.8647286364370358e-227,5.936052825991231e-226,True,True
S07,pileup,1780997954.15217.702122ea__s07_ml_rigour_scoreboard,/falsification/bootstrap_ci,bootstrap_ci,B_delta_key_with_ci_sibling,,0.2642581522604074,0.25025487344848096,0.279917285172643,delta_key:ml_minus_traditional_auc,0.007567080813253556,34.922073489365374,3.437975124004746e-267,1.3133064973698132e-265,True,True
S07,pileup,1780997954.15217.702122ea__s07_ml_rigour_scoreboard,/details/ml_vs_traditional/bootstrap_ci,bootstrap_ci,B_delta_key_with_ci_sibling,,0.2642581522604074,0.25025487344848096,0.279917285172643,delta_key:ml_minus_traditional_auc,0.007567080813253556,34.922073489365374,3.437975124004746e-267,1.3133064973698132e-265,True,True
S10,pileup,1780997954.15277.548b01a3__s10_pileup_rate_model,/traditional/ci,ci,C_delta_metric_value_row,metric=downstream_high_minus_low_per_selected_event,0.010289747149522063,0.006367044044861144,0.014212450254182982,value_field,0.00200141591151812,5.141233808677504,2.7294014383388366e-07,1.0860743223389954e-06,True,True
S16,pedestal,1780997954.15337.77205a71__s16_pedestal_baseline_validation,/ml.ci-vs-traditional.ci,ml.ci-vs-traditional.ci,D_unpaired_ml_vs_traditional,,-292.16334737658207,-329.0172070488778,-255.30948770428628,unpaired_per_method_cis,18.80333514441812,-15.537847149595292,1.923367988348895e-54,1.643605371861783e-53,True,True
S18,timing,1780997954.15397.168324f2__s18_astack_independent_reproduction,/ml.ci-vs-traditional.ci,ml.ci-vs-traditional.ci,D_unpaired_ml_vs_traditional,,-0.006163975995422621,-0.07835915544826477,0.06603120345741953,unpaired_per_method_cis,0.03683495208193034,-0.1673404103176886,0.867102209561332,0.9228444944617032,False,False
S18,timing,1780997954.15397.168324f2__s18_astack_independent_reproduction,/falsification/paired_bootstrap_delta_ml_minus_traditional_ci,paired_bootstrap_delta_ml_minus_traditional_ci,A_delta_named_ci_key,,-0.014014264868484746,-0.053708003128652086,0.025679473391682594,ci_midpoint,0.02025227941598238,-0.6919845702615177,0.4889470188380858,0.5736465024163369,False,False
P10a,representation,1781000612.495978.66c00082__p10a_conditional_template,/falsification/q_delta_ci,q_delta_ci,A_delta_named_ci_key,,0.033647917835245914,0.027696870157837578,0.04111340412274953,sibling_prefix:q_delta_conditional_minus_empirical,0.003422648087092381,9.830960408153034,8.282508976582976e-23,1.590397263578609e-22,True,True
S02b,timing,1781000705.514762.105c186b__s02b_template_timewalk_closure,/ml.ci-vs-traditional.ci,ml.ci-vs-traditional.ci,D_unpaired_ml_vs_traditional,,0.2106963217489355,-0.14309436684603177,0.5644870103439028,unpaired_per_method_cis,0.180508770255792,1.1672359268215382,0.24311510590719432,0.30698432864552505,False,False
S03a,timing,1781000705.514827.50025402__s03a_analytic_timewalk_correction,/ml.ci-vs-traditional.ci,ml.ci-vs-traditional.ci,D_unpaired_ml_vs_traditional,,-0.10310945144887684,-0.3136587080033285,0.10743980510557485,unpaired_per_method_cis,0.10742506403956265,-0.9598267626901629,0.33714241056107097,0.4117558948655703,False,False
S07b,pileup,1781000790.531071.5a66741c__s07b_timing_control_classifier,/ml.ci-vs-traditional.ci,ml.ci-vs-traditional.ci,D_unpaired_ml_vs_traditional,,-0.0012825470482081824,-0.00201184363278889,-0.0005532504636274749,unpaired_per_method_cis,0.0003720969315422661,-3.446808988432895,0.0005672494863900782,0.001051889824276747,True,True
S07c,pileup,1781000790.531136.203130b0__s07c_clean_timing_rf,/ml.roc_auc_ci-vs-traditional.roc_auc_ci,ml.roc_auc_ci-vs-traditional.roc_auc_ci,D_unpaired_ml_vs_traditional,,0.08117227829935303,0.058052009630809566,0.1042925469678965,unpaired_per_method_cis,0.011796272202404328,6.881180504024688,5.935857922239193e-12,4.360572550568022e-11,True,True
S07c,pileup,1781000790.531136.203130b0__s07c_clean_timing_rf,/ml.average_precision_ci-vs-traditional.average_precision_ci,ml.average_precision_ci-vs-traditional.average_precision_ci,D_unpaired_ml_vs_traditional,,0.03721797677540262,0.006576161852385919,0.06785979169841931,unpaired_per_method_cis,0.015633866318317795,2.380599655748321,0.017284485138338544,0.02620108461446557,True,True
S16b,pedestal,1781000826.539659.030b7796__s16b_independent_pedestal_estimator_closure,/ml.ci-vs-traditional.ci,ml.ci-vs-traditional.ci,D_unpaired_ml_vs_traditional,,4.375903299550629,-36.2863835525563,45.03819015165756,unpaired_per_method_cis,20.746445941275383,0.21092303288654854,0.8329473307807089,0.847982481155812,False,False
