heldout_run,n_eval,n_train,ml_train_rows,traditional_full_templates
44,592,638699,30000,82
45,1134,616404,30000,82
46,376,640050,30000,82
47,600,635461,30000,80
48,1022,626737,30000,82
49,1023,625922,30000,82
50,1058,605520,30000,82
51,882,625997,30000,82
52,699,633585,30000,82
53,1037,608537,30000,82
54,1014,610297,30000,82
55,925,623350,30000,82
56,1120,600589,30000,82
57,1047,626904,30000,82
58,1040,623956,30000,82
59,1265,619360,30000,82
60,1321,623708,30000,82
61,1289,621772,30000,82
62,1291,621648,30000,82
63,1203,621920,30000,82
65,1024,627699,30000,82
