method,n_runs,n_rows,q_template_mse,q_template_mse_ci95,tail_mse,tail_mse_ci95,live10_abs_error_ns,live10_abs_error_ns_ci95,live10_bias_ns,live10_bias_ns_ci95,live20_abs_error_ns,live20_abs_error_ns_ci95
ml_et_tail_surrogate,21,20962,0.13701474021484342,"[0.11959536611787548, 0.15280521739214858]",0.21752407918501926,"[0.18530671972239532, 0.24613654936384846]",25.664061277802436,"[23.395485536388332, 27.794257730304732]",19.48311548049016,"[16.90905774813372, 21.88521495365159]",25.3171653496661,"[23.383467117162933, 27.14532130210886]"
traditional_empirical_template,21,20962,0.1647291405059829,"[0.14460981629448394, 0.1839102559186584]",0.2570900748895082,"[0.22064862779282196, 0.2919219335928318]",26.115286003928347,"[23.945044737501732, 28.067581417487638]",23.31591753904506,"[21.077004873825228, 25.418900803173962]",21.411222008552187,"[19.478809527432894, 23.093888670034517]"
