method,heldout_run,n,q_template_mse,tail_mse,live10_abs_error_ns,live10_bias_ns,live20_abs_error_ns
ml_et_tail_surrogate,44,592,0.12958531281500665,0.18940970091522652,20.0,13.403880070546737,20.493827160493826
ml_et_tail_surrogate,45,1134,0.18942566954977805,0.2876313574107359,29.453053783044666,22.76207839562443,28.70556061987238
ml_et_tail_surrogate,46,376,0.05583609636474191,0.07528031862221607,12.418478260869565,4.048913043478261,15.353260869565217
ml_et_tail_surrogate,47,600,0.15189464245194406,0.19320785037612248,16.949152542372882,9.220338983050848,18.0
ml_et_tail_surrogate,48,1022,0.16259101900199377,0.26103290939512347,28.53977844914401,22.336354481369586,27.905337361530716
ml_et_tail_surrogate,49,1023,0.16222217641787945,0.2683011693626601,27.595190380761522,21.783567134268537,27.78557114228457
ml_et_tail_surrogate,50,1058,0.18226878115746223,0.2786629738810672,31.666666666666668,26.136801541425818,30.722543352601157
ml_et_tail_surrogate,51,882,0.13126922318451623,0.22150006143947001,28.141176470588235,22.541176470588237,28.11764705882353
ml_et_tail_surrogate,52,699,0.14991515559942067,0.2574056115052075,24.27098674521355,19.204712812960235,23.755522827687777
ml_et_tail_surrogate,53,1037,0.2149814917245466,0.34370960835916675,32.514792899408285,27.54437869822485,31.765285996055226
ml_et_tail_surrogate,54,1014,0.1782225172854126,0.3135724730986893,31.79254783484391,26.75730110775428,30.463242698892245
ml_et_tail_surrogate,55,925,0.15202269400226037,0.23172155424818522,28.58888888888889,23.255555555555556,28.322222222222223
ml_et_tail_surrogate,56,1120,0.14464509802310363,0.25401564762382395,30.65077910174152,24.967919340054994,28.652612282309807
ml_et_tail_surrogate,57,1047,0.16755356890759268,0.28163169580040515,29.49069539666993,24.33888344760039,29.19686581782566
ml_et_tail_surrogate,58,1040,0.13250560871846037,0.27961152522616717,29.10958904109589,23.395303326810176,28.043052837573384
ml_et_tail_surrogate,59,1265,0.08095465720726869,0.12037992247441974,21.45800316957211,13.12202852614897,20.530903328050712
ml_et_tail_surrogate,60,1321,0.11920819280202995,0.15854209748034437,22.673267326732674,17.402894135567404,22.193450114242193
ml_et_tail_surrogate,61,1289,0.09454404176679483,0.13850044865888317,22.719435736677116,17.641065830721004,21.5282131661442
ml_et_tail_surrogate,62,1291,0.07615682247932071,0.13308573060884343,22.02185792349727,16.682279469164715,21.6783762685402
ml_et_tail_surrogate,63,1203,0.08186578493541144,0.0987794312187997,21.149328859060404,13.615771812080537,21.543624161073826
ml_et_tail_surrogate,65,1024,0.11964099011676695,0.18202357517984746,27.74161735700197,18.984220907297832,26.90335305719921
traditional_empirical_template,44,592,0.15578627009760243,0.2224897775479344,20.970017636684304,18.465608465608465,18.007054673721342
traditional_empirical_template,45,1134,0.22218353174157696,0.33047460419031477,30.929808568824065,28.39562443026436,25.86144029170465
traditional_empirical_template,46,376,0.07981034157941042,0.10567486740226874,13.91304347826087,11.630434782608695,11.059782608695652
traditional_empirical_template,47,600,0.1808296382912793,0.23626776781200837,18.28813559322034,15.474576271186441,14.186440677966102
traditional_empirical_template,48,1022,0.19419551825786882,0.3047694640228967,28.65055387713998,26.09264853977845,24.169184290030213
traditional_empirical_template,49,1023,0.18920934788014554,0.3010656095082059,27.13426853707415,23.96793587174349,22.695390781563127
traditional_empirical_template,50,1058,0.21698332150433566,0.3282399869661204,31.204238921001927,29.046242774566473,25.86705202312139
traditional_empirical_template,51,882,0.15934608850800494,0.26103915811028255,28.611764705882354,26.04705882352941,23.31764705882353
traditional_empirical_template,52,699,0.18094564059006585,0.3081812936385318,25.08100147275405,22.81296023564065,20.176730486008836
traditional_empirical_template,53,1037,0.2515170403801973,0.3996032740973117,33.29388560157791,31.08481262327416,27.3767258382643
traditional_empirical_template,54,1014,0.2136949136274956,0.3714960746938745,31.419939577039276,28.721047331319234,26.253776435045317
traditional_empirical_template,55,925,0.18778680039897291,0.28124139473528204,29.488888888888887,27.822222222222223,23.855555555555554
traditional_empirical_template,56,1120,0.17687615526885614,0.30260637133476176,30.78826764436297,27.800183318056828,25.54537121906508
traditional_empirical_template,57,1047,0.20112866123953962,0.3308060061095749,28.863858961802155,25.74926542605289,24.26052889324192
traditional_empirical_template,58,1040,0.15634419282240222,0.32123088021942314,29.667318982387474,27.240704500978474,24.227005870841488
traditional_empirical_template,59,1265,0.10222666366993712,0.149915143885371,21.307448494453247,17.01267828843106,17.020602218700475
traditional_empirical_template,60,1321,0.13933309096372787,0.18042026193610214,24.584920030464584,22.482863670982482,20.144706778370146
traditional_empirical_template,61,1289,0.1104634132177732,0.1622538580980552,23.605015673981192,20.90909090909091,19.07523510971787
traditional_empirical_template,62,1291,0.09109894467440201,0.15527175905183985,22.170179547228727,19.016393442622952,17.71272443403591
traditional_empirical_template,63,1203,0.10305773581665637,0.12568052212453418,21.53523489932886,16.854026845637584,17.156040268456376
traditional_empirical_template,65,1024,0.14649464009539082,0.22016349719497838,26.913214990138066,23.007889546351084,21.666666666666668
