ingredient,raw_hrd_constraint,evidence,traditional_or_ml_role,needed_for_per_event_proton_energy,status
HRD raw pulse selection and B-stack penetration depth,yes,Raw ROOT gate reproduces S00 selected B-stave pulse records exactly; depth order is B2/B4/B6/B8 hit depth.,Both methods can use even-readout charge/amplitude and penetration depth with run-held-out validation.,Keep as internal observable; not sufficient for absolute incident or stopping energy.,available from raw HRD
Even-vs-odd duplicate readout closure,"yes, internally","S14b nominal held-out res68: traditional 0.021189, ML 0.025008; run-block CIs are [0.019759173376975067, 0.022616709286844058] and [0.022795672304338082, 0.02847725106827667].",Defines the strongest raw-only closure target; leakage checks exclude odd readout from features.,"Useful quality gate, but duplicate readout is not external truth.",available from raw HRD
External charge-proxy uncertainty from downstream stack,partial,"S14b propagated P04b charge term gives combined nominal res68 0.246237 traditional and 0.188507 ML, both above 0.10.",Stress-tests whether charge closure survives an externalized HRD proxy.,Must be replaced or anchored by calibrated light-yield/energy-deposit response.,insufficient for per-event claim
Material budget before and inside the HRD stack,no,"Prior S14d material scan changes the raw-only proxy envelope; traditional res68 span 0.017251773416181122 to 0.02877029809629374, ML span 0.02079760407409461 to 0.03222012616130544.","Geometry/material variants can be propagated, not learned absolutely from HRD pulses.","Surveyed thicknesses, dead layers, support material, target-to-stack path length, and uncertainties.",requires external detector survey or validated model
Stave geometry and stopping-depth convention,partial,"Raw data identify which stave fired last, but not the absolute front-face, center, active thickness, or inactive gap convention.",Sets PSTAR depth anchors and therefore the energy scale of both methods.,Coordinate convention tied to physical stave positions and active volumes.,requires external geometry definition
PSTAR/range-energy table applicability,no,S14b uses a configured plastic-scintillator PSTAR table only as a monotonic depth-order lookup.,Maps depth anchors to nominal proton CSDA energies; ML inherits this target.,Material-specific stopping powers and validation for the actual scintillator/support mixture.,requires external reference and uncertainty
Birks/quenching and nonlinear scintillator response,no,"No Birks constant, quenching curve, or ADC-to-light-yield calibration is present in the raw HRD ROOT.",Unmodeled response can make charge ranks look good while absolute energy is biased.,Bench calibration or validated Birks/quenching model with uncertainty propagation.,missing external calibration
Particle identity / proton truth,no,"The run condition is 190 MeV p on CD2, but HRD-only selected pulses do not label event-level proton, deuteron, fragment, or background species.",Neither method can convert a raw closure target into proton-only truth labels.,"Independent PID, beamline tag, or validated stopping-depth truth sample.",missing external truth
Stopping-depth validation,no,"Depth-order violation is zero by construction for the raw proxy, but no external range telescope or MC truth validates true stopping depth.",A leakage-free model may still predict the proxy rather than physical stopping depth.,External range/stopping validation or simulation validated against calibration data.,missing external validation
Leakage controls,yes,"S14b reports no train/held-out run overlap, no event-key overlap, feature exclusion of run/event/odd readout, and shuffled-target ML res68 0.319485.",Required because raw-only closure is strong enough to make leakage plausible.,"Keep these controls, then repeat them against external truth/calibration targets.","available, but target remains proxy-only"
