method,n,res68_abs_frac,res68_ci95,combined_energy_proxy_res68,combined_energy_proxy_res68_ci95
traditional_depth_charge_lookup,332852,0.0211892254,"[0.019759173376975067, 0.022616709286844058]",0.2462373359,"[0.22370987434311201, 0.2516689108488624]"
ml_monotonic_hgb,332852,0.0250078102,"[0.022795672304338082, 0.02847725106827667]",0.1885071235,"[0.1656324364654218, 0.1980872051573958]"
