block,threshold_MeV,stave,hit_events,edep_sum_MeV,edep_mean_MeV
0,0.0,B2,2279,64183.92810401498,28.1631979394537
0,0.0,B4,1236,27445.288279182983,22.204925792219242
0,0.0,B6,841,16350.032993272805,19.441180729218555
0,0.0,B8,612,15617.533846282142,25.518846154055787
1,0.0,B2,2386,66885.41746828487,28.032446549993658
1,0.0,B4,1305,29201.53291084957,22.37665357153224
1,0.0,B6,880,17340.88159689681,19.705547269200913
1,0.0,B8,618,15939.242331689107,25.791654258396616
0,1.0,B2,2276,64183.92810401498,28.199480751585284
0,1.0,B4,1219,27445.288279182983,22.508471330842493
0,1.0,B6,831,16350.032993272805,19.67128221887577
0,1.0,B8,603,15617.533846282142,25.8944131500072
1,1.0,B2,2379,66885.41746828487,28.11333628975811
1,1.0,B4,1290,29201.53291084957,22.633227497870067
1,1.0,B6,867,17340.88159689681,19.996730384800706
1,1.0,B8,611,15939.242331689107,26.082438327066455
0,2.0,B2,2272,64183.92810401498,28.24671390751024
0,2.0,B4,1217,27445.288279182983,22.542887049643173
0,2.0,B6,826,16350.032993272805,19.78203343575767
0,2.0,B8,600,15617.533846282142,26.01711810959826
1,2.0,B2,2375,66885.41746828487,28.1578242333245
1,2.0,B4,1285,29201.53291084957,22.716448778081624
1,2.0,B6,866,17340.88159689681,20.01865171755238
1,2.0,B8,610,15939.242331689107,26.12319768364747
0,5.0,B2,2262,64183.92810401498,28.355643189972966
0,5.0,B4,1208,27445.288279182983,22.68832397763011
0,5.0,B6,822,16350.032993272805,19.86015323373079
0,5.0,B8,594,15617.533846282142,26.244258819113984
1,5.0,B2,2366,66885.41746828487,28.252121247081263
1,5.0,B4,1283,29201.53291084957,22.745299334126052
1,5.0,B6,861,17340.88159689681,20.118015614964648
1,5.0,B8,606,15939.242331689107,26.266537790814866
0,10.0,B2,2245,64183.92810401498,28.50194183675454
0,10.0,B4,1196,27445.288279182983,22.84411443577573
0,10.0,B6,818,16350.032993272805,19.91799227959998
0,10.0,B8,580,15617.533846282142,26.688118602720007
1,10.0,B2,2343,66885.41746828487,28.445657717756415
1,10.0,B4,1272,29201.53291084957,22.87769841484443
1,10.0,B6,850,17340.88159689681,20.27704332226788
1,10.0,B8,589,15939.242331689107,26.7835224129678
0,15.0,B2,1313,64183.92810401498,40.15830162864786
0,15.0,B4,637,27445.288279182983,31.20046017029679
0,15.0,B6,629,16350.032993272805,21.66999283064101
0,15.0,B8,552,15617.533846282142,27.40622341182933
1,15.0,B2,1384,66885.41746828487,39.771276080091695
1,15.0,B4,682,29201.53291084957,31.216477711692832
1,15.0,B6,649,17340.88159689681,22.197420419799386
1,15.0,B8,565,15939.242331689107,27.380603743195138
0,20.0,B2,1304,64183.92810401498,40.311686222956844
0,20.0,B4,326,27445.288279182983,45.85924504214481
0,20.0,B6,361,16350.032993272805,24.43214174951924
0,20.0,B8,346,15617.533846282142,32.79197479103674
1,20.0,B2,1369,66885.41746828487,40.02035609772845
1,20.0,B4,358,29201.53291084957,45.06777995261057
1,20.0,B6,399,17340.88159689681,24.841782773452266
1,20.0,B8,346,15939.242331689107,33.14706487344499
0,25.0,B2,974,64183.92810401498,46.15407971168523
0,25.0,B4,315,27445.288279182983,46.66581956837445
0,25.0,B6,91,16350.032993272805,31.34318407185715
0,25.0,B8,282,15617.533846282142,35.2715459441385
1,25.0,B2,1000,66885.41746828487,46.31523863737045
1,25.0,B4,351,29201.53291084957,45.51353504258623
1,25.0,B6,103,17340.88159689681,32.630562816966254
1,25.0,B8,289,15939.242331689107,35.32458237603727
0,30.0,B2,959,64183.92810401498,46.43794645139914
0,30.0,B4,306,27445.288279182983,47.242792065300186
0,30.0,B6,23,16350.032993272805,45.96389045285974
0,30.0,B8,207,15617.533846282142,37.971122176870765
1,30.0,B2,984,66885.41746828487,46.632156960420396
1,30.0,B4,350,29201.53291084957,45.56541314825836
1,30.0,B6,31,17340.88159689681,47.0605037789215
1,30.0,B8,214,15939.242331689107,38.03655777579887
0,40.0,B2,606,64183.92810401498,52.58962192367249
0,40.0,B4,211,27445.288279182983,51.90709795580494
0,40.0,B6,13,16350.032993272805,55.335083475258
0,40.0,B8,67,15617.533846282142,44.64050115381011
1,40.0,B2,628,66885.41746828487,52.84909634079605
1,40.0,B4,226,29201.53291084957,50.365161846375265
1,40.0,B6,21,17340.88159689681,52.87505162646609
1,40.0,B8,80,15939.242331689107,44.71834292004921
0,50.0,B2,348,64183.92810401498,58.694667354161425
0,50.0,B4,100,27445.288279182983,59.821552680219035
0,50.0,B6,7,16350.032993272805,62.92179218521827
0,50.0,B8,3,15617.533846282142,54.41490599107053
1,50.0,B2,354,66885.41746828487,59.48491868735183
1,50.0,B4,91,29201.53291084957,59.377149356256716
1,50.0,B6,7,17340.88159689681,72.53225865230455
1,50.0,B8,3,15939.242331689107,52.8200205080274
2,0.0,B2,2285,64569.05350460939,28.25779146810039
2,0.0,B4,1264,27896.64477362553,22.070130358880956
2,0.0,B6,863,16753.535787770597,19.41313532766002
2,0.0,B8,595,15884.93824185295,26.697375196391512
3,0.0,B2,2402,66691.14111442755,27.7648380992621
3,0.0,B4,1339,30169.57361182809,22.531421666787224
3,0.0,B6,899,17495.05609199994,19.460574073414843
3,0.0,B8,642,16016.526318986509,24.94786030994783
2,1.0,B2,2280,64569.05350460939,28.318656368620914
2,1.0,B4,1251,27896.64477362553,22.29587136075018
2,1.0,B6,852,16753.535787770597,19.65793991783997
2,1.0,B8,586,15884.93824185295,27.10157419854188
3,1.0,B2,2396,66691.14111442755,27.833341687691934
3,1.0,B4,1329,30169.57361182809,22.698784565360846
3,1.0,B6,890,17495.05609199994,19.654997703556997
3,1.0,B8,633,16016.526318986509,25.296234496768403
2,2.0,B2,2277,64569.05350460939,28.353757376302088
2,2.0,B4,1250,27896.64477362553,22.312891460956003
2,2.0,B6,851,16753.535787770597,19.678777760172377
2,2.0,B8,583,15884.93824185295,27.232893304105055
3,2.0,B2,2392,66691.14111442755,27.877651735274874
3,2.0,B4,1325,30169.57361182809,22.762124653527238
3,2.0,B6,888,17495.05609199994,19.69510394971686
3,2.0,B8,626,16016.526318986509,25.56196224033273
2,5.0,B2,2268,64569.05350460939,28.450914635445173
2,5.0,B4,1241,27896.64477362553,22.449909694501365
2,5.0,B6,847,16753.535787770597,19.758550092910813
2,5.0,B8,578,15884.93824185295,27.44064754815287
3,5.0,B2,2385,66691.14111442755,27.949114001175822
3,5.0,B4,1320,30169.57361182809,22.837102952220928
3,5.0,B6,881,17495.05609199994,19.825956517180792
3,5.0,B8,618,16016.526318986509,25.849027324688016
2,10.0,B2,2245,64569.05350460939,28.651148162687328
2,10.0,B4,1229,27896.64477362553,22.601464437545577
2,10.0,B6,842,16753.535787770597,19.829210072645616
2,10.0,B8,557,15884.93824185295,28.19487052632044
3,10.0,B2,2360,66691.14111442755,28.1522821302696
3,10.0,B4,1306,30169.57361182809,23.003020683056395
3,10.0,B6,871,17495.05609199994,19.961126986320064
3,10.0,B8,601,16016.526318986509,26.356012451393738
2,15.0,B2,1290,64569.05350460939,40.88099332636352
2,15.0,B4,640,27896.64477362553,31.114197750302644
2,15.0,B6,655,16753.535787770597,21.48409882740902
2,15.0,B8,540,15884.93824185295,28.693188490871783
3,15.0,B2,1367,66691.14111442755,39.799139063764144
3,15.0,B4,698,30169.57361182809,31.49993379786737
3,15.0,B6,646,17495.05609199994,22.01591267406051
3,15.0,B8,570,16016.526318986509,27.08447717730773
2,20.0,B2,1279,64569.05350460939,41.083944004752695
2,20.0,B4,339,27896.64477362553,44.64993630819842
2,20.0,B6,363,16753.535787770597,24.293753115586462
2,20.0,B8,366,15884.93824185295,33.56541657703908
3,20.0,B2,1354,66691.14111442755,40.01675160224774
3,20.0,B4,382,30169.57361182809,44.39761678526756
3,20.0,B6,393,17495.05609199994,24.599163356250738
3,20.0,B8,335,16016.526318986509,33.22136558487634
2,25.0,B2,962,64569.05350460939,47.04736435721861
2,25.0,B4,325,27896.64477362553,45.6184963098597
2,25.0,B6,81,16753.535787770597,31.36732458836898
2,25.0,B8,295,15884.93824185295,36.273110045086064
3,25.0,B2,973,66691.14111442755,46.68374716141352
3,25.0,B4,374,30169.57361182809,44.883702274750775
3,25.0,B6,102,17495.05609199994,31.746489431871915
3,25.0,B8,273,16016.526318986509,35.77013102214877
2,30.0,B2,945,64569.05350460939,47.41602628254923
2,30.0,B4,313,27896.64477362553,46.302745935433265
2,30.0,B6,21,16753.535787770597,45.24197223550106
2,30.0,B8,236,15884.93824185295,38.34581645164881
3,30.0,B2,952,66691.14111442755,47.122423980090375
3,30.0,B4,364,30169.57361182809,45.363574526070146
3,30.0,B6,31,17495.05609199994,43.6070863933021
3,30.0,B8,200,16016.526318986509,38.642606408160056
