run,B2,B4,B6,B8,selected_events
31,26368,430,186,94,27078
32,26731,462,173,95,27461
33,47151,373,251,136,47911
34,32958,265,188,89,33500
35,10662,283,124,72,11141
36,9524,230,115,61,9930
37,21989,693,331,161,23174
39,12563,456,202,108,13329
40,12931,481,235,116,13763
41,14249,539,225,127,15140
42,16296,486,233,117,17132
44,1796,65,34,17,1912
45,21866,675,295,177,23013
46,667,6,2,2,677
47,5036,60,40,25,5161
48,12477,415,181,112,13185
49,13167,435,220,115,13937
50,33403,449,265,140,34257
51,13895,200,140,60,14295
52,6747,99,52,35,6933
53,30659,377,230,120,31386
54,28949,359,244,113,29665
55,16362,245,153,81,16841
56,37882,555,323,172,38932
57,12163,442,204,130,12939
58,15210,387,209,114,15920
59,9041,2361,1542,919,13863
60,5876,2011,1326,927,10140
61,6649,2074,1505,1059,11287
62,7484,2018,1481,929,11912
63,11976,1591,761,453,14781
64,10240,1061,531,271,12103
65,10966,588,245,105,11904
