block,threshold_MeV,events,selected_events,B2,B4,B6,B8
0,0.0,10000,2279,1039,396,232,612
1,0.0,10000,2388,1075,430,265,618
0,1.0,10000,2276,1054,390,229,603
1,1.0,10000,2381,1089,424,257,611
0,2.0,10000,2272,1053,392,227,600
1,2.0,10000,2377,1090,420,257,610
0,5.0,10000,2262,1053,386,229,594
1,5.0,10000,2368,1083,423,256,606
0,10.0,10000,2254,1057,378,239,580
1,10.0,10000,2354,1080,423,262,589
0,15.0,10000,2159,1008,350,249,552
1,15.0,10000,2262,1046,377,274,565
0,20.0,10000,1940,1006,324,264,346
1,20.0,10000,2037,1039,354,298,346
0,25.0,10000,1657,970,314,91,282
1,25.0,10000,1732,992,349,102,289
0,30.0,10000,1495,959,306,23,207
1,30.0,10000,1576,983,349,30,214
0,40.0,10000,897,606,211,13,67
1,40.0,10000,954,628,225,21,80
0,50.0,10000,458,348,100,7,3
1,50.0,10000,455,354,91,7,3
2,0.0,10000,2285,1012,407,271,595
3,0.0,10000,2403,1052,447,262,642
2,1.0,10000,2280,1025,401,268,586
3,1.0,10000,2397,1062,443,259,633
2,2.0,10000,2277,1024,401,269,583
3,2.0,10000,2393,1062,441,264,626
2,5.0,10000,2268,1026,394,270,578
3,5.0,10000,2385,1062,441,264,618
2,10.0,10000,2256,1026,387,286,557
3,10.0,10000,2369,1060,437,271,601
2,15.0,10000,2163,992,358,273,540
3,15.0,10000,2257,1007,400,280,570
2,20.0,10000,1954,986,333,269,366
3,20.0,10000,2015,999,377,304,335
2,25.0,10000,1650,950,324,81,295
3,25.0,10000,1706,959,372,102,273
2,30.0,10000,1513,943,313,21,236
3,30.0,10000,1541,948,362,31,200
2,40.0,10000,923,630,193,10,90
3,40.0,10000,942,635,212,14,81
2,50.0,10000,477,382,88,4,3
3,50.0,10000,467,364,92,7,4
4,0.0,10000,2386,1083,405,260,638
5,0.0,10000,2376,1060,430,270,616
4,1.0,10000,2381,1088,403,259,631
5,1.0,10000,2366,1070,426,260,610
4,2.0,10000,2379,1093,396,264,626
5,2.0,10000,2361,1070,421,264,606
4,5.0,10000,2367,1093,392,263,619
5,5.0,10000,2353,1075,414,262,602
4,10.0,10000,2347,1084,389,267,607
5,10.0,10000,2342,1074,415,261,592
4,15.0,10000,2250,1033,368,269,580
5,15.0,10000,2223,1017,375,266,565
4,20.0,10000,2012,1026,345,264,377
5,20.0,10000,1978,1015,343,289,331
4,25.0,10000,1738,983,339,110,306
5,25.0,10000,1669,973,335,89,272
4,30.0,10000,1565,970,331,35,229
5,30.0,10000,1525,966,330,30,199
4,40.0,10000,946,643,203,19,81
5,40.0,10000,959,646,217,18,78
4,50.0,10000,486,383,88,11,4
5,50.0,10000,491,374,104,12,1
6,0.0,10000,2363,1100,436,261,566
7,0.0,10000,2361,1045,447,270,599
6,1.0,10000,2357,1119,429,252,557
7,1.0,10000,2358,1050,451,269,588
6,2.0,10000,2351,1118,426,251,556
7,2.0,10000,2356,1056,448,267,585
6,5.0,10000,2340,1114,425,252,549
7,5.0,10000,2346,1058,440,273,575
6,10.0,10000,2323,1106,424,261,532
7,10.0,10000,2322,1046,441,275,560
6,15.0,10000,2243,1066,403,265,509
7,15.0,10000,2221,998,410,277,536
6,20.0,10000,2026,1061,374,283,308
7,20.0,10000,1986,992,387,273,334
6,25.0,10000,1755,1029,367,110,249
7,25.0,10000,1692,944,379,88,281
6,30.0,10000,1598,1019,359,40,180
7,30.0,10000,1539,936,370,28,205
6,40.0,10000,991,661,251,23,56
7,40.0,10000,947,616,246,13,72
6,50.0,10000,507,383,115,8,1
7,50.0,10000,477,348,121,7,1
8,0.0,10000,2376,1087,391,245,653
9,0.0,10000,2287,1040,409,265,573
8,1.0,10000,2373,1098,386,238,651
9,1.0,10000,2275,1042,410,259,564
8,2.0,10000,2372,1105,384,237,646
9,2.0,10000,2268,1038,411,257,562
8,5.0,10000,2365,1106,387,236,636
9,5.0,10000,2257,1038,411,254,554
8,10.0,10000,2354,1104,387,247,616
9,10.0,10000,2241,1041,397,270,533
8,15.0,10000,2267,1065,354,257,591
9,15.0,10000,2144,998,369,267,510
8,20.0,10000,2033,1060,325,276,372
9,20.0,10000,1924,994,339,286,305
8,25.0,10000,1730,1009,317,94,310
9,25.0,10000,1635,954,335,111,235
8,30.0,10000,1581,1000,314,32,235
9,30.0,10000,1472,937,327,26,182
8,40.0,10000,922,644,194,18,66
9,40.0,10000,900,611,206,15,68
8,50.0,10000,478,382,87,7,2
9,50.0,10000,453,348,94,7,4
10,0.0,10000,2342,1082,419,273,568
11,0.0,10000,2430,1046,457,280,647
10,1.0,10000,2338,1098,408,268,564
11,1.0,10000,2425,1055,452,280,638
10,2.0,10000,2337,1101,407,269,560
11,2.0,10000,2423,1059,450,281,633
10,5.0,10000,2326,1098,407,268,553
11,5.0,10000,2416,1058,448,283,627
10,10.0,10000,2309,1095,406,272,536
11,10.0,10000,2400,1053,447,292,608
10,15.0,10000,2187,1034,372,266,515
11,15.0,10000,2297,1006,423,288,580
10,20.0,10000,1938,1028,334,267,309
11,20.0,10000,2072,1005,392,303,372
10,25.0,10000,1697,996,331,102,268
11,25.0,10000,1745,954,384,104,303
10,30.0,10000,1546,985,324,28,209
11,30.0,10000,1595,945,373,35,242
10,40.0,10000,963,663,203,18,79
11,40.0,10000,970,627,243,24,76
10,50.0,10000,483,386,82,11,4
11,50.0,10000,484,368,103,9,4
12,0.0,10000,2346,1051,435,251,609
13,0.0,10000,2357,1001,415,275,666
12,1.0,10000,2341,1065,428,244,604
13,1.0,10000,2353,1017,404,270,662
12,2.0,10000,2338,1069,426,241,602
13,2.0,10000,2352,1022,400,270,660
12,5.0,10000,2334,1073,426,243,592
13,5.0,10000,2344,1023,399,270,652
12,10.0,10000,2317,1067,419,261,570
13,10.0,10000,2326,1016,406,274,630
12,15.0,10000,2211,1017,390,254,550
13,15.0,10000,2229,966,380,275,608
12,20.0,10000,2006,1012,370,277,347
13,20.0,10000,1965,969,341,274,381
12,25.0,10000,1720,982,361,102,275
13,25.0,10000,1676,918,337,96,325
12,30.0,10000,1560,973,350,27,210
13,30.0,10000,1518,908,328,25,257
12,40.0,10000,961,643,234,12,72
13,40.0,10000,921,610,206,19,86
12,50.0,10000,458,347,105,4,2
13,50.0,10000,440,344,82,11,3
14,0.0,10000,2348,1041,435,249,623
15,0.0,10000,2391,1097,436,263,595
14,1.0,10000,2339,1046,433,242,618
15,1.0,10000,2386,1106,433,258,589
14,2.0,10000,2336,1047,434,243,612
15,2.0,10000,2386,1109,434,256,587
14,5.0,10000,2328,1048,429,245,606
15,5.0,10000,2383,1114,433,255,581
14,10.0,10000,2314,1049,423,257,585
15,10.0,10000,2365,1109,429,266,561
14,15.0,10000,2225,1012,391,263,559
15,15.0,10000,2266,1058,405,273,530
14,20.0,10000,1990,1009,357,280,344
15,20.0,10000,2039,1054,378,283,324
14,25.0,10000,1675,963,348,86,278
15,25.0,10000,1741,1005,371,90,275
14,30.0,10000,1527,945,343,28,211
15,30.0,10000,1595,992,366,30,207
14,40.0,10000,928,617,236,13,62
15,40.0,10000,992,656,234,17,85
14,50.0,10000,473,367,99,5,2
15,50.0,10000,504,394,98,10,2
16,0.0,10000,2467,1113,428,294,632
17,0.0,10000,2390,1097,426,281,586
16,1.0,10000,2464,1124,424,289,627
