heldout_run,model,n_train,n_test,auc
44,downstream_base,18000,1912,0.8668977037093926
44,charge_base,20993,1912,
44,downstream_taxon,18000,1912,0.8762383841486829
44,charge_taxon,20993,1912,
45,downstream_base,18000,23013,0.8853554873462048
45,charge_base,20993,23013,
45,downstream_taxon,18000,23013,0.8904108889916875
45,charge_taxon,20993,23013,
46,downstream_base,18000,677,0.7458770614692654
46,charge_base,22000,677,
46,downstream_taxon,18000,677,0.752023988005997
46,charge_taxon,22000,677,
47,downstream_base,18000,5161,0.8765941223193011
47,charge_base,20993,5161,
47,downstream_taxon,18000,5161,0.8798617950754568
47,charge_taxon,20993,5161,
48,downstream_base,18000,13185,0.8937845635970185
48,charge_base,20993,13185,
48,downstream_taxon,18000,13185,0.8997895110053346
48,charge_taxon,20993,13185,
49,downstream_base,18000,13937,0.8849454411313604
49,charge_base,20993,13937,
49,downstream_taxon,18000,13937,0.8921830353135891
49,charge_taxon,20993,13937,
50,downstream_base,18000,34257,0.8710500907903419
50,charge_base,20993,34257,
50,downstream_taxon,18000,34257,0.8768717992977815
50,charge_taxon,20993,34257,
51,downstream_base,18000,14295,0.9009992803166607
51,charge_base,20993,14295,
51,downstream_taxon,18000,14295,0.9020465994962217
51,charge_taxon,20993,14295,
52,downstream_base,18000,6933,0.9042784447408725
52,charge_base,20993,6933,
52,downstream_taxon,18000,6933,0.9110221826984832
52,charge_taxon,20993,6933,
53,downstream_base,18000,31386,0.8815912787478611
53,charge_base,20993,31386,
53,downstream_taxon,18000,31386,0.894829412753583
53,charge_taxon,20993,31386,
54,downstream_base,18000,29665,0.8882954631637879
54,charge_base,20993,29665,
54,downstream_taxon,18000,29665,0.8961938168665332
54,charge_taxon,20993,29665,
55,downstream_base,18000,16841,0.8933843859913712
55,charge_base,20993,16841,
55,downstream_taxon,18000,16841,0.9004961850859176
55,charge_taxon,20993,16841,
56,downstream_base,18000,38932,0.8840800380127765
56,charge_base,20993,38932,
56,downstream_taxon,18000,38932,0.8887180744215747
56,charge_taxon,20993,38932,
57,downstream_base,18000,12939,0.895364808431181
57,charge_base,20993,12939,
57,downstream_taxon,18000,12939,0.9010721844431016
57,charge_taxon,20993,12939,
