strata_definition,metric,value,ci_low,ci_high,n_strata,bootstrap_unit,n_bootstrap
uncorrected,downstream_high_minus_low,0.006762658473460766,0.005269018638224224,0.008816253009343463,9,run_within_current_group,400
uncorrected,integral_charge_median_log_shift,0.030170483153793753,0.009747877339708208,0.037451424595804216,9,run_within_current_group,400
uncorrected,template_charge_median_log_shift,0.034639997561126394,0.01012787299433459,0.04461367153943245,9,run_within_current_group,400
uncorrected,p04_duplicate_charge_median_log_shift,0.047643517262430234,0.023481989700905852,0.05686619156705904,9,run_within_current_group,400
uncorrected,uncorrected_charge_median_log_shift,0.047643517262430234,0.02178795211623199,0.05631772388359019,9,run_within_current_group,400
p07_corrected,downstream_high_minus_low,0.006762537116158371,0.005537835380342402,0.008727975865733139,9,run_within_current_group,400
p07_corrected,integral_charge_median_log_shift,0.030170483153793753,0.005857426519345678,0.037823846994700386,9,run_within_current_group,400
p07_corrected,template_charge_median_log_shift,0.03463842803296372,0.01384752653298622,0.04318728664112532,9,run_within_current_group,400
p07_corrected,p04_duplicate_charge_median_log_shift,0.047643517262430234,0.02238057719987102,0.059016497581283835,9,run_within_current_group,400
p07_corrected,p07_corrected_charge_median_log_shift,0.047611200196448,0.02040821346383229,0.05799681829001896,9,run_within_current_group,400
uncorrected_plus_p09a_taxon,downstream_high_minus_low,0.004122451926345003,0.002266480534983334,0.006889445336103795,11,run_within_current_group,400
uncorrected_plus_p09a_taxon,integral_charge_median_log_shift,0.03363315210108103,0.01208331888742474,0.03994541519467343,11,run_within_current_group,400
uncorrected_plus_p09a_taxon,template_charge_median_log_shift,0.02911196831768051,0.004959084783346458,0.03830581254526938,11,run_within_current_group,400
uncorrected_plus_p09a_taxon,p04_duplicate_charge_median_log_shift,0.04811280451520242,0.02376161851280879,0.06042224677797907,11,run_within_current_group,400
uncorrected_plus_p09a_taxon,uncorrected_plus_p09a_taxon_charge_median_log_shift,0.04811280451520242,0.02399611279352226,0.06150762695696681,11,run_within_current_group,400
p07_corrected_plus_p09a_taxon,downstream_high_minus_low,0.004122373214408075,0.0020529061419940656,0.006493000523936144,11,run_within_current_group,400
p07_corrected_plus_p09a_taxon,integral_charge_median_log_shift,0.03363315210108103,0.012738094260627738,0.041230185454075745,11,run_within_current_group,400
p07_corrected_plus_p09a_taxon,template_charge_median_log_shift,0.029111748326609205,0.008223898241928521,0.03888014378476342,11,run_within_current_group,400
p07_corrected_plus_p09a_taxon,p04_duplicate_charge_median_log_shift,0.04811280451520242,0.025754346151060946,0.0634992114149978,11,run_within_current_group,400
p07_corrected_plus_p09a_taxon,p07_corrected_plus_p09a_taxon_charge_median_log_shift,0.0480778006993209,0.023256472058312622,0.061480198892639656,11,run_within_current_group,400
