group,taxon,n,group_rate,downstream_rate,median_log_p04_charge
high_20nA,baseline_excursion,1745,0.007353715838934659,0.026934097421203437,7.820247734769121
high_20nA,dropout,264,0.0011125392444004299,0.003787878787878788,7.810031636306871
high_20nA,novel_broad_template_mismatch,882,0.003716892475610527,0.481859410430839,10.998199293468659
high_20nA,novel_delayed_peak,1427,0.006013611749088687,0.5143658023826209,9.707012822317921
high_20nA,novel_early_pretrigger,4790,0.020185844623780525,0.04801670146137787,6.96268020609989
high_20nA,pileup_or_long_tail,269,0.0011336100634231653,0.6096654275092936,9.736828122520052
high_20nA,saturation,13,5.478412945911207e-05,0.07692307692307693,11.19967822101162
high_20nA,unassigned_common,227905,0.9604290018753029,0.02776156731971655,10.733469438569495
low_2nA,baseline_excursion,39,0.006680369989722507,0.02564102564102564,7.631285200402925
low_2nA,dropout,6,0.0010277492291880781,0.0,7.782352789972616
low_2nA,novel_broad_template_mismatch,3,0.0005138746145940391,0.3333333333333333,10.976056078715326
low_2nA,novel_delayed_peak,14,0.002398081534772182,0.5714285714285714,9.335873764012605
low_2nA,novel_early_pretrigger,112,0.019184652278177457,0.026785714285714284,6.9725504629572495
low_2nA,pileup_or_long_tail,5,0.0008564576909900651,0.4,10.050106362320609
low_2nA,unassigned_common,5659,0.9693388146625557,0.021205159922247748,10.466179763169793
