run,clean_sideband,real_high_current,real_per_clean
58,9,0,0.0
59,93,5,0.053763440860215055
60,129,6,0.046511627906976744
61,176,8,0.045454545454545456
62,111,1,0.009009009009009009
63,57,2,0.03508771929824561
65,4,0,0.0
