method,delay_samples,scale_bin,n,n_injected,roc_auc,average_precision,fixed_95_clean_rejection,real_minus_shuffled_auc,frontier_pass,fit_delay_bias_samples,fit_delay_rms_samples,fit_failure_rate
1D-CNN,2,high,60,30,0.7322222222222223,0.6883824235952319,0.1,0.2577777777777779,False,1.6363636363636365,2.467976720090587,0.2666666666666667
1D-CNN,2,low,82,41,0.6103509815585961,0.613427947979577,0.1463414634146341,0.1148126115407496,False,2.230769230769231,2.8419928002940256,0.3658536585365853
1D-CNN,2,mid,76,38,0.6966759002770083,0.7185652871184394,0.1842105263157894,0.2333795013850415,False,1.3125,2.091650066335189,0.1578947368421053
1D-CNN,3,high,92,46,0.7878071833648393,0.7845698866748688,0.3043478260869565,0.3256143667296787,False,0.3157894736842105,1.3377121081198773,0.1739130434782608
1D-CNN,3,low,94,47,0.6419194205522861,0.6601164806342569,0.1489361702127659,0.143503847894975,False,1.3142857142857145,2.138089935299395,0.2553191489361702
1D-CNN,3,mid,90,45,0.7333333333333334,0.7541397015723497,0.3111111111111111,0.2167901234567901,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
1D-CNN,4,high,74,37,0.8407596785975165,0.8415543196718984,0.3783783783783784,0.4240321402483565,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
1D-CNN,4,low,68,34,0.7240484429065743,0.775838557001183,0.3235294117647059,0.1929065743944635,False,-0.1071428571428571,1.3228756555322954,0.1764705882352941
1D-CNN,4,mid,66,33,0.7557392102846647,0.7566948117227179,0.2727272727272727,0.2846648301193755,False,0.1739130434782608,1.285369173834303,0.303030303030303
1D-CNN,5,high,82,41,0.8340273646638905,0.8320848062972934,0.5609756097560976,0.3640690065437239,False,0.032258064516129,0.7405316311773545,0.2439024390243902
1D-CNN,5,low,78,39,0.6587771203155818,0.718913808320077,0.2564102564102564,0.1071663379355686,False,-0.4583333333333333,1.513825177048746,0.3846153846153846
1D-CNN,5,mid,72,36,0.7399691358024691,0.7624040102656211,0.3333333333333333,0.2654320987654321,False,-0.3548387096774194,1.2572371141874243,0.1388888888888888
