method,run,n,sigma68_ns,mae_ns,bias_ns
gradient_boosted_trees,56,1593,0.21219301229796514,0.32315564964811827,0.01418144947165555
gradient_boosted_trees,57,1543,0.4054696893427623,0.6175525915589516,0.07554467601556691
gradient_boosted_trees,63,1590,0.5135949055044036,0.7040610822855946,-0.060037631300105816
gradient_boosted_trees,65,1593,0.44200878392147314,0.5610765808905677,-0.07356764621091122
mask_aware_transformer_new,56,1593,0.450249230647744,0.5315981703331901,-0.003972436544576292
mask_aware_transformer_new,57,1543,0.6201934003713361,0.7665584810020465,-0.16540154427250137
mask_aware_transformer_new,63,1590,0.7612356012698347,0.968159723834437,-0.393767902882491
mask_aware_transformer_new,65,1593,0.6786853323202684,0.8269858360612565,-0.3615199210294737
mlp,56,1593,0.5824745352417667,0.6188516877083942,-0.008426604467961805
mlp,57,1543,0.7558718988516203,0.8375853174924087,-0.08723634053399519
mlp,63,1590,0.8585623377306096,1.0301166881131254,-0.04093465322358251
mlp,65,1593,0.7856804007364936,0.8729167674241719,-0.052840072138803984
no_recovery_corrupted_cfd,56,1593,0.0,1.4510647626169586,1.210079518107014
no_recovery_corrupted_cfd,57,1543,0.0,1.5556160270393595,1.1392267661323574
no_recovery_corrupted_cfd,63,1590,0.0,1.5330100051633353,1.2891296052324817
no_recovery_corrupted_cfd,65,1593,0.0,1.477198852438594,1.2380310642010417
one_dimensional_cnn,56,1593,1.2170067964756899,1.3737447051551541,0.691179412736366
one_dimensional_cnn,57,1543,1.7861576361746865,1.8265148189510683,0.5104940230324646
one_dimensional_cnn,63,1590,2.1036368955977824,2.0746882013714987,-0.08972430098871213
one_dimensional_cnn,65,1593,1.9406489448208961,1.8746193098481747,-0.04802274766985965
ridge,56,1593,3.0685708823832134,2.698709860533823,0.4492723540492816
ridge,57,1543,3.811340112224649,3.932910158619949,-0.2474617048815903
ridge,63,1590,4.309150498130523,4.182856829283566,0.2491416989168561
ridge,65,1593,4.0646380098346615,3.956161601300579,-0.13400197586019372
traditional_rule_interpolation_cfd,56,1593,0.0,1.4288622529083514,-1.1708674949920517
traditional_rule_interpolation_cfd,57,1543,0.0,1.4737026785526963,-1.198339273697918
traditional_rule_interpolation_cfd,63,1590,0.0,1.2305531479289622,-0.8892393593391973
traditional_rule_interpolation_cfd,65,1593,0.0,1.3605206774698446,-1.1651048664945007
