method,stratum,n,sigma68_ns,mae_ns
gradient_boosted_trees,leading_edge_destroyed=False,4157,0.2730990512269102,0.3546487671496704
gradient_boosted_trees,leading_edge_destroyed=True,2162,0.7748564475160302,0.9281442126810843
gradient_boosted_trees,corruption_type=dropout,4449,0.3852698264640646,0.5484631235575936
gradient_boosted_trees,corruption_type=jagged,1870,0.41683105703301976,0.5565830353743049
mask_aware_transformer_new,leading_edge_destroyed=False,4157,0.49769093199533104,0.576190102059131
mask_aware_transformer_new,leading_edge_destroyed=True,2162,1.0834801041765585,1.1522552104576589
mask_aware_transformer_new,corruption_type=dropout,4449,0.6491056724156463,0.7699845199180877
mask_aware_transformer_new,corruption_type=jagged,1870,0.6547436356072458,0.7811427220073232
mlp,leading_edge_destroyed=False,4157,0.6786760543163937,0.6862505830716554
mlp,leading_edge_destroyed=True,2162,0.8892719813180258,1.1350245856558565
mlp,corruption_type=dropout,4449,0.7141148562121468,0.8169831069241726
mlp,corruption_type=jagged,1870,0.8223983315715216,0.8940689761022401
no_recovery_corrupted_cfd,leading_edge_destroyed=False,4157,0.0,0.0670591349947165
no_recovery_corrupted_cfd,leading_edge_destroyed=True,2162,2.44106803518184,4.266309228742782
no_recovery_corrupted_cfd,corruption_type=dropout,4449,0.0,1.896940710685876
no_recovery_corrupted_cfd,corruption_type=jagged,1870,0.036541968742816226,0.5684685320178973
one_dimensional_cnn,leading_edge_destroyed=False,4157,1.6364040204274617,1.5688341042787521
one_dimensional_cnn,leading_edge_destroyed=True,2162,2.251738120055794,2.2063215125974613
one_dimensional_cnn,corruption_type=dropout,4449,1.7901865752723372,1.7484415726891749
one_dimensional_cnn,corruption_type=jagged,1870,1.8561299772107358,1.8785529009777249
ridge,leading_edge_destroyed=False,4157,3.6961734845383294,3.4371761513130124
ridge,leading_edge_destroyed=True,2162,4.008608431305677,4.177655740520565
ridge,corruption_type=dropout,4449,3.8997346174852483,3.6904732665279782
ridge,corruption_type=jagged,1870,3.7118024071621964,3.690651020978972
traditional_rule_interpolation_cfd,leading_edge_destroyed=False,4157,0.0,0.06198131989448195
traditional_rule_interpolation_cfd,leading_edge_destroyed=True,2162,4.0585351154341405,3.8928461607331015
traditional_rule_interpolation_cfd,corruption_type=dropout,4449,0.0,1.3578839581940647
traditional_rule_interpolation_cfd,corruption_type=jagged,1870,0.0,1.407895195882852
