run,group,events_total,selected_pulses,downstream_ge2_events,downstream_ge3_events
31,sample_i_calib,39990,27871,166,47
32,sample_i_calib,41921,28240,154,40
33,sample_i_calib,57173,48737,194,59
34,sample_i_calib,39765,34118,153,50
35,sample_i_calib,27786,11667,123,36
36,sample_i_calib,21764,10391,116,22
37,sample_i_calib,50513,24537,313,83
39,sample_i_calib,30321,14218,212,66
40,sample_i_calib,32613,14708,231,70
41,sample_i_calib,33997,16146,223,69
42,sample_i_calib,33972,18112,231,68
44,sample_i_analysis,4294,2038,31,7
45,sample_i_analysis,48181,24333,306,94
46,sample_i_analysis,1441,687,1,1
47,sample_i_analysis,10970,5276,26,9
48,sample_i_analysis,31713,14000,190,58
49,sample_i_analysis,32354,14815,210,56
50,sample_i_analysis,44804,35217,215,60
51,sample_i_analysis,20569,14740,106,34
52,sample_i_analysis,10005,7152,51,22
53,sample_i_analysis,39612,32200,189,59
54,sample_i_analysis,37413,30440,181,50
55,sample_i_analysis,24416,17387,129,44
56,sample_i_analysis,51823,40148,276,92
57,sample_i_analysis,31284,13833,219,64
58,sample_ii_analysis,34141,16781,207,73
59,sample_ii_analysis,42303,21377,2227,763
60,sample_ii_analysis,36074,17029,2084,808
61,sample_ii_analysis,36535,18965,2379,933
62,sample_ii_analysis,37584,19089,2219,807
63,sample_ii_analysis,37030,18817,1076,370
64,sample_ii_calib,35943,14630,650,210
65,sample_ii_analysis,38424,13038,266,66
