definition_id,method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,brier,brier_ci_low,brier_ci_high,tail_rejection_at_90pct_clean_eff,tail_rejection_ci_low,tail_rejection_ci_high,rf_feature_count,forbidden_timing_features_used,qtemplate_feature_or_gate_used
cfd15_ds2_strict_qnone_ambexclude,q_template_only,0.7627572001236438,0.741261674568462,0.7800019725679074,0.8542784326082521,0.7942499743975308,0.8800053581312322,0.1865870152500561,0.1742774621893057,0.20561384218302906,0.32502748259435693,0.2815898455147867,0.3751859401608192,,False,True
cfd15_ds2_strict_qnone_ambexclude,traditional_span_q,0.9466376124239789,0.9286732247568127,0.9546445196523483,0.9699158370116784,0.946026748699766,0.9800938779574127,0.04206512660596287,0.037267977227179235,0.04975718468361041,0.9824111396115793,0.9762861234583997,0.9887462954375921,,True,True
cfd15_ds2_strict_qnone_ambexclude,rf_shape,0.9851183448678936,0.981743437414872,0.9882456836143702,0.9911529954416394,0.9857780345908527,0.993115409789175,0.04595370054514943,0.04267808452470561,0.04923067488488329,0.9644558446317333,0.9556936573818264,0.9747368869802623,46.0,False,True
cfd15_ds2_strict_qnone_ambexclude,leaky_rf,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.0021267504669963576,0.0019332971353635347,0.002352913783565143,1.0,1.0,1.0,,True,True
cfd15_ds2_strict_qnone_ambexclude,shuffled_label_rf,0.4302531157176877,0.3954141627728449,0.4582301216143464,0.611445293375452,0.45416549527390665,0.7162558999915473,0.25109803933280606,0.24818734649280527,0.25679340453405686,0.04287284719677537,0.030753372836935664,0.058177290283693,46.0,False,True
cfd15_ds2_strict_qnone_ambas_violating,q_template_only,0.7282243937267738,0.7093531314355671,0.7440404448915743,0.6443616051067411,0.5884840338011422,0.6659112011117961,0.1756783084296958,0.1580752336030766,0.19426746849249332,0.2143762801131376,0.17987393573996074,0.2638477755502544,,False,True
cfd15_ds2_strict_qnone_ambas_violating,traditional_span_q,0.9661452910450105,0.9488728466118886,0.9758439606290364,0.8881672434473484,0.7900503560332423,0.9307130706470239,0.04900221308456823,0.03824345087156417,0.07027364031111795,0.9303618453135668,0.8974618539730045,0.9489950342716281,,True,True
cfd15_ds2_strict_qnone_ambas_violating,rf_shape,0.8903889027712575,0.8785054011865369,0.9020900453137606,0.8414094909723138,0.8168426132012996,0.853868036996075,0.1314100233655364,0.12177787179637771,0.13850971090668804,0.69872232517312,0.6576565227792063,0.7373221682283323,46.0,False,True
cfd15_ds2_strict_qnone_ambas_violating,leaky_rf,0.9999947036888883,0.9999898145143181,0.9999974029600265,0.9999894057203118,0.9999753410336925,0.99999504695934,0.008137593723978244,0.007021670937283464,0.009495606940289128,1.0,1.0,1.0,,True,True
cfd15_ds2_strict_qnone_ambas_violating,shuffled_label_rf,0.4126494800160144,0.38756521822311335,0.4351473480694105,0.2970457418622015,0.2374471208032779,0.345712977044441,0.25170884765136325,0.2508497377088311,0.2527481211427364,0.030722715302838193,0.024358476003329847,0.03948225822059125,46.0,False,True
