definition_id,fold,test_runs,train_n,test_n,test_clean,test_violating,qonly_selected_columns,traditional_selected_columns
cfd15_ds2_strict_qnone_ambexclude,1,"34,47,54,55,61",6279,1551,1169,382,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_strict_qnone_ambexclude,2,"32,35,42,58,59,65",6251,1579,1003,576,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_strict_qnone_ambexclude,3,"33,36,41,45,57,62",6243,1587,1034,553,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_strict_qnone_ambexclude,4,"39,44,48,51,53,56,60",6277,1553,1067,486,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_strict_qnone_ambexclude,5,"31,37,40,49,50,52,63,64",6270,1560,828,732,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_strict_qnone_ambas_violating,1,"32,33,35,57,61",12285,3069,1246,1823,q_downstream_mean,active_downstream_span_ns
cfd15_ds2_strict_qnone_ambas_violating,2,"34,40,44,47,48,50,59",12281,3073,923,2150,q_downstream_mean,active_downstream_span_ns
cfd15_ds2_strict_qnone_ambas_violating,3,"39,46,52,53,55,62,65",12287,3067,1017,2050,q_downstream_mean,active_downstream_span_ns
cfd15_ds2_strict_qnone_ambas_violating,4,"31,36,41,56,58,60",12282,3072,1062,2010,q_downstream_mean,active_downstream_span_ns
cfd15_ds2_strict_qnone_ambas_violating,5,"37,42,45,49,51,54,63,64",12281,3073,853,2220,q_downstream_mean,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambexclude,1,"31,34,44,51,53,59",3067,769,302,467,q_all_max,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambexclude,2,"32,33,55,61,65",3071,765,489,276,q_all_max,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambexclude,3,"36,37,42,47,57,58,62",3066,770,376,394,q_all_max,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambexclude,4,"39,41,49,50,52,56,60",3073,763,370,393,q_all_max,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambexclude,5,"35,40,45,48,54,63,64",3067,769,306,463,q_all_max,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambas_violating,1,"31,49,51,57,59",7010,1740,335,1405,q_all_max,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambas_violating,2,"32,48,50,52,53,62",7003,1747,324,1423,q_all_max,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambas_violating,3,"34,40,46,47,56,58,61",7010,1740,486,1254,q_all_max,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambas_violating,4,"39,41,44,45,55,60,65",7009,1741,406,1335,q_all_max,active_downstream_span_ns
cfd15_ds2_strict_qtight_ambas_violating,5,"33,35,36,37,42,54,63,64",6968,1782,292,1490,q_all_max,active_downstream_span_ns
cfd15_ds2_app_a_qnone_ambexclude,1,"49,54,55,61",7792,1947,1663,284,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qnone_ambexclude,2,"32,41,44,50,52,53,59",7796,1943,1361,582,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qnone_ambexclude,3,"34,36,39,57,62,65",7799,1940,1533,407,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qnone_ambexclude,4,"33,35,40,45,47,48,60",7785,1954,1566,388,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qnone_ambexclude,5,"31,37,42,51,56,58,63,64",7784,1955,1263,692,q_downstream_mean,active_downstream_span_ns+active_all_span_ns+active_b2_displacement_filled+q_downstream_max
cfd15_ds2_app_a_qnone_ambas_violating,1,"32,33,35,57,61",12285,3069,1720,1349,q_downstream_mean,active_downstream_span_ns
