species,sample,ke_setting_MeV,n,edep_raw_median,edep_raw_p16,edep_raw_p84,edep_vis_median,birks_ratio_median,dedx_median,path_mm_median,n_scint_median,arrival_median,pe_median,pe_p16,pe_p84,pe_per_MeV_median,adc_median,stopped_frac
deuteron,A,6.0,4000,5.988644180788419,5.9850363672988065,5.991153894449703,1.5919905159334342,0.26585458902207115,21.08603908992789,0.2839604939293241,15917.0,61.0,19.0,13.0,25.0,3.1702899990184807,1024.0,0.99975
deuteron,A,10.0,4000,9.992602850719454,9.989404361978107,9.994501640824156,3.362981940534838,0.33656401678520853,14.515226455888655,0.6883010333844647,33629.0,129.0,39.0,30.0,51.0,3.9041818085805025,2041.0,1.0
deuteron,A,16.0,4000,15.995130195286912,15.99253532908875,15.99656295957901,6.598439737168022,0.41255635048261996,10.13855415921321,1.5770147054548715,65990.0,254.0,77.0,60.0,99.0,4.813881198681411,3805.0,1.0
deuteron,A,24.0,4000,23.996669779531125,23.994475482347674,23.99778476310192,11.593378417730673,0.4831571512457761,7.375139672558345,3.2512055896026846,115918.0,445.0,135.0,106.0,173.0,5.625912511542509,3895.0,1.0
deuteron,A,32.0,4000,31.997482465393425,31.995603448371106,31.99835542437394,17.073385091638862,0.5336183997338779,5.864219526970182,5.451944059963161,170725.0,657.0,199.0,157.0,255.0,6.219494077694822,3895.0,1.0
deuteron,A,40.0,4000,39.99794618723111,39.996259152826916,39.99870937791077,22.892076833546,0.5723516166228354,4.898444363493379,8.155928109585997,228902.5,892.0,270.0,212.0,345.0,6.767097680525691,3895.0,1.0
deuteron,A,42.0,4000,41.99805722332471,41.99643247720418,41.998770838782114,24.396038229813595,0.5809236562959246,4.708314361516933,8.906196451975667,243941.5,953.0,288.0,224.0,369.0,6.881081080203002,3895.0,0.99975
deuteron,A,43.0,4000,42.998028734841064,42.995695042316505,42.99878573504944,25.148001463003602,0.5850788511866523,4.618121233098714,9.28608747803532,251453.0,983.5,299.0,232.0,381.0,7.00021611687875,3895.0,0.9495
deuteron,A,44.0,4000,43.99803057780272,43.99501131196188,43.99880350416436,25.898374324948136,0.5889338062494331,4.531615739047994,9.677768305387215,258946.0,1007.5,304.0,235.0,391.15999999999985,7.023141600733552,3895.0,0.925
deuteron,A,48.0,4000,47.99816053019315,47.99499665737889,47.99890888899728,28.962034217606835,0.6037047141274299,4.223556677690321,11.324203835774245,289587.0,1124.0,341.0,260.84000000000003,437.0,7.2085430012455465,3895.0,0.998
deuteron,A,56.0,4000,55.9983888905886,55.99428213950678,55.999072058294836,35.23136523054795,0.6291937925129728,3.732740614548794,14.964417876176318,352244.5,1371.0,414.0,318.0,533.0,7.482351795701864,3895.0,0.9995
deuteron,A,62.0,4000,61.998527024634384,61.99456476918085,61.9991592673999,40.02470952531074,0.6456323113977697,3.438089495979937,17.98498995715509,400168.5,1545.5,466.0,360.0,601.0,7.613077243220479,3895.0,0.9995
deuteron,A,75.0,4000,43.528852487776156,42.4510268420425,44.54361192766708,33.94140890517829,0.7804366908394796,2.1561486906721203,20.132314918409566,339425.5,1322.0,398.0,309.0,515.0,9.0967730606509,3895.0,0.093
deuteron,A,90.0,4000,33.47856030917367,32.72025475076145,34.269618524675465,27.606100697926248,0.8254201069591854,1.6568166770214192,20.131987148992838,276084.5,1080.5,328.0,256.0,426.0,9.632903270016598,3895.0,0.08225
deuteron,A,120.0,4000,24.50826676674931,23.782966507500195,25.207791755036933,21.289174872183118,0.8694701262511487,1.1913447334094565,20.132230837898682,212935.5,843.0,256.0,199.0,333.0,10.192396912632294,3895.0,0.06675
deuteron,A,160.0,4000,18.887026369750053,18.2639902430205,19.562643871006358,16.964055912259205,0.8985336475387349,0.9007590436056749,20.134165340380385,169624.0,674.0,204.0,160.0,267.0,10.549757302531269,3895.0,0.05375
deuteron,A,220.0,4000,14.483357372566424,13.960800093718975,15.05905004633306,13.331465127380444,0.9213233762200939,0.6789995826058113,20.133136929146296,133304.5,530.0,160.0,125.0,210.0,10.788445071575168,3895.0,0.04725
deuteron,B,6.0,1000,5.988658318811854,5.9851900888743215,5.991148945389643,1.592139538511116,0.2658538163827897,21.086673794246067,0.28397081119055756,15925.0,62.0,18.0,14.0,23.0,3.008032042935193,1015.0,1.0
deuteron,B,10.0,1000,9.99258690303224,9.989706674848092,9.99463610948016,3.3635703980950904,0.33663706937014415,14.50731022593979,0.6887093876887973,33648.0,131.0,39.0,33.0,46.0,3.9032991165701736,2023.0,1.0
deuteron,B,16.0,1000,15.995135721199906,15.992851385221803,15.99659835883754,6.596897288133354,0.4124359058223158,10.143312894095693,1.5763805667604562,65982.5,258.0,77.0,69.0,87.0,4.8154953595839025,3847.0,1.0
deuteron,B,24.0,1000,23.996638196564504,23.994718662131966,23.997798081343905,11.593316021897717,0.4831444678289969,7.375189012767139,3.252108153405406,115942.0,450.0,137.0,126.0,147.0,5.708862933292105,3895.0,1.0
deuteron,B,32.0,1000,31.9974876448387,31.995677649403135,31.998340443966793,17.075396554194633,0.5336745011382449,5.860329123818946,5.455566320378379,170771.5,668.0,201.0,187.0,216.0,6.312781525824082,3895.0,1.0
deuteron,B,40.0,1000,39.997968603092744,39.996398832842615,39.998721379438,22.88760814387522,0.5722650844262696,4.901966537048809,8.150369759410705,228853.0,894.0,270.0,253.0,286.0,6.755018485431668,3895.0,1.0
deuteron,B,42.0,1000,41.998061680435924,41.99649118828858,41.998788007702444,24.395518150374876,0.5809141878932919,4.70956129118671,8.90707920910851,243963.5,955.0,287.0,267.0,304.15999999999997,6.857473843379784,3895.0,1.0
deuteron,B,43.0,1000,42.99811389331365,42.99640554272164,42.998817979617854,25.155196425646054,0.5850609722521153,4.618617660068425,9.297580355083817,251555.0,985.0,296.0,277.0,313.0,6.884003398927796,3895.0,1.0
