method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
le500,2.0,train,10152,-1.3395001765084782,4.13038157712788,6.86472466002252,0.20695429472025217,217.61809113569228,1.1927188128171053
le500,2.0,heldout,1950,-1.6544667840939518,4.203160425381495,6.732491037648057,0.22512820512820514,215.13230504150226,1.3145203690445213
cfd10,2.0,train,10152,-2.695511147294283,3.2232436255239785,6.86286275249659,0.044424743892829,242.92938179725635,19.296402046551837
cfd10,2.0,heldout,1950,-2.8864376678850796,3.2865380784247136,6.962150709766261,0.04923076923076923,224.15132710497596,5.7266560891490474
cfd20,2.0,train,10152,-2.7718075555045942,3.118142135836923,6.210022427279175,0.056836091410559494,291.02758936853155,15.18647244038427
cfd20,2.0,heldout,1950,-3.0178337019190664,3.1488127486147515,6.28467460654097,0.06871794871794872,310.0039603110362,4.1153800721823695
cfd30,2.0,train,10152,-2.674030122266206,3.2270377142451894,6.30011102197839,0.08993301812450749,261.2140140162194,14.20865851042678
cfd30,2.0,heldout,1950,-2.9477097319618117,3.206600523560519,5.993870221784409,0.09794871794871794,231.5112266746103,4.247045796066827
cfd40,2.0,train,10152,-2.4308338899791977,3.383941499782848,6.384119695385581,0.11308116627265563,245.86841672126525,9.841151863072131
cfd40,2.0,heldout,1950,-2.6918820121852853,3.350635740392299,4.387101901438328,0.12,236.2047251140054,3.740646721517803
cfd50,2.0,train,10152,-2.1203742248166755,3.579637983499512,6.82293637826819,0.14401103230890466,155.25468271903264,6.555608096463535
cfd50,2.0,heldout,1950,-2.3970969129042885,3.54232748506671,4.353056595163892,0.13948717948717948,1.8557214099396468,2.504631898902188
template_phase,2.0,train,10152,-3.5628919150543084,2.781445957527147,3.3030650708912486,0.07042947202521671,1.3541828523708965,131.5574268428058
template_phase,2.0,heldout,1950,-3.8377977356605157,2.64399304722404,2.9797774120233926,0.047692307692307694,1.0319763146572773,39.96897767561077
of_1_9,2.0,train,10152,-3.2403944210473163,3.3934332623233496,3.837577961447212,0.15789992119779353,176.15386393397645,12.741360905930277
of_1_9,2.0,heldout,1950,-2.35349187925285,3.7666194151624874,3.533459296632334,0.1835897435897436,0.6720561617067158,5.904802548554814
of_2_10,2.0,train,10152,-3.372384435511819,3.4479897429891677,3.8890117110759994,0.16489361702127658,158.0975336499797,12.10053290266865
of_2_10,2.0,heldout,1950,-2.5331262719770926,4.074387630791533,3.7836853930997414,0.20717948717948717,0.635210927852398,6.0612191898548895
of_3_11,2.0,train,10152,-3.5309675371646563,3.446971503653972,3.9052932478943974,0.16548463356973994,6.245705939119052,11.144702293286887
of_3_11,2.0,heldout,1950,-3.6210167600711607,3.4869335221808866,3.4712507657976928,0.19743589743589743,1.243966474711222,6.269540778748702
of_4_12,2.0,train,10152,-3.566201466710705,3.3793264492283552,4.049830787330782,0.1659771473601261,155.82666998975597,8.732238329654644
of_4_12,2.0,heldout,1950,-3.7271887605885894,2.9687072045706993,3.450226790947237,0.14,7.6710655545562325,9.824290654555139
