model,alpha,fold,sigma68_ns,train_seconds,learning_rate,hidden,width,n_parameters
ridge,10.0,0,2.053145457757957,0.013152837753295898,,,,
ridge,10.0,1,1.3056101861843878,0.029896974563598633,,,,
ridge,10.0,2,1.4721817119365752,0.03670907020568848,,,,
ridge,10.0,-1,1.6103124519596401,,,,,
gradient_boosted_trees,,0,1.8973443891818647,0.5336861610412598,0.03,,,
gradient_boosted_trees,,1,1.463435368948441,0.5361044406890869,0.03,,,
gradient_boosted_trees,,2,1.3600495978130036,0.47058582305908203,0.03,,,
gradient_boosted_trees,,-1,1.5736097853144362,,0.03,,,
gradient_boosted_trees,,0,1.899626834507455,0.5231938362121582,0.08,,,
gradient_boosted_trees,,1,1.5491901751045618,0.5057969093322754,0.08,,,
gradient_boosted_trees,,2,1.4483067469239341,0.5421292781829834,0.08,,,
gradient_boosted_trees,,-1,1.6323745855119836,,0.08,,,
mlp,,0,2.070873258776022,1.1299829483032227,,32.0,,
mlp,,1,1.5667285381698695,6.00410532951355,,32.0,,
mlp,,2,1.4978062383190194,2.545799732208252,,32.0,,
mlp,,-1,1.711802678421637,,,32.0,,
mlp,,0,2.1146657700154226,1.5862493515014648,,64.0,,
mlp,,1,1.475429960770351,8.523607730865479,,64.0,,
mlp,,2,1.4941660796283722,0.9175798892974854,,64.0,,
mlp,,-1,1.6947539368047153,,,64.0,,
cnn,,0,1.9787797758445653,0.6759569644927979,,,8.0,361.0
cnn,,1,2.4149763993477675,0.6009466648101807,,,8.0,361.0
cnn,,2,2.273672764826349,0.47991037368774414,,,8.0,361.0
cnn,,-1,2.222476313339561,,,,8.0,
attention_quant,,0,2.230675147538681,2.7187581062316895,,,8.0,433.0
attention_quant,,1,2.010654905299372,2.7865028381347656,,,8.0,433.0
attention_quant,,2,2.205498925195689,2.1868834495544434,,,8.0,433.0
attention_quant,,-1,2.1489429926779144,,,,8.0,
