check,value,pass,detail
train_heldout_run_overlap,0,True,
feature_audit,0,True,"features are same-pulse waveform samples, ADC quantization residual summaries, amplitude/area/shape summaries, and stave one-hot only"
target_audit,0,True,"models predict residuals left by the training-selected traditional pickoff; no run id, event id, or other-stave time is included"
