model,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_traditional_template_phase_ns,delta_ci_low,delta_ci_high,cv_sigma68_ns,train_seconds,n_parameters,alpha,learning_rate,hidden,width
cnn,650,1950,0.6366058192119513,0.6188935052022881,0.6617106317148123,1.8753266950895722,-2.007387228012089,-2.0250995420217515,-1.9822824155092276,2.222476313339561,1.0354182720184326,361.0,,,,8.0
attention_quant,650,1950,0.914130933032981,0.9011833214998771,0.92985585807418,1.963242695841211,-1.7298621141910588,-1.742809725724161,-1.7141371891498598,2.1489429926779144,3.7496020793914795,433.0,,,,8.0
ridge,650,1950,1.1773406497539516,1.1519390208965812,1.2073387259974728,2.000702042868989,-1.4666523974700882,-1.4920540263274586,-1.436654321226567,1.6103124519596401,0.00782465934753418,32.0,10.0,,,
mlp,650,1950,1.38792549161897,1.3399629995785463,1.4520825506614856,2.0746729941863427,-1.2560675556050698,-1.3040300476454936,-1.1919104965625542,1.6947539368047153,2.3642308712005615,2112.0,,,64.0,
gradient_boosted_trees,650,1950,1.5392854545338173,1.4905201385991393,1.600854373430218,2.1947035994466746,-1.1047075926902226,-1.1534729086249005,-1.0431386737938217,1.5736097853144362,0.7191808223724365,140.0,,0.03,,
traditional_template_phase,650,1950,2.64399304722404,2.64399304722404,2.64399304722404,2.9797774120233926,0.0,0.0,0.0,,,,,,,
