run,model,n_pair_residuals,sigma68_ns,full_rms_ns
44,attention_quant,21,0.880185667024604,1.4064341052022955
44,cnn,21,0.6117804083690566,1.2688120278599277
44,gradient_boosted_trees,21,1.7617769148561684,3.518586405255109
44,mlp,21,1.2139389720096616,1.3118567987396939
44,ridge,21,1.2345128483192545,1.1268080085947807
44,traditional_template_phase,21,2.643993047224039,2.818221494021758
45,attention_quant,282,0.9108385584220802,1.727701266485778
45,cnn,282,0.6362854017266761,1.6040624831312955
45,gradient_boosted_trees,282,1.5140581413991014,2.0256396114652904
45,mlp,282,1.399599391512846,1.88549938635006
45,ridge,282,1.1834161296415047,1.6681050020550257
45,traditional_template_phase,282,2.64399304722404,2.8640790970825285
46,attention_quant,3,1.0609443110184469,1.44855594916809
46,cnn,3,0.942151140141292,1.2934914330309308
46,gradient_boosted_trees,3,0.17974622287743314,0.21651179296203854
46,mlp,3,0.3266158634467325,0.39759048055711615
46,ridge,3,0.2474171286864481,0.29759589835832634
46,traditional_template_phase,3,2.307915272112349,3.148173595677743
47,attention_quant,27,0.8441678652629796,0.8852416815705073
47,cnn,27,0.6038904366359632,0.8102222225854184
47,gradient_boosted_trees,27,1.5118246794922927,1.336299808908365
47,mlp,27,1.2123935555020968,1.255929048220609
47,ridge,27,1.2186809315815057,1.1060635474300093
47,traditional_template_phase,27,2.6439930472240363,2.3046233466146138
48,attention_quant,174,0.9143354437217592,1.145240718396128
48,cnn,174,0.6282107084328371,0.9760734829263487
48,gradient_boosted_trees,174,1.566567423474053,1.5332915230420656
48,mlp,174,1.3144935070419423,1.3929774778257402
48,ridge,174,1.1656374198859485,1.215974261845721
48,traditional_template_phase,174,2.64399304722404,2.5594148308068174
49,attention_quant,168,0.9369185027942573,1.6203501979576773
49,cnn,168,0.7758727629412882,1.5034510967876822
49,gradient_boosted_trees,168,1.5837183374907913,2.101267696217088
49,mlp,168,1.4217948638050968,1.7307500425161324
49,ridge,168,1.1726103710125027,1.5980269743267324
49,traditional_template_phase,168,2.643993047224037,2.8353724992177125
50,attention_quant,180,1.0197963347335792,1.3237588634353832
50,cnn,180,0.8440503821239445,1.197949247187925
50,gradient_boosted_trees,180,1.5426063687792504,1.640805437780931
50,mlp,180,1.4011232826662496,1.4187328776410015
50,ridge,180,1.2012840401077418,1.305083194101983
50,traditional_template_phase,180,2.643993047224041,2.6725778047578284
51,attention_quant,102,0.8929250678882508,4.4759724003185966
51,cnn,102,0.6624848462541875,4.378106749565989
51,gradient_boosted_trees,102,1.6672819189635835,3.9269479550919244
51,mlp,102,1.5921998189489108,4.310855485411055
51,ridge,102,1.1955125453947606,4.206982596178588
51,traditional_template_phase,102,2.64399304722404,5.185262318098453
52,attention_quant,66,0.8908226165637906,0.8815793972816935
52,cnn,66,0.5990404877529059,0.6805405441277104
52,gradient_boosted_trees,66,1.301874719231381,1.3295407607458976
52,mlp,66,1.161488672746669,1.086677798714329
52,ridge,66,1.00056375729028,1.023864684680509
52,traditional_template_phase,66,2.64399304722404,2.415049376917029
53,attention_quant,177,0.9031201729640875,2.0733323579770926
53,cnn,177,0.616936119543067,2.0365157854047786
53,gradient_boosted_trees,177,1.5486308426470767,2.2529355504526714
53,mlp,177,1.340973893655786,1.9921917812763361
53,ridge,177,1.1567327478407357,2.1103823340010055
53,traditional_template_phase,177,2.6439930472240363,2.985342968683132
54,attention_quant,150,0.9128455242977063,0.9899977804045567
54,cnn,150,0.6078655753002117,0.8504992202704161
54,gradient_boosted_trees,150,1.5163836822457155,1.649990559704549
54,mlp,150,1.4564356902121098,1.380887796065166
54,ridge,150,1.215180927410141,1.2291656520912722
54,traditional_template_phase,150,2.6439930472240363,2.3940143346777156
55,attention_quant,132,0.9028383121356879,1.1912590062021222
55,cnn,132,0.6140914568767463,1.0662582972751133
55,gradient_boosted_trees,132,1.4349282713813836,1.4036622059148234
55,mlp,132,1.2222763648557413,1.3041506941487775
55,ridge,132,1.179891740335473,1.2849980620892543
55,traditional_template_phase,132,2.6439930472240363,2.5009819804492137
56,attention_quant,276,0.9126586887702892,2.699113022738034
56,cnn,276,0.6479701770400901,2.6426922445748082
56,gradient_boosted_trees,276,1.5931528719958976,2.9743078254392716
56,mlp,276,1.4550135957145862,2.9768130099740544
56,ridge,276,1.1687189566040175,2.9752196185703497
56,traditional_template_phase,276,2.64399304722404,3.344762497892222
57,attention_quant,192,0.9230681857929144,1.3517481172707426
57,cnn,192,0.6706051144466298,1.2410154065976717
57,gradient_boosted_trees,192,1.556704906196372,1.5744515077510255
57,mlp,192,1.4412527814045037,1.4608425489594845
57,ridge,192,1.190608905448927,1.371711794711948
57,traditional_template_phase,192,2.64399304722404,2.637029441600081
