model,cv_sigma68_ns,train_seconds,n_parameters,alpha,learning_rate,hidden,width
ridge,1.6103124519596401,0.00782465934753418,32,10.0,,,
gradient_boosted_trees,1.5736097853144362,0.7191808223724365,140,,0.03,,
mlp,1.6947539368047153,2.3642308712005615,2112,,,64.0,
cnn,2.222476313339561,1.0354182720184326,361,,,,8.0
attention_quant,2.1489429926779144,3.7496020793914795,433,,,,8.0
