representation,task,family,metric,value,ci_low,ci_high,roc_auc,train_rows,heldout_rows,n_classes_train,n_classes_heldout,shuffled_labels,note
traditional_hand_pca_raw,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.7181141182418556,0.7099569762043618,0.7273199246564824,0.7907716529212879,50000,17995,2,2,False,
traditional_hand_pca_raw,physics_peak_group,physics_proxy,balanced_accuracy,0.99992829999283,0.9997029114676174,1.0,0.9999818203456536,61403,18187,3,3,False,
traditional_hand_pca_raw,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5709526809406542,0.5315845227475469,0.5915174291698007,0.6082480412129344,14797,1318,2,2,False,
traditional_hand_pca_raw,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.8644669276315402,0.847466642215092,0.8883542795541822,0.9321785789487502,31617,17995,2,2,False,
traditional_hand_pca_raw,nuisance_sample_epoch,nuisance,balanced_accuracy,0.6680029999520534,0.6174029777886259,0.7186030221154809,0.736604920490963,50000,18187,2,2,False,
traditional_hand_pca_raw,nuisance_run_family,nuisance,balanced_accuracy,0.3185373386288667,0.13907366346390737,0.49800101379382605,,75000,18187,3,4,False,
traditional_hand_pca_raw,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.502444127801109,0.4506985459869224,0.5317588659221978,0.7307732838182751,70437,18187,3,3,False,
traditional_hand_pca_raw,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.8351340699529032,0.8200252662169265,0.8380546741847038,0.9555559302979125,100000,18187,4,4,False,
traditional_hand_pca_raw,nuisance_stave,nuisance,balanced_accuracy,0.3965450357786793,0.37488868785652074,0.4090051612084234,0.7279299474699058,72908,18187,4,4,False,
traditional_hand_pca_residualized,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.7020987771352735,0.6873595199512048,0.7110138543597326,0.8105643504913578,50000,17995,2,2,False,
traditional_hand_pca_residualized,physics_peak_group,physics_proxy,balanced_accuracy,0.9266905308657737,0.922421998643851,0.9371043318392805,0.980746021578441,61403,18187,3,3,False,
traditional_hand_pca_residualized,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.561485323755526,0.5253597804828211,0.5732662095304226,0.5930140912673414,14797,1318,2,2,False,
traditional_hand_pca_residualized,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.8147489065889701,0.7709187357432843,0.8623207420168163,0.9064473879491451,31617,17995,2,2,False,
traditional_hand_pca_residualized,nuisance_sample_epoch,nuisance,balanced_accuracy,0.47545150045353934,0.40932389553331705,0.5415791053737616,0.46846307181929964,50000,18187,2,2,False,
traditional_hand_pca_residualized,nuisance_run_family,nuisance,balanced_accuracy,0.25348137598833453,0.11258930771125893,0.3943734442654101,,75000,18187,3,4,False,
traditional_hand_pca_residualized,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.3571023107984331,0.3517312276721456,0.3664478300639524,0.5468861291855469,70437,18187,3,3,False,
traditional_hand_pca_residualized,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.2524200983996073,0.23386646831647578,0.26346607219705065,0.4609483146986394,100000,18187,4,4,False,
traditional_hand_pca_residualized,nuisance_stave,nuisance,balanced_accuracy,0.24186010049972104,0.23371285084775592,0.24800649144661993,0.4730675203500837,72908,18187,4,4,False,
frozen_p01b_latent_raw,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.6945795020065093,0.6701329696556426,0.7180452504409482,0.7002278888994218,50000,17995,2,2,False,
frozen_p01b_latent_raw,physics_peak_group,physics_proxy,balanced_accuracy,0.8962493002486868,0.8859315307975626,0.8977675965609535,0.9695664515700844,61403,18187,3,3,False,
frozen_p01b_latent_raw,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5484099257938099,0.46541958801067645,0.5824932196172115,0.5546564997913719,14797,1318,2,2,False,
frozen_p01b_latent_raw,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.6082289058602974,0.5912101926530788,0.6399220062272113,0.6394248414199049,31617,17995,2,2,False,
frozen_p01b_latent_raw,nuisance_sample_epoch,nuisance,balanced_accuracy,0.6302585595613781,0.5577251647546986,0.7027919543680576,0.6883800964800331,50000,18187,2,2,False,
frozen_p01b_latent_raw,nuisance_run_family,nuisance,balanced_accuracy,0.30132822776255125,0.061305925030229746,0.5413505304948728,,75000,18187,3,4,False,
frozen_p01b_latent_raw,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.4686684549108178,0.4318976056526151,0.49371048771388565,0.7065546363606586,70437,18187,3,3,False,
frozen_p01b_latent_raw,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.7608612006542599,0.7355512600819814,0.7675638190525071,0.8857899215855635,100000,18187,4,4,False,
frozen_p01b_latent_raw,nuisance_stave,nuisance,balanced_accuracy,0.3567411400632338,0.3359520135926362,0.3725786262670992,0.7236226097927887,72908,18187,4,4,False,
ml_p01b_latent_residualized,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.6777190965968338,0.631951211464646,0.7141906320204656,0.7540493095712073,50000,17995,2,2,False,
ml_p01b_latent_residualized,physics_peak_group,physics_proxy,balanced_accuracy,0.8803832400741974,0.8752756339775364,0.8890764748148525,0.9495491255340549,61403,18187,3,3,False,
ml_p01b_latent_residualized,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.5520711463097352,0.503355554704162,0.5724069091224719,0.5731466860840894,14797,1318,2,2,False,
ml_p01b_latent_residualized,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.7103380318440726,0.6552854238740211,0.7725060434009358,0.757831893043693,31617,17995,2,2,False,
ml_p01b_latent_residualized,nuisance_sample_epoch,nuisance,balanced_accuracy,0.45600556586828256,0.3107175022515761,0.601293629484989,0.43312178422381636,50000,18187,2,2,False,
ml_p01b_latent_residualized,nuisance_run_family,nuisance,balanced_accuracy,0.2514305463605792,0.117096018735363,0.3857650739857954,,75000,18187,3,4,False,
ml_p01b_latent_residualized,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.3367134628126253,0.2781208317012224,0.39354621244305427,0.5351548737179654,70437,18187,3,3,False,
ml_p01b_latent_residualized,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.2582782015156501,0.23658008085800641,0.27657637163734217,0.3638418249253237,100000,18187,4,4,False,
ml_p01b_latent_residualized,nuisance_stave,nuisance,balanced_accuracy,0.32608299246852396,0.2242436851335756,0.41652883909450805,0.5839862479021678,72908,18187,4,4,False,
negative_control_gaussian_noise,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.5085532988908901,0.4987984182458194,0.5144316505740419,0.5063261288589755,50000,17995,2,2,False,
negative_control_gaussian_noise,physics_peak_group,physics_proxy,balanced_accuracy,0.334583068010365,0.3245182701126437,0.3434985745127012,0.4964394076746604,61403,18187,3,3,False,
negative_control_gaussian_noise,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.49971228397435374,0.4893907532346155,0.5033059959012005,0.49898958495258827,14797,1318,2,2,False,
negative_control_gaussian_noise,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.5165899305456956,0.5069839668813639,0.5268257606553233,0.5185252332422671,31617,17995,2,2,False,
negative_control_gaussian_noise,nuisance_sample_epoch,nuisance,balanced_accuracy,0.5005474176077513,0.4915016457130524,0.5052477422504271,0.5021044264790576,50000,18187,2,2,False,
negative_control_gaussian_noise,nuisance_run_family,nuisance,balanced_accuracy,0.24386279949058465,0.12997658079625293,0.35774901818491633,,75000,18187,3,4,False,
negative_control_gaussian_noise,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.33690943114250055,0.3318138710578708,0.3447785184622362,0.5055508877966423,70437,18187,3,3,False,
negative_control_gaussian_noise,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.2505590516501361,0.2464519985283961,0.2547270542567854,0.49748902953471474,100000,18187,4,4,False,
negative_control_gaussian_noise,nuisance_stave,nuisance,balanced_accuracy,0.2513445129116728,0.2475265210421295,0.25563640061710924,0.4995031679174104,72908,18187,4,4,False,
ml_p01b_latent_residualized_label_shuffle,physics_q_template_top_quartile,physics_proxy,balanced_accuracy,0.34338918380889183,0.30464137026504085,0.39119419728781496,0.2863910955224824,50000,17995,2,2,True,
ml_p01b_latent_residualized_label_shuffle,physics_peak_group,physics_proxy,balanced_accuracy,0.11782150916705036,0.08484395562118462,0.1609871926092322,0.28240907460125664,61403,18187,3,3,True,
ml_p01b_latent_residualized_label_shuffle,physics_timing_tail_top_quartile,physics_proxy,balanced_accuracy,0.47014571248578463,0.43124257461268384,0.5168376449598573,0.433065798336974,14797,1318,2,2,True,
ml_p01b_latent_residualized_label_shuffle,physics_anomaly_proxy_top5,physics_proxy,balanced_accuracy,0.5551590569473861,0.47505337482621157,0.6463368180337365,0.543160133347121,31617,17995,2,2,True,
ml_p01b_latent_residualized_label_shuffle,nuisance_sample_epoch,nuisance,balanced_accuracy,0.5000017647207817,0.45766210110472405,0.5316980148200234,0.4874770528288523,50000,18187,2,2,True,
ml_p01b_latent_residualized_label_shuffle,nuisance_run_family,nuisance,balanced_accuracy,0.24811818066054458,0.10810157194679565,0.3881347893742936,,75000,18187,3,4,True,
ml_p01b_latent_residualized_label_shuffle,nuisance_topology_multiplicity,nuisance,balanced_accuracy,0.3353239760138446,0.3171003689064824,0.3514926340288212,0.49460183218427484,70437,18187,3,3,True,
ml_p01b_latent_residualized_label_shuffle,nuisance_amplitude_quartile,nuisance,balanced_accuracy,0.2608874496715442,0.23899352581628702,0.2680894556028736,0.4878138839270678,100000,18187,4,4,True,
