representation,train_rows,heldout_rows,feature_dim,train_feature_mean_abs,heldout_feature_mean_abs
traditional_hand_pca_raw,133534,18187,16,2.1740939617156982,2.141057014465332
traditional_hand_pca_residualized,133534,18187,16,1.407095910940077e-13,0.08079758664247576
frozen_p01b_latent_raw,133534,18187,4,0.3375435471534729,0.36633360385894775
ml_p01b_latent_residualized,133534,18187,4,5.6348245530042144e-14,0.03276324604684873
negative_control_gaussian_noise,133534,18187,4,0.002717076102271676,0.0035575791262090206
