task,frozen_p01b_latent_raw,ml_p01b_latent_residualized,ml_p01b_latent_residualized_label_shuffle,traditional_hand_pca_raw,traditional_hand_pca_residualized
nuisance_amplitude_quartile,0.7608612006542599,0.2582782015156501,0.2608874496715442,0.8351340699529032,0.2524200983996073
nuisance_run_family,0.30132822776255125,0.2514305463605792,0.24811818066054458,0.3185373386288667,0.25348137598833453
nuisance_sample_epoch,0.6302585595613781,0.45600556586828256,0.5000017647207817,0.6680029999520534,0.47545150045353934
nuisance_stave,0.3567411400632338,0.32608299246852396,0.2788998363576295,0.3965450357786793,0.24186010049972104
nuisance_topology_multiplicity,0.4686684549108178,0.3367134628126253,0.3353239760138446,0.502444127801109,0.3571023107984331
physics_anomaly_proxy_top5,0.6082289058602974,0.7103380318440726,0.5551590569473861,0.8644669276315402,0.8147489065889701
physics_peak_group,0.8962493002486868,0.8803832400741974,0.11782150916705036,0.99992829999283,0.9266905308657737
physics_q_template_top_quartile,0.6945795020065093,0.6777190965968338,0.34338918380889183,0.7181141182418556,0.7020987771352735
physics_timing_tail_top_quartile,0.5484099257938099,0.5520711463097352,0.47014571248578463,0.5709526809406542,0.561485323755526
