target,family,labels,train_non_null,heldout_non_null,train_positive_or_classes,heldout_positive_or_classes
physics_q_template_top_quartile,physics_proxy,"[0, 1]",132323,17995,"{""0"": 99242, ""1"": 33081}","{""0"": 13200, ""1"": 4795}"
physics_peak_group,physics_proxy,"[0, 1, 2]",133534,18187,"{""0"": 70396, ""1"": 51735, ""2"": 11403}","{""0"": 7236, ""1"": 9298, ""2"": 1653}"
physics_timing_tail_top_quartile,physics_proxy,"[0, 1]",14797,1318,"{""0"": 11097, ""1"": 3700}","{""0"": 919, ""1"": 399}"
physics_anomaly_proxy_top5,physics_proxy,"[0, 1]",132323,17995,"{""0"": 125706, ""1"": 6617}","{""0"": 17123, ""1"": 872}"
nuisance_sample_epoch,nuisance,"[0, 1]",133534,18187,"{""0"": 85072, ""1"": 48462}","{""0"": 8194, ""1"": 9993}"
nuisance_run_family,nuisance,"[0, 1, 2, 3]",133534,18187,"{""0"": 45344, ""1"": 39728, ""2"": 48462}","{""0"": 4059, ""1"": 4135, ""2"": 4270, ""3"": 5723}"
nuisance_topology_multiplicity,nuisance,"[0, 1, 2]",133534,18187,"{""0"": 80383, ""1"": 20437, ""2"": 32714}","{""0"": 11695, ""1"": 3172, ""2"": 3320}"
nuisance_amplitude_quartile,nuisance,"[0, 1, 2, 3]",133534,18187,"{""0"": 33376, ""1"": 33390, ""2"": 33380, ""3"": 33388}","{""0"": 6150, ""1"": 4946, ""2"": 4554, ""3"": 2537}"
nuisance_stave,nuisance,"[0, 1, 2, 3]",133534,18187,"{""0"": 83559, ""1"": 27067, ""2"": 16279, ""3"": 6629}","{""0"": 12000, ""1"": 3898, ""2"": 1666, ""3"": 623}"
