run,stave,delayed_candidates,selected_pulses
42,B2,9,16977
42,B4,0,711
42,B6,0,307
42,B8,0,117
57,B2,3,12774
57,B4,0,656
57,B6,0,273
57,B8,0,130
64,B2,4,11907
64,B4,0,1689
64,B6,0,763
64,B8,0,271
65,B2,2,11768
65,B4,0,842
65,B6,0,323
65,B8,0,105
